ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,gm,mp,orb,pf,player,player_id,plus_minus,pts,stl,team,tov,trb
6,0,3,6,2,.667,3,.545,11,4,1.000,4,201211030MIL,35:59,0,1,Alonzo Gee,geeal01,+11,18,2,cle,3,3
0,0,15,10,0,,0,.769,13,0,,0,201211030MIL,35:51,2,1,Anderson Varejao,varejan01,+15,20,1,cle,0,17
7,0,4,10,0,.000,2,.556,18,7,.875,8,201211030MIL,33:22,0,5,Kyrie Irving,irvinky01,+13,27,2,cle,4,4
0,0,2,2,0,,0,.400,5,5,.625,8,201211030MIL,29:59,4,3,Tristan Thompson,thomptr01,+13,9,1,cle,0,6
3,0,2,5,1,.500,2,.417,12,2,.500,4,201211030MIL,28:59,0,0,Dion Waiters,waitedi01,+14,13,1,cle,3,2
1,0,5,1,0,,0,.200,5,0,.000,2,201211030MIL,20:43,2,1,Tyler Zeller,zellety01,-18,2,0,cle,0,7
0,0,0,2,1,.333,3,.333,6,0,.000,2,201211030MIL,20:36,0,4,Daniel Gibson,gibsoda01,-17,5,1,cle,0,0
1,0,1,0,0,.000,3,.000,6,0,,0,201211030MIL,14:54,0,4,C.J. Miles,milescj01,-16,0,0,cle,3,1
1,0,1,3,2,1.000,2,.600,5,0,.000,1,201211030MIL,12:35,0,2,Donald Sloan,sloando01,-14,8,0,cle,1,1
0,0,0,0,0,.000,1,.000,2,0,,0,201211030MIL,7:02,1,0,Luke Walton,waltolu01,-16,0,1,cle,1,1
13,1,4,5,1,.200,5,.385,13,2,1.000,2,201211030MIL,37:14,0,0,Brandon Jennings,jennibr01,-14,13,2,mil,4,4
4,2,2,8,1,.200,5,.400,20,6,.750,8,201211030MIL,36:29,0,0,Monta Ellis,ellismo01,-13,23,1,mil,5,2
2,0,2,1,0,.000,4,.125,8,1,.500,2,201211030MIL,26:43,1,4,Ersan Ilyasova,ilyaser01,-7,3,0,mil,1,3
0,0,1,2,0,.000,1,.667,3,0,,0,201211030MIL,13:18,2,2,Tobias Harris,harrito02,-21,4,0,mil,2,3
1,1,2,0,0,,0,,0,0,,0,201211030MIL,10:14,0,1,Samuel Dalembert,dalemsa01,-10,0,0,mil,0,2
6,1,12,10,6,.857,7,.833,12,3,.600,5,201211030MIL,34:42,0,1,Mike Dunleavy,dunlemi02,+24,29,2,mil,1,12
0,4,7,8,0,,0,.889,9,1,.500,2,201211030MIL,29:59,0,6,Larry Sanders,sandela01,+19,17,0,mil,1,7
1,0,0,2,0,,0,.500,4,1,.500,2,201211030MIL,23:24,0,2,Ekpe Udoh,udohek01,+8,5,1,mil,1,0
5,0,2,5,1,.500,2,.500,10,0,,0,201211030MIL,16:46,0,1,Beno Udrih,udrihbe01,+20,11,1,mil,0,2
0,0,2,0,0,,0,,0,0,,0,201211030MIL,5:40,0,1,Joel Przybilla,przybjo01,-4,0,0,mil,0,2
0,0,0,0,0,,0,,0,0,,0,201211030MIL,5:31,0,0,Doron Lamb,lambdo01,+13,0,1,mil,0,0
