ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,gm,mp,orb,pf,player,player_id,plus_minus,pts,stl,team,tov,trb
3,0,7,3,1,1.000,1,.500,6,0,,0,201211080CHI,39:00,0,1,Thabo Sefolosha,sefolth01,+13,7,2,okc,1,7
1,3,3,11,0,.000,2,.579,19,2,1.000,2,201211080CHI,38:23,1,1,Kevin Durant,duranke01,-3,24,3,okc,6,4
0,4,5,8,1,1.000,1,.533,15,4,1.000,4,201211080CHI,36:52,4,3,Serge Ibaka,ibakase01,-2,21,1,okc,3,9
12,0,1,7,1,.143,7,.318,22,1,1.000,1,201211080CHI,35:34,1,4,Russell Westbrook,westbru01,-4,16,1,okc,2,2
0,0,4,0,0,,0,,0,0,,0,201211080CHI,20:16,1,1,Kendrick Perkins,perkike01,-14,0,1,okc,2,5
2,0,6,3,1,1.000,1,.600,5,8,.889,9,201211080CHI,30:50,0,4,Kevin Martin,martike02,+10,15,1,okc,2,6
2,1,2,2,0,,0,1.000,2,0,,0,201211080CHI,17:00,1,3,Nick Collison,collini01,+15,4,1,okc,3,3
3,0,0,2,1,1.000,1,.500,4,5,1.000,5,201211080CHI,12:26,0,1,Eric Maynor,maynoer01,+10,10,0,okc,1,0
0,0,2,0,0,,0,,0,0,,0,201211080CHI,9:39,0,1,Hasheem Thabeet,thabeha01,+5,0,0,okc,2,2
2,1,1,11,3,.500,6,.524,21,2,1.000,2,201211080CHI,42:23,0,2,Luol Deng,denglu01,-2,27,1,chi,3,1
6,1,6,4,0,,0,.444,9,1,.500,2,201211080CHI,39:08,7,2,Joakim Noah,noahjo01,+5,9,1,chi,4,13
5,0,3,5,2,.400,5,.417,12,0,,0,201211080CHI,36:01,0,1,Kirk Hinrich,hinriki01,+3,12,0,chi,1,3
0,1,7,7,0,.000,1,.500,14,6,1.000,6,201211080CHI,34:27,1,3,Richard Hamilton,hamilri01,+9,20,2,chi,4,8
2,0,9,3,0,,0,.333,9,3,.750,4,201211080CHI,30:26,2,4,Carlos Boozer,boozeca01,+4,9,0,chi,5,11
2,0,2,2,0,,0,.400,5,0,,0,201211080CHI,24:38,0,2,Taj Gibson,gibsota01,-12,4,1,chi,1,2
3,0,1,2,0,.000,1,.400,5,2,1.000,2,201211080CHI,13:17,2,1,Jimmy Butler,butleji01,-1,6,1,chi,1,3
2,0,0,1,0,.000,1,.167,6,0,,0,201211080CHI,11:59,0,3,Nate Robinson,robinna01,-9,2,0,chi,1,0
0,0,0,0,0,,0,,0,2,1.000,2,201211080CHI,5:53,0,0,Marco Belinelli,belinma01,-18,2,0,chi,0,0
0,0,0,0,0,,0,.000,2,0,,0,201211080CHI,1:32,0,0,Nazr Mohammed,mohamna01,-5,0,0,chi,0,0
0,0,0,0,0,.000,1,.000,1,0,,0,201211080CHI,0:16,0,1,Vladimir Radmanovic,radmavl01,-4,0,0,chi,0,0
