ast_pct,blk_pct,def_rtg,drb_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,gm,mp,off_rtg,orb_pct,player,player_id,stl_pct,team,tov_pct,trb_pct,ts_pct,usg_pct
9.3,0.0,92,12.1,.531,.250,.188,201211280ORL,32:16,96,0.0,Gary Neal,nealga01,4.7,sas,14.8,7.0,.548,28.4
3.9,3.8,98,15.5,.563,.750,.000,201211280ORL,31:36,81,0.0,Danny Green,greenda02,0.0,sas,27.3,8.9,.563,15.7
37.6,0.0,106,3.3,.500,.000,.167,201211280ORL,29:47,136,0.0,Tony Parker,parketo01,0.0,sas,0.0,1.9,.543,19.5
0.0,11.0,86,14.4,.682,.091,.000,201211280ORL,27:13,118,0.0,Tim Duncan,duncati01,3.7,sas,8.3,8.3,.682,19.9
6.0,0.0,97,12.4,.625,.000,.250,201211280ORL,23:39,112,16.9,DeJuan Blair,blairde01,2.1,sas,18.4,14.3,.619,20.7
32.1,0.0,96,12.5,1.000,1.000,.222,201211280ORL,23:32,182,5.7,Manu Ginobili,ginobma01,2.2,sas,9.2,9.6,1.012,20.8
26.3,2.7,92,17.9,.500,.000,1.000,201211280ORL,21:50,168,18.3,Boris Diaw,diawbo01,2.3,sas,0.0,18.1,.521,5.9
16.5,3.6,90,17.8,.500,.000,.667,201211280ORL,16:29,119,8.1,Tiago Splitter,splitti01,3.1,sas,11.4,13.7,.580,23.9
8.1,0.0,91,6.2,.333,.500,.000,201211280ORL,15:43,57,0.0,Nando De Colo,decolna01,6.4,sas,25.0,3.6,.333,22.9
0.0,0.0,94,28.7,.000,.000,.000,201211280ORL,6:49,0,0.0,Matt Bonner,bonnema01,0.0,sas,0.0,16.6,.000,6.6
23.5,0.0,85,14.4,.667,.333,.000,201211280ORL,6:49,80,0.0,Cory Joseph,josepco01,7.4,sas,40.0,8.3,.667,33.0
0.0,0.0,107,0.0,.500,.500,.000,201211280ORL,4:18,60,0.0,James Anderson,anderja01,0.0,sas,33.3,0.0,.500,31.4
11.4,0.0,114,13.4,.500,.250,.000,201211280ORL,29:52,91,6.6,Arron Afflalo,afflaar01,3.4,orl,20.0,9.5,.500,28.1
16.9,0.0,113,13.8,.500,.143,.000,201211280ORL,28:57,105,6.8,Jameer Nelson,nelsoja01,3.5,orl,12.5,9.8,.500,23.2
0.0,2.9,118,14.5,.375,.000,.000,201211280ORL,27:39,94,7.1,Glen Davis,davisgl01,0.0,orl,0.0,10.2,.375,24.3
0.0,0.0,116,12.4,.500,.250,.000,201211280ORL,21:26,126,9.1,Maurice Harkless,harklma01,2.4,orl,0.0,10.5,.500,7.8
8.0,5.2,109,17.0,.250,.000,.000,201211280ORL,15:43,62,18.7,Nikola Vucevic,vucevni01,3.2,orl,33.3,18.0,.250,16.0
25.0,0.0,122,6.0,.389,.444,.000,201211280ORL,22:14,86,0.0,J.J. Redick,redicjj01,0.0,orl,18.2,2.5,.389,20.7
7.2,0.0,121,12.1,.385,.231,.154,201211280ORL,22:03,83,4.4,E'Twaun Moore,mooreet01,0.0,orl,12.6,7.7,.396,30.2
0.0,4.3,108,35.1,.833,.333,1.333,201211280ORL,18:59,157,5.2,DeQuan Jones,jonesde01,2.7,orl,0.0,17.8,.735,10.5
17.8,0.0,109,30.5,.000,.000,.000,201211280ORL,13:08,28,0.0,Josh McRoberts,mcrobjo01,3.9,orl,66.7,12.9,.000,9.6
0.0,0.0,123,0.0,.600,.000,.000,201211280ORL,13:00,132,0.0,Andrew Nicholson,nichoan01,0.0,orl,0.0,0.0,.600,16.1
11.8,0.0,117,32.7,1.000,.000,.000,201211280ORL,12:15,131,8.0,Gustavo Ayon,ayongu01,0.0,orl,33.3,18.4,1.000,10.3
37.8,0.0,121,15.6,.333,.000,.333,201211280ORL,8:32,128,45.9,Kyle O'Quinn,oquinky01,0.0,orl,0.0,33.1,.436,33.8
0.0,0.0,123,0.0,.000,.000,.000,201211280ORL,6:13,0,0.0,Ish Smith,smithis01,0.0,orl,33.3,0.0,.000,20.2
