ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,gm,mp,orb,pf,player,player_id,plus_minus,pts,stl,team,tov,trb
2,1,9,7,0,.000,1,.389,18,3,.500,6,201212030DET,39:29,9,2,Anderson Varejao,varejan01,-4,17,3,cle,3,18
1,2,6,4,0,,0,.308,13,2,1.000,2,201212030DET,32:33,5,4,Tristan Thompson,thomptr01,-8,10,0,cle,0,11
1,0,2,2,0,.000,3,.200,10,2,1.000,2,201212030DET,29:44,0,0,Alonzo Gee,geeal01,-5,6,3,cle,1,2
8,0,2,4,0,.000,2,.308,13,2,.500,4,201212030DET,29:39,2,4,Jeremy Pargo,pargoje01,-11,10,1,cle,2,4
1,1,3,4,2,.400,5,.364,11,0,,0,201212030DET,28:12,1,2,Omri Casspi,casspom01,-9,10,0,cle,1,4
1,0,2,1,1,.167,6,.167,6,0,,0,201212030DET,28:42,0,1,Daniel Gibson,gibsoda01,+3,3,0,cle,1,2
1,1,2,4,0,,0,.500,8,0,,0,201212030DET,20:10,2,3,Tyler Zeller,zellety01,-5,8,0,cle,3,4
4,0,4,3,0,.000,1,.375,8,1,1.000,1,201212030DET,18:21,1,2,Donald Sloan,sloando01,+1,7,0,cle,0,5
0,0,3,3,0,.000,2,.500,6,2,1.000,2,201212030DET,9:22,0,2,C.J. Miles,milescj01,-9,8,0,cle,0,3
0,0,0,0,0,,0,.000,2,0,,0,201212030DET,3:48,0,0,Samardo Samuels,samuesa01,-3,0,0,cle,0,0
5,2,10,4,0,,0,.400,10,1,.333,3,201212030DET,35:38,4,4,Greg Monroe,monrogr01,+9,9,2,det,3,14
2,0,2,6,1,.500,2,.600,10,2,1.000,2,201212030DET,33:55,0,1,Tayshaun Prince,princta01,+6,15,0,det,0,2
5,0,5,5,0,.000,4,.385,13,7,1.000,7,201212030DET,33:45,0,1,Brandon Knight,knighbr03,+9,17,0,det,3,5
1,1,4,6,3,.500,6,.429,14,0,,0,201212030DET,33:08,2,2,Kyle Singler,singlky01,+14,15,0,det,2,6
0,5,6,6,0,,0,.500,12,0,,0,201212030DET,28:10,0,2,Jason Maxiell,maxieja01,+10,12,0,det,1,6
6,1,3,4,0,.000,2,.444,9,0,.000,1,201212030DET,27:16,0,1,Rodney Stuckey,stuckro01,-3,8,1,det,1,3
1,3,3,3,0,,0,.375,8,1,.250,4,201212030DET,19:31,9,2,Andre Drummond,drumman01,-1,7,1,det,0,12
1,0,1,1,0,,0,.500,2,2,1.000,2,201212030DET,15:56,0,2,Corey Maggette,maggeco01,+4,4,1,det,1,1
0,1,0,1,0,.000,4,.167,6,0,,0,201212030DET,12:41,0,1,Charlie Villanueva,villach01,+2,2,1,det,0,0
