ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,gm,mp,orb,pf,player,player_id,plus_minus,pts,stl,team,tov,trb
2,0,11,7,0,,0,.438,16,7,.875,8,201212230NYK,39:53,6,2,Nikola Pekovic,pekovni01,+1,21,0,min,1,17
4,0,4,7,4,.444,9,.438,16,0,,0,201212230NYK,38:41,1,2,Alexey Shved,shvedal01,-2,18,1,min,5,5
5,0,1,5,1,.200,5,.385,13,3,1.000,3,201212230NYK,38:02,0,2,Luke Ridnour,ridnolu01,-4,14,0,min,0,1
4,0,4,4,1,.200,5,.286,14,3,1.000,3,201212230NYK,37:55,1,2,J.J. Barea,bareajo01,+1,12,0,min,2,5
2,0,2,2,0,.000,1,.333,6,0,,0,201212230NYK,20:02,1,6,Andrei Kirilenko,kirilan01,-2,4,2,min,1,3
1,0,7,6,0,,0,.600,10,0,,0,201212230NYK,27:59,3,3,Dante Cunningham,cunnida01,-1,12,1,min,0,10
2,0,1,2,0,,0,.333,6,1,.500,2,201212230NYK,17:36,0,4,Ricky Rubio,rubiori01,0,5,0,min,5,1
0,0,4,1,1,.500,2,.333,3,2,1.000,2,201212230NYK,11:46,1,0,Derrick Williams,willide02,-4,5,0,min,1,5
0,2,0,0,0,,0,,0,0,,0,201212230NYK,8:07,0,1,Greg Stiemsma,stiemgr01,-4,0,1,min,1,0
2,1,7,10,3,.300,10,.400,25,10,.909,11,201212230NYK,43:45,0,5,Carmelo Anthony,anthoca01,-1,33,1,nyk,4,7
2,0,2,7,0,.000,3,.467,15,1,1.000,1,201212230NYK,38:49,0,4,Raymond Felton,feltora01,+4,15,1,nyk,4,2
3,1,6,4,0,,0,.571,7,8,.800,10,201212230NYK,38:13,3,4,Tyson Chandler,chandty01,+6,16,3,nyk,2,9
1,0,6,0,0,.000,3,.000,3,0,,0,201212230NYK,33:51,0,0,Jason Kidd,kiddja01,+2,0,2,nyk,0,6
1,0,3,0,0,,0,,0,0,,0,201212230NYK,13:20,0,0,Ronnie Brewer,brewero02,-7,0,0,nyk,1,3
7,0,4,7,2,.333,6,.467,15,3,.750,4,201212230NYK,39:18,1,3,J.R. Smith,smithjr01,+8,19,3,nyk,3,5
0,0,1,1,0,.000,2,.333,3,2,1.000,2,201212230NYK,18:42,0,1,Steve Novak,novakst01,+2,4,0,nyk,0,1
0,0,2,2,0,,0,1.000,2,0,,0,201212230NYK,9:47,0,2,Kurt Thomas,thomaku01,-3,4,1,nyk,0,2
1,0,0,1,1,.500,2,.500,2,0,,0,201212230NYK,4:15,0,1,Pablo Prigioni,prigipa01,+4,3,0,nyk,0,0
