ast_pct,blk_pct,def_rtg,drb_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,gm,mp,off_rtg,orb_pct,player,player_id,stl_pct,team,tov_pct,trb_pct,ts_pct,usg_pct
20.2,2.3,89,9.8,.545,.227,.273,201212260MIN,37:37,113,5.7,James Harden,hardeja01,2.7,hou,10.9,7.9,.609,34.0
25.9,0.0,88,13.0,.500,.417,.000,201212260MIN,35:24,106,3.0,Chandler Parsons,parsoch01,2.9,hou,7.7,8.4,.500,17.0
0.0,2.4,78,41.8,.667,.000,.333,201212260MIN,35:20,112,3.0,Omer Asik,asikom01,1.5,hou,12.7,23.8,.654,10.3
11.5,0.0,98,6.2,.333,.333,.333,201212260MIN,29:36,87,7.2,Marcus Morris,morrima03,0.0,hou,8.8,6.7,.388,17.7
6.3,0.0,92,10.1,.333,.222,.222,201212260MIN,27:28,48,0.0,Jeremy Lin,linje01,1.9,hou,41.5,5.4,.405,28.5
19.8,0.0,95,13.1,.423,.846,.000,201212260MIN,35:14,88,0.0,Carlos Delfino,delfica01,0.0,hou,7.1,7.0,.423,18.4
29.2,0.0,90,12.1,.333,.556,.000,201212260MIN,22:51,74,4.7,Toney Douglas,douglto01,2.2,hou,18.2,8.7,.333,22.3
0.0,0.0,96,11.2,1.000,.000,2.000,201212260MIN,16:30,158,0.0,Greg Smith,smithgr02,0.0,hou,0.0,6.0,.798,5.3
14.2,2.7,95,26.5,.214,.500,.071,201212260MIN,36:11,52,7.7,Kevin Love,loveke01,0.0,min,25.7,16.4,.242,24.4
23.2,0.0,94,7.1,.533,.467,.000,201212260MIN,29:56,105,0.0,Alexey Shved,shvedal01,3.4,min,6.3,3.3,.533,24.3
5.7,3.3,90,10.9,.333,.167,1.000,201212260MIN,29:16,89,6.3,Andrei Kirilenko,kirilan01,3.5,min,18.8,8.5,.463,16.5
0.0,0.0,98,23.2,.143,.000,.000,201212260MIN,23:02,41,8.0,Nikola Pekovic,pekovni01,0.0,min,12.5,15.0,.143,15.8
40.9,0.0,93,16.7,.350,.300,.200,201212260MIN,19:10,87,4.8,Luke Ridnour,ridnolu01,2.7,min,8.4,10.3,.368,28.2
9.8,5.2,85,20.4,.667,.000,.000,201212260MIN,36:36,147,5.0,Dante Cunningham,cunnida01,4.2,min,0.0,12.2,.667,7.5
25.8,0.0,93,22.9,.571,.429,.143,201212260MIN,27:57,98,3.3,J.J. Barea,bareajo01,1.8,min,21.2,12.4,.605,30.7
16.3,0.0,97,0.0,.400,.200,.800,201212260MIN,21:23,136,0.0,Ricky Rubio,rubiori01,2.4,min,0.0,0.0,.592,14.4
0.0,0.0,98,19.4,.571,.429,.286,201212260MIN,16:30,118,5.6,Derrick Williams,willide02,0.0,min,0.0,12.0,.571,21.7
