ast_pct,blk_pct,def_rtg,drb_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,gm,mp,off_rtg,orb_pct,player,player_id,stl_pct,team,tov_pct,trb_pct,ts_pct,usg_pct
5.0,0.0,118,23.5,.417,.000,.167,201301110NOH,38:42,83,6.5,Dante Cunningham,cunnida01,1.4,min,18.9,14.9,.466,20.2
10.0,2.1,115,17.5,.563,.500,1.250,201301110NOH,37:06,113,0.0,Andrei Kirilenko,kirilan01,2.9,min,19.5,8.6,.685,20.4
35.3,2.1,120,0.0,.375,.417,.167,201301110NOH,36:53,98,0.0,Alexey Shved,shvedal01,3.0,min,7.2,0.0,.427,18.5
24.5,0.0,123,15.0,.583,.500,.583,201301110NOH,34:32,130,0.0,Luke Ridnour,ridnolu01,0.0,min,6.2,7.4,.663,22.9
17.5,5.4,119,18.2,.538,.000,.538,201301110NOH,28:34,112,8.8,Nikola Pekovic,pekovni01,0.0,min,5.9,13.4,.560,29.4
0.0,0.0,118,15.9,.429,.286,.429,201301110NOH,24:31,111,0.0,Derrick Williams,willide02,2.2,min,0.0,7.8,.541,16.7
23.2,0.0,122,0.0,.333,.333,.667,201301110NOH,21:32,52,0.0,Ricky Rubio,rubiori01,2.5,min,50.8,0.0,.387,18.0
12.6,0.0,125,9.3,.500,.000,.000,201301110NOH,13:53,101,18.2,Greg Stiemsma,stiemgr01,0.0,min,33.3,13.8,.500,10.6
0.0,0.0,119,30.3,,,,201301110NOH,4:17,0,0.0,Lou Amundson,amundlo01,0.0,min,,14.9,,0.0
12.9,3.1,90,41.0,.714,.000,.286,201301110NOH,30:49,136,12.6,Al-Farouq Aminu,aminual01,5.3,noh,20.2,27.0,.761,15.4
14.9,0.0,110,4.4,.406,.375,.188,201301110NOH,28:31,105,0.0,Eric Gordon,gordoer01,0.0,noh,5.5,2.2,.462,30.8
8.9,7.0,101,23.6,.667,.000,.000,201301110NOH,26:47,161,4.8,Robin Lopez,lopezro01,0.0,noh,0.0,14.3,.667,5.4
76.9,0.0,108,14.5,.500,.313,.125,201301110NOH,26:05,129,5.0,Greivis Vasquez,vasqugr01,0.0,noh,10.6,9.8,.533,34.8
0.0,0.0,110,0.0,.667,.000,.333,201301110NOH,23:10,110,0.0,Anthony Davis,davisan02,0.0,noh,12.7,0.0,.654,16.3
5.7,0.0,103,19.7,.577,.538,.000,201301110NOH,25:42,133,15.1,Ryan Anderson,anderry01,2.1,noh,0.0,17.4,.577,24.3
6.4,0.0,108,17.6,.833,.333,.000,201301110NOH,21:29,168,0.0,Roger Mason,masonro01,0.0,noh,0.0,8.9,.833,13.4
0.0,0.0,106,24.8,.875,.000,.000,201301110NOH,20:21,108,6.4,Jason Smith,smithja02,0.0,noh,27.3,15.7,.875,26.0
9.7,0.0,107,20.5,.500,.000,.000,201301110NOH,12:21,151,21.0,Lance Thomas,thomala01,0.0,noh,0.0,20.7,.500,7.8
25.4,0.0,100,0.0,.333,.333,.000,201301110NOH,10:46,94,0.0,Brian Roberts,roberbr01,5.1,noh,0.0,0.0,.333,26.8
23.1,0.0,111,0.0,,,,201301110NOH,4:43,218,27.5,Xavier Henry,henryxa01,0.0,noh,,13.6,,0.0
23.5,0.0,111,0.0,.000,.000,.000,201301110NOH,4:38,20,0.0,Austin Rivers,riverau01,0.0,noh,66.7,0.0,.000,31.1
23.5,0.0,111,0.0,,,,201301110NOH,4:38,45,0.0,Donald Sloan,sloando01,0.0,noh,100.0,0.0,,10.4
