ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,gm,mp,orb,pf,player,player_id,plus_minus,pts,stl,team,tov,trb
6,1,10,11,0,,0,.611,18,1,.500,2,201301130DEN,42:02,3,5,David Lee,leeda02,-9,23,1,gsw,4,13
7,0,0,11,7,.778,9,.611,18,0,,0,201301130DEN,41:01,0,4,Stephen Curry,curryst01,-13,29,1,gsw,1,0
3,1,6,6,1,.143,7,.375,16,0,,0,201301130DEN,39:16,0,3,Klay Thompson,thompkl01,-7,13,0,gsw,5,6
0,0,6,8,5,.833,6,.727,11,0,,0,201301130DEN,29:15,0,2,Harrison Barnes,barneha02,-8,21,1,gsw,2,6
1,1,3,0,0,,0,,0,0,,0,201301130DEN,16:02,2,5,Festus Ezeli,ezelife01,-3,0,0,gsw,0,5
2,2,1,2,0,,0,.500,4,1,.500,2,201301130DEN,28:53,0,2,Carl Landry,landrca01,-8,5,0,gsw,0,1
8,0,4,4,0,.000,2,.364,11,2,1.000,2,201301130DEN,26:12,0,3,Jarrett Jack,jackja01,-11,10,0,gsw,5,4
1,0,1,1,0,,0,.333,3,0,,0,201301130DEN,11:19,1,0,Draymond Green,greendr01,-2,2,0,gsw,0,2
0,0,0,0,0,,0,,0,0,,0,201301130DEN,2:02,0,0,Charles Jenkins,jenkich01,+2,0,0,gsw,1,0
0,0,0,0,0,,0,.000,2,2,1.000,2,201301130DEN,1:59,0,0,Kent Bazemore,bazemke01,+2,2,0,gsw,0,0
0,0,2,0,0,,0,,0,0,,0,201301130DEN,1:59,0,0,Jeremy Tyler,tylerje01,+2,0,0,gsw,0,2
6,0,5,7,3,.429,7,.583,12,4,.667,6,201301130DEN,34:51,3,2,Danilo Gallinari,gallida01,+17,21,0,den,1,8
5,0,2,6,2,.400,5,.429,14,6,1.000,6,201301130DEN,32:52,0,1,Ty Lawson,lawsoty01,0,20,1,den,1,2
6,0,3,4,1,.167,6,.364,11,1,.500,2,201301130DEN,31:53,0,0,Andre Iguodala,iguodan01,-3,10,5,den,1,3
0,1,7,4,0,,0,.333,12,1,1.000,1,201301130DEN,30:16,3,4,Kenneth Faried,farieke01,+2,9,0,den,1,10
0,0,1,4,0,,0,.667,6,0,,0,201301130DEN,20:48,4,1,Kosta Koufos,koufoko01,+2,8,0,den,0,5
8,0,4,5,0,,0,.625,8,2,1.000,2,201301130DEN,25:17,2,3,Andre Miller,millean02,+12,12,2,den,0,6
1,0,3,5,1,.250,4,.500,10,2,1.000,2,201301130DEN,21:32,0,0,Corey Brewer,breweco01,+10,13,0,den,0,3
1,0,5,6,2,.400,5,.429,14,0,,0,201301130DEN,20:55,1,2,Wilson Chandler,chandwi01,+5,14,3,den,3,6
0,1,0,2,0,,0,.667,3,5,.625,8,201301130DEN,19:30,1,3,JaVale McGee,mcgeeja01,+10,9,0,den,0,1
0,0,0,0,0,,0,,0,0,,0,201301130DEN,0:42,0,0,Evan Fournier,fournev01,0,0,0,den,0,0
0,0,0,0,0,,0,,0,0,,0,201301130DEN,0:42,0,0,Anthony Randolph,randoan01,0,0,0,den,1,0
0,0,0,0,0,,0,,0,0,,0,201301130DEN,0:42,0,0,Jordan Hamilton,hamiljo02,0,0,0,den,0,0
