ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,gm,mp,orb,pf,player,player_id,plus_minus,pts,stl,team,tov,trb
1,0,7,4,0,,0,.444,9,0,,0,201302010MEM,35:25,3,5,Emeka Okafor,okafoem01,-3,8,2,was,1,10
1,0,0,3,2,.333,6,.375,8,0,,0,201302010MEM,33:48,0,2,Martell Webster,webstma02,-6,8,1,was,1,0
6,0,4,7,0,,0,.438,16,0,,0,201302010MEM,33:08,0,4,Nene Hilario,hilarne01,-7,14,1,was,1,4
6,0,7,3,1,.500,2,.375,8,2,1.000,2,201302010MEM,23:29,0,4,John Wall,walljo01,-9,9,0,was,4,7
1,0,0,2,0,.000,2,.400,5,0,,0,201302010MEM,17:50,0,0,Garrett Temple,templga01,-1,4,3,was,0,0
1,0,1,3,0,.000,3,.429,7,0,,0,201302010MEM,24:31,0,1,A.J. Price,priceaj01,0,6,2,was,3,1
1,0,2,3,1,.333,3,.300,10,1,1.000,1,201302010MEM,23:49,0,2,Jordan Crawford,crawfjo02,-3,8,1,was,2,2
1,0,2,3,1,.250,4,.375,8,0,,0,201302010MEM,20:34,1,0,Trevor Ariza,arizatr01,-8,7,2,was,2,3
1,0,1,4,0,,0,.500,8,0,,0,201302010MEM,19:31,1,1,Kevin Seraphin,serapke01,-2,8,0,was,1,2
0,0,0,2,0,,0,.500,4,0,,0,201302010MEM,7:56,2,0,Trevor Booker,booketr01,-6,4,0,was,0,2
5,2,10,5,0,.000,1,.385,13,3,1.000,3,201302010MEM,37:28,5,1,Marc Gasol,gasolma01,+2,13,1,mem,4,15
3,1,8,3,0,,0,.300,10,1,.500,2,201302010MEM,36:08,3,1,Zach Randolph,randoza01,+5,7,0,mem,3,11
2,0,5,4,0,.000,2,.308,13,3,.750,4,201302010MEM,35:47,0,2,Jerryd Bayless,bayleje01,+13,11,1,mem,1,5
3,1,5,5,0,,0,.625,8,1,.500,2,201302010MEM,34:41,3,4,Tony Allen,allento01,-3,11,2,mem,4,8
6,0,3,7,1,.333,3,.467,15,3,1.000,3,201302010MEM,34:19,0,1,Mike Conley,conlemi01,+7,18,4,mem,3,3
3,1,1,7,0,,0,.636,11,0,,0,201302010MEM,31:45,0,0,Tayshaun Prince,princta01,+12,14,0,mem,0,1
0,1,0,4,0,,0,.800,5,0,,0,201302010MEM,17:14,0,2,Darrell Arthur,arthuda01,+6,8,1,mem,0,0
0,0,1,0,0,,0,.000,1,2,1.000,2,201302010MEM,5:10,0,1,Ed Davis,davised01,+5,2,0,mem,1,1
0,0,1,0,0,.000,1,.000,2,1,1.000,1,201302010MEM,4:45,1,0,Austin Daye,dayeau01,+2,1,0,mem,0,2
0,0,0,0,0,,0,,0,0,,0,201302010MEM,2:43,0,0,Tony Wroten,wroteto01,-4,0,0,mem,2,0
