ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,gm,mp,orb,pf,player,player_id,plus_minus,pts,stl,team,tov,trb
3,0,9,8,3,.429,7,.381,21,13,.765,17,201302020CLE,36:42,2,2,Kevin Durant,duranke01,0,32,1,okc,3,11
5,0,2,12,0,.000,2,.545,22,4,.800,5,201302020CLE,35:07,0,4,Russell Westbrook,westbru01,+6,28,3,okc,1,2
0,4,6,7,0,.000,1,.583,12,4,1.000,4,201302020CLE,30:15,6,3,Serge Ibaka,ibakase01,-3,18,1,okc,3,12
5,4,3,3,0,,0,.500,6,0,,0,201302020CLE,30:06,1,3,Kendrick Perkins,perkike01,+9,6,0,okc,4,4
0,0,3,0,0,.000,1,.000,2,0,,0,201302020CLE,23:44,0,1,Thabo Sefolosha,sefolth01,0,0,3,okc,1,3
2,1,1,6,3,.333,9,.462,13,0,,0,201302020CLE,31:53,0,2,Kevin Martin,martike02,-6,15,0,okc,2,1
4,1,4,1,0,,0,1.000,1,0,,0,201302020CLE,22:57,3,2,Nick Collison,collini01,-6,2,0,okc,0,7
0,0,1,2,1,1.000,1,.667,3,0,,0,201302020CLE,11:28,1,1,Reggie Jackson,jacksre01,-15,5,1,okc,2,2
0,1,4,2,0,,0,.667,3,0,,0,201302020CLE,10:38,1,2,Hasheem Thabeet,thabeha01,-7,4,0,okc,0,5
0,0,0,0,0,,0,,0,0,,0,201302020CLE,5:06,0,0,Perry Jones,jonespe01,0,0,0,okc,0,0
0,0,0,0,0,,0,,0,0,,0,201302020CLE,2:04,0,0,DeAndre Liggins,liggide01,-3,0,1,okc,0,0
3,0,7,4,0,,0,.308,13,3,.750,4,201302020CLE,38:27,5,4,Tristan Thompson,thomptr01,+2,11,1,cle,2,12
3,1,1,12,3,.600,5,.522,23,8,1.000,8,201302020CLE,35:04,2,2,Kyrie Irving,irvinky01,+2,35,1,cle,1,3
6,0,6,4,1,.333,3,.308,13,3,.750,4,201302020CLE,31:47,0,1,Dion Waiters,waitedi01,+5,12,2,cle,4,6
0,0,1,2,0,.000,1,.500,4,2,.667,3,201302020CLE,29:11,1,3,Alonzo Gee,geeal01,+2,6,3,cle,2,2
1,0,3,3,0,,0,.375,8,1,1.000,1,201302020CLE,24:03,5,3,Tyler Zeller,zellety01,0,7,0,cle,0,8
3,1,9,10,0,,0,.667,15,1,1.000,1,201302020CLE,33:21,1,1,Marreese Speights,speigma01,+8,21,0,cle,2,10
6,0,0,1,0,,0,.500,2,0,,0,201302020CLE,17:35,0,1,Shaun Livingston,livinsh01,+4,2,0,cle,1,0
3,0,1,2,1,.333,3,.400,5,0,,0,201302020CLE,15:40,0,0,Wayne Ellington,ellinwa01,0,5,2,cle,1,1
2,0,2,5,4,.667,6,.714,7,2,1.000,2,201302020CLE,14:52,0,1,C.J. Miles,milescj01,+2,16,0,cle,0,2
