ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,gm,mp,orb,pf,player,player_id,plus_minus,pts,stl,team,tov,trb
1,1,0,6,0,,0,.500,12,6,.857,7,201302020MIN,28:59,4,5,Anthony Davis,davisan02,-11,18,2,noh,1,4
7,0,5,3,0,.000,1,.273,11,1,1.000,1,201302020MIN,26:01,1,3,Greivis Vasquez,vasqugr01,-13,7,0,noh,5,6
0,0,2,7,0,,0,.700,10,2,1.000,2,201302020MIN,25:15,0,2,Robin Lopez,lopezro01,-11,16,1,noh,3,2
0,1,3,0,0,,0,.000,2,2,1.000,2,201302020MIN,23:37,0,2,Al-Farouq Aminu,aminual01,-7,2,3,noh,4,3
0,0,3,1,1,.250,4,.250,4,0,,0,201302020MIN,19:35,0,0,Roger Mason,masonro01,-10,3,2,noh,2,3
4,1,0,2,0,,0,.333,6,5,.625,8,201302020MIN,22:25,1,2,Austin Rivers,riverau01,-21,9,0,noh,1,1
1,0,1,2,1,.200,5,.250,8,3,.750,4,201302020MIN,19:49,1,2,Ryan Anderson,anderry01,-24,8,0,noh,2,2
0,0,2,2,0,,0,.500,4,2,1.000,2,201302020MIN,17:09,1,2,Jason Smith,smithja02,-10,6,0,noh,3,3
0,0,2,2,0,,0,.400,5,2,.667,3,201302020MIN,16:20,0,4,Xavier Henry,henryxa01,-13,6,1,noh,1,2
2,0,1,2,1,.333,3,.333,6,2,1.000,2,201302020MIN,14:46,1,0,Brian Roberts,roberbr01,-9,7,2,noh,1,2
0,1,0,1,0,.000,1,.500,2,0,,0,201302020MIN,13:18,0,2,Darius Miller,milleda01,-5,2,0,noh,0,0
0,0,0,0,0,,0,,0,2,1.000,2,201302020MIN,12:46,0,1,Lance Thomas,thomala01,-11,2,1,noh,0,0
3,0,5,4,1,.500,2,.571,7,3,.500,6,201302020MIN,26:32,1,1,Andrei Kirilenko,kirilan01,+15,12,2,min,3,6
4,0,1,3,1,.333,3,.375,8,0,,0,201302020MIN,23:54,0,1,Luke Ridnour,ridnolu01,+8,7,2,min,3,1
0,1,4,5,0,,0,.500,10,4,.800,5,201302020MIN,23:51,3,4,Nikola Pekovic,pekovni01,+13,14,1,min,3,7
7,0,1,3,0,,0,.600,5,3,.750,4,201302020MIN,22:31,2,3,Ricky Rubio,rubiori01,+8,9,1,min,1,3
0,0,2,1,0,.000,1,.333,3,3,.750,4,201302020MIN,13:53,1,1,Derrick Williams,willide02,+6,5,1,min,1,3
1,0,2,9,0,,0,1.000,9,0,,0,201302020MIN,26:08,2,2,Dante Cunningham,cunnida01,+27,18,2,min,1,4
8,1,3,4,1,.200,5,.364,11,3,.750,4,201302020MIN,25:29,1,1,Alexey Shved,shvedal01,+21,12,0,min,2,4
6,0,4,2,1,.500,2,.286,7,0,,0,201302020MIN,24:06,0,1,J.J. Barea,bareajo01,+21,5,0,min,3,4
0,0,4,4,1,.500,2,.800,5,2,1.000,2,201302020MIN,21:28,1,3,Mickael Gelabale,gelabmi01,+14,11,1,min,1,5
0,2,2,3,0,,0,.750,4,2,1.000,2,201302020MIN,16:10,1,3,Greg Stiemsma,stiemgr01,+20,8,1,min,0,3
1,0,1,4,0,,0,.800,5,0,.000,2,201302020MIN,7:59,2,2,Lou Amundson,amundlo01,-4,8,0,min,0,3
0,1,0,3,0,,0,1.000,3,0,,0,201302020MIN,7:59,1,5,Chris Johnson,johnsch03,-4,6,1,min,0,1
