ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,gm,mp,orb,pf,player,player_id,plus_minus,pts,stl,team,tov,trb
4,0,2,4,0,.000,2,.267,15,4,1.000,4,201302130NOH,35:21,0,3,Damian Lillard,lillada01,-22,12,1,por,3,2
6,2,3,1,1,.167,6,.100,10,0,,0,201302130NOH,31:06,1,1,Nicolas Batum,batumni01,-17,3,0,por,0,4
0,4,2,2,0,,0,.182,11,2,1.000,2,201302130NOH,29:43,1,2,LaMarcus Aldridge,aldrila01,-18,6,2,por,3,3
2,2,4,4,0,,0,.800,5,2,1.000,2,201302130NOH,21:59,1,1,J.J. Hickson,hicksjj01,-10,10,0,por,1,5
1,0,1,0,0,,0,,0,0,,0,201302130NOH,1:30,0,0,Wesley Matthews,matthwe02,0,0,0,por,0,1
2,1,4,5,1,.200,5,.500,10,0,,0,201302130NOH,35:50,2,1,Victor Claver,clavevi01,-27,11,1,por,2,6
1,0,4,4,0,.000,2,.333,12,1,1.000,1,201302130NOH,25:55,0,1,Will Barton,bartowi01,-27,9,0,por,3,4
0,0,3,1,0,,0,.333,3,4,1.000,4,201302130NOH,18:03,0,3,Meyers Leonard,leoname01,-19,6,0,por,0,3
0,0,1,3,0,,0,.600,5,0,,0,201302130NOH,17:14,1,0,Joel Freeland,freeljo01,-17,6,0,por,2,2
3,0,1,0,0,.000,1,.000,2,0,,0,201302130NOH,12:39,0,0,Ronnie Price,pricero01,-14,0,0,por,2,1
0,0,4,0,0,.000,1,.000,1,0,,0,201302130NOH,10:40,0,0,Luke Babbitt,babbilu01,-9,0,0,por,0,4
1,0,7,5,0,,0,.556,9,0,,0,201302130NOH,28:29,2,0,Al-Farouq Aminu,aminual01,+15,10,0,noh,1,9
3,2,7,10,0,,0,.588,17,1,.500,2,201302130NOH,27:36,4,4,Anthony Davis,davisan02,+24,21,1,noh,2,11
1,0,2,3,0,,0,.500,6,2,1.000,2,201302130NOH,27:25,0,2,Austin Rivers,riverau01,+8,8,0,noh,0,2
8,0,4,3,1,.500,2,.375,8,3,.750,4,201302130NOH,26:17,1,0,Greivis Vasquez,vasqugr01,+17,10,2,noh,2,5
0,0,2,2,0,,0,.333,6,1,.500,2,201302130NOH,20:38,2,1,Robin Lopez,lopezro01,+7,5,0,noh,1,4
2,1,4,6,2,.400,5,.429,14,0,,0,201302130NOH,25:27,3,0,Ryan Anderson,anderry01,+28,14,2,noh,0,7
7,0,3,2,1,.500,2,.400,5,2,1.000,2,201302130NOH,21:43,1,2,Brian Roberts,roberbr01,+19,7,1,noh,0,4
2,0,2,3,0,.000,1,.429,7,0,,0,201302130NOH,20:41,1,0,Roger Mason,masonro01,+28,6,0,noh,0,3
0,1,1,1,1,.500,2,.250,4,0,,0,201302130NOH,19:25,0,1,Darius Miller,milleda01,+21,3,0,noh,0,1
2,2,4,6,0,,0,.545,11,1,.500,2,201302130NOH,16:59,0,1,Jason Smith,smithja02,+15,13,0,noh,0,4
0,0,1,0,0,,0,,0,2,.500,4,201302130NOH,3:37,1,1,Lance Thomas,thomala01,-1,2,1,noh,0,2
0,0,0,0,0,,0,,0,0,,0,201302130NOH,1:43,0,1,Xavier Henry,henryxa01,-1,0,0,noh,0,0
