ast_pct,blk_pct,def_rtg,drb_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,gm,mp,off_rtg,orb_pct,player,player_id,stl_pct,team,tov_pct,trb_pct,ts_pct,usg_pct
31.6,6.4,107,16.4,.538,.000,.385,201302200CHA,35:01,135,3.6,Greg Monroe,monrogr01,1.5,det,6.2,10.9,.625,22.2
27.8,0.0,114,9.6,.773,.364,.364,201302200CHA,29:58,157,0.0,Brandon Knight,knighbr03,1.8,det,7.3,5.5,.823,22.0
9.8,0.0,122,3.3,.750,.500,.750,201302200CHA,29:10,165,4.3,Jose Calderon,caldejo01,0.0,det,0.0,3.7,.799,17.5
0.0,6.5,114,8.3,.667,.333,.000,201302200CHA,23:01,83,5.5,Kyle Singler,singlky01,0.0,det,33.3,7.1,.667,18.7
0.0,4.3,118,5.5,.333,.000,.333,201302200CHA,17:24,77,0.0,Jason Maxiell,maxieja01,0.0,det,0.0,3.1,.363,19.0
14.8,0.0,109,19.0,.455,.182,.364,201302200CHA,30:20,101,4.2,Rodney Stuckey,stuckro01,1.8,det,7.3,12.6,.470,21.7
38.7,0.0,115,7.2,.444,.111,.000,201302200CHA,26:29,101,4.8,Will Bynum,bynumwi01,2.0,det,18.2,6.2,.444,19.9
10.6,5.7,104,29.3,.438,.375,.000,201302200CHA,26:12,105,4.8,Charlie Villanueva,villach01,0.0,det,0.0,18.7,.438,14.6
0.0,0.0,115,14.8,.750,.000,.500,201302200CHA,12:59,104,19.5,Viacheslav Kravtsov,kravtvi01,0.0,det,17.0,16.8,.615,21.7
0.0,0.0,107,30.5,.200,.200,.000,201302200CHA,9:26,44,0.0,Jonas Jerebko,jerebjo01,0.0,det,0.0,17.3,.200,25.4
13.0,3.6,121,9.2,.526,.474,.211,201302200CHA,41:21,99,2.3,Kemba Walker,walkeke02,0.0,cha,19.4,5.3,.578,28.1
22.6,0.0,121,21.7,.321,.214,.286,201302200CHA,34:52,103,2.8,Gerald Henderson,hendege02,0.0,cha,6.0,11.0,.412,21.7
17.4,7.6,116,12.8,.500,.000,.200,201302200CHA,29:40,114,9.7,Michael Kidd-Gilchrist,kiddgmi01,0.0,cha,8.4,11.0,.506,18.1
6.4,0.0,122,17.6,.625,.417,.000,201302200CHA,28:47,135,6.7,Byron Mullens,mulleby01,0.0,cha,0.0,11.4,.625,18.8
12.7,3.6,116,30.0,.000,.000,.000,201302200CHA,21:04,71,13.7,Bismack Biyombo,biyombi01,0.0,cha,0.0,20.7,.000,8.6
44.9,0.0,114,19.9,.636,.273,.545,201302200CHA,31:44,144,3.0,Ramon Sessions,sessira01,3.4,cha,6.8,10.3,.660,20.8
0.0,4.1,117,20.7,.250,.000,.250,201302200CHA,18:20,75,10.5,Brendan Haywood,haywobr01,0.0,cha,0.0,14.9,.225,10.9
19.3,8.4,111,0.0,.600,.000,.400,201302200CHA,17:50,164,16.1,Jeff Adrien,adrieje01,3.0,cha,0.0,9.2,.680,14.9
17.0,0.0,123,12.0,.357,.429,.000,201302200CHA,10:30,87,0.0,Ben Gordon,gordobe01,0.0,cha,0.0,5.2,.357,30.1
0.0,0.0,125,0.0,.333,.667,.667,201302200CHA,5:52,87,0.0,Jeffery Taylor,tayloje03,0.0,cha,0.0,0.0,.387,29.9
