ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,gm,mp,orb,pf,player,player_id,plus_minus,pts,stl,team,tov,trb
8,1,4,7,4,.667,6,.583,12,2,1.000,2,201303060CHA,38:30,0,2,Deron Williams,willide01,+22,20,1,brk,4,4
2,5,8,1,0,.000,1,.143,7,6,.857,7,201303060CHA,33:14,0,3,Gerald Wallace,wallage01,+9,8,2,brk,1,8
1,3,4,6,0,,0,.857,7,4,1.000,4,201303060CHA,32:46,1,2,Brook Lopez,lopezbr01,+18,16,0,brk,2,5
3,0,4,8,5,.625,8,.571,14,1,.500,2,201303060CHA,31:45,1,1,Joe Johnson,johnsjo02,+17,22,0,brk,6,5
1,0,12,3,0,,0,.750,4,0,,0,201303060CHA,27:33,4,1,Reggie Evans,evansre01,+7,6,2,brk,2,16
4,0,1,2,1,.500,2,.500,4,0,,0,201303060CHA,20:46,0,4,C.J. Watson,watsocj01,+7,5,0,brk,0,1
0,0,5,3,0,,0,.600,5,2,.667,3,201303060CHA,15:14,0,1,Andray Blatche,blatcan01,+3,8,0,brk,3,5
3,0,2,1,1,.250,4,.200,5,0,,0,201303060CHA,14:01,0,0,Mirza Teletovic,teletmi01,+7,3,0,brk,0,2
1,0,1,2,2,.400,5,.400,5,0,,0,201303060CHA,13:42,0,1,Keith Bogans,boganke01,+13,6,1,brk,2,1
0,1,1,0,0,.000,1,.000,2,3,.750,4,201303060CHA,8:43,0,0,MarShon Brooks,brookma01,-2,3,1,brk,2,1
0,0,1,1,0,,0,.500,2,0,,0,201303060CHA,1:53,0,1,Tyshawn Taylor,tayloty01,+2,2,0,brk,1,1
0,0,0,0,0,,0,,0,0,,0,201303060CHA,1:53,0,0,Tornike Shengelia,shengto01,+2,0,0,brk,1,0
3,0,3,4,0,.000,2,.308,13,3,.750,4,201303060CHA,33:04,0,3,Gerald Henderson,hendege02,-23,11,1,cha,1,3
1,0,4,8,0,,0,.615,13,1,1.000,1,201303060CHA,32:19,1,5,Michael Kidd-Gilchrist,kiddgmi01,-22,17,2,cha,1,5
8,1,2,4,1,.333,3,.333,12,1,1.000,1,201303060CHA,31:58,0,2,Kemba Walker,walkeke02,-21,10,3,cha,3,2
0,1,3,3,0,,0,.750,4,1,.500,2,201303060CHA,16:08,0,3,Bismack Biyombo,biyombi01,-1,7,0,cha,1,3
0,0,0,2,0,.000,2,.333,6,0,,0,201303060CHA,13:03,0,2,Byron Mullens,mulleby01,-9,4,0,cha,0,0
0,0,2,6,2,.333,6,.400,15,2,.667,3,201303060CHA,26:23,0,2,Ben Gordon,gordobe01,-13,16,1,cha,3,2
5,0,3,1,0,.000,1,.200,5,0,.000,2,201303060CHA,25:28,3,2,Josh McRoberts,mcrobjo01,-8,2,0,cha,1,6
2,0,2,3,1,.333,3,.300,10,2,1.000,2,201303060CHA,20:27,1,0,Ramon Sessions,sessira01,+4,9,1,cha,1,3
0,0,2,0,0,,0,.000,2,0,,0,201303060CHA,19:52,1,0,Brendan Haywood,haywobr01,-11,0,0,cha,1,3
2,1,2,1,0,,0,.500,2,0,,0,201303060CHA,13:28,0,2,Jeff Adrien,adrieje01,-4,2,0,cha,0,2
0,0,0,0,0,.000,1,.000,2,0,,0,201303060CHA,7:50,0,0,Jeffery Taylor,tayloje03,+3,0,0,cha,0,0
