ast_pct,blk_pct,def_rtg,drb_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,gm,mp,off_rtg,orb_pct,player,player_id,stl_pct,team,tov_pct,trb_pct,ts_pct,usg_pct
26.0,5.5,99,17.9,.462,.000,.154,201303150DEN,40:19,110,2.4,Marc Gasol,gasolma01,1.4,mem,12.6,9.4,.504,17.6
5.4,0.0,100,24.6,.429,.000,.571,201303150DEN,38:59,118,25.1,Zach Randolph,randoza01,1.5,mem,10.2,24.9,.514,22.4
14.8,0.0,102,9.3,.346,.308,.154,201303150DEN,38:55,67,7.6,Mike Conley,conlemi01,2.9,mem,33.5,8.3,.396,24.0
17.6,0.0,106,6.8,.423,.308,.000,201303150DEN,35:20,103,5.5,Tayshaun Prince,princta01,1.6,mem,7.1,6.1,.423,17.7
15.5,2.9,94,18.9,.250,.000,.167,201303150DEN,25:23,93,7.7,Tony Allen,allento01,4.5,mem,0.0,12.7,.311,22.7
0.0,0.0,108,10.4,.444,.333,.222,201303150DEN,23:05,96,0.0,Jerryd Bayless,bayleje01,0.0,mem,16.8,4.7,.506,23.0
0.0,0.0,109,6.1,.000,.500,.000,201303150DEN,19:31,0,0.0,Quincy Pondexter,pondequ01,0.0,mem,0.0,2.8,.000,4.6
0.0,6.9,93,11.3,.200,.000,.600,201303150DEN,10:40,93,18.4,Ed Davis,davised01,5.3,mem,0.0,15.2,.316,26.5
69.3,0.0,112,0.0,.500,.000,.000,201303150DEN,7:49,131,0.0,Tony Wroten,wroteto01,0.0,mem,0.0,0.0,.500,22.9
9.6,0.0,94,11.1,.500,.273,.364,201303150DEN,35:19,123,0.0,Danilo Gallinari,gallida01,3.2,den,7.3,6.1,.588,18.2
18.7,0.0,106,0.0,.333,.333,.000,201303150DEN,34:49,75,0.0,Ty Lawson,lawsoty01,1.6,den,14.3,0.0,.333,18.8
33.4,0.0,91,20.0,.444,.111,.000,201303150DEN,34:14,121,0.0,Andre Iguodala,iguodan01,1.7,den,0.0,11.0,.444,12.3
0.0,6.4,86,28.5,.778,.000,.667,201303150DEN,30:53,152,27.2,Kosta Koufos,koufoko01,0.0,den,7.9,27.9,.773,19.1
9.0,13.6,92,5.1,.375,.000,.625,201303150DEN,19:19,83,18.6,Kenneth Faried,farieke01,2.9,den,16.4,11.2,.392,29.5
21.3,0.0,106,3.7,.714,.000,.000,201303150DEN,26:08,102,0.0,Andre Miller,millean02,0.0,den,30.0,2.1,.714,17.9
0.0,0.0,93,15.5,.222,.333,.222,201303150DEN,25:18,44,0.0,Wilson Chandler,chandwi01,2.2,den,23.3,8.5,.253,23.8
7.7,0.0,97,8.9,.375,.125,.625,201303150DEN,22:02,105,5.4,Corey Brewer,breweco01,2.6,den,16.4,7.3,.539,25.9
0.0,16.5,85,8.2,.500,.000,.000,201303150DEN,11:58,77,20.1,JaVale McGee,mcgeeja01,4.7,den,33.3,13.5,.500,23.4
