ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,gm,mp,orb,pf,player,player_id,plus_minus,pts,stl,team,tov,trb
2,0,5,8,1,.500,2,.471,17,5,.833,6,201303150TOR,43:21,2,2,Gerald Henderson,hendege02,-6,22,3,cha,1,7
5,0,3,5,2,.250,8,.294,17,8,.667,12,201303150TOR,40:31,1,3,Kemba Walker,walkeke02,-9,20,3,cha,3,4
3,2,7,4,0,.000,2,.444,9,2,.667,3,201303150TOR,38:10,2,2,Josh McRoberts,mcrobjo01,-11,10,3,cha,2,9
0,0,1,2,0,,0,.167,12,0,.000,2,201303150TOR,27:38,2,4,Michael Kidd-Gilchrist,kiddgmi01,-14,4,2,cha,2,3
1,1,1,1,0,,0,.333,3,2,1.000,2,201303150TOR,22:41,4,1,Bismack Biyombo,biyombi01,-3,4,2,cha,1,5
1,0,1,4,2,.286,7,.250,16,0,,0,201303150TOR,26:23,1,1,Ben Gordon,gordobe01,-12,10,0,cha,1,2
0,0,2,2,1,1.000,1,.667,3,3,.750,4,201303150TOR,24:42,2,2,Jeffery Taylor,tayloje03,-6,8,0,cha,2,4
0,0,0,0,0,,0,.000,1,0,,0,201303150TOR,8:28,1,2,Byron Mullens,mulleby01,-5,0,1,cha,0,1
2,0,0,0,0,.000,2,.000,2,0,,0,201303150TOR,5:04,0,0,Jannero Pargo,pargoja01,+1,0,0,cha,1,0
0,0,0,0,0,,0,,0,0,,0,201303150TOR,2:25,0,1,Reggie Williams,willire02,-6,0,0,cha,0,0
0,0,1,0,0,,0,,0,0,,0,201303150TOR,0:37,0,0,Jeff Adrien,adrieje01,+1,0,0,cha,0,1
1,3,13,5,0,,0,.455,11,2,1.000,2,201303150TOR,43:49,8,2,Amir Johnson,johnsam01,+11,12,2,tor,6,21
2,1,3,11,1,.333,3,.688,16,5,1.000,5,201303150TOR,35:47,0,4,Rudy Gay,gayru01,+10,28,1,tor,6,3
4,1,4,1,0,,0,.200,5,7,.875,8,201303150TOR,30:52,0,1,DeMar DeRozan,derozde01,-1,9,0,tor,3,4
2,1,5,3,1,.250,4,.300,10,0,,0,201303150TOR,26:46,1,5,Kyle Lowry,lowryky01,0,7,2,tor,1,6
1,1,6,5,0,,0,.833,6,0,.000,1,201303150TOR,20:30,0,4,Jonas Valanciunas,valanjo01,+2,10,0,tor,0,6
1,0,2,4,1,1.000,1,.800,5,0,,0,201303150TOR,23:54,0,2,Terrence Ross,rosste01,+20,9,1,tor,1,2
0,1,1,2,0,,0,.400,5,2,.667,3,201303150TOR,23:10,0,2,Alan Anderson,anderal01,+10,6,0,tor,1,1
5,0,1,2,0,.000,1,.333,6,7,.875,8,201303150TOR,21:14,1,3,Sebastian Telfair,telfase01,+14,11,0,tor,1,2
0,0,1,0,0,.000,1,.000,4,0,,0,201303150TOR,13:58,0,0,Landry Fields,fieldla01,+4,0,0,tor,0,1
