ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,gm,mp,orb,pf,player,player_id,plus_minus,pts,stl,team,tov,trb
3,2,3,5,0,,0,.357,14,1,1.000,1,201303160UTA,41:00,3,5,Marc Gasol,gasolma01,+1,11,0,mem,3,6
1,0,7,7,0,.000,1,.636,11,5,.714,7,201303160UTA,39:13,2,5,Zach Randolph,randoza01,-10,19,2,mem,2,9
4,1,4,6,0,.000,2,.333,18,1,.500,2,201303160UTA,37:29,0,2,Mike Conley,conlemi01,-13,13,1,mem,1,4
2,0,5,3,0,.000,1,.273,11,3,.750,4,201303160UTA,32:56,2,1,Tayshaun Prince,princta01,-7,9,1,mem,2,7
2,1,8,1,0,,0,.333,3,2,.500,4,201303160UTA,30:00,1,3,Tony Allen,allento01,+10,4,0,mem,1,9
2,0,2,9,4,.571,7,.643,14,2,1.000,2,201303160UTA,24:17,0,2,Jerryd Bayless,bayleje01,+2,24,0,mem,2,2
0,1,2,2,0,,0,.500,4,0,,0,201303160UTA,15:43,3,2,Ed Davis,davised01,-3,4,0,mem,0,5
0,1,0,0,0,.000,1,.000,2,0,.000,2,201303160UTA,14:51,0,1,Quincy Pondexter,pondequ01,-3,0,0,mem,0,0
0,0,0,0,0,,0,,0,0,,0,201303160UTA,4:27,0,1,Austin Daye,dayeau01,-7,0,0,mem,0,0
0,0,0,0,0,,0,,0,0,,0,201303160UTA,0:04,0,0,Jon Leuer,leuerjo01,0,0,0,mem,0,0
3,0,8,5,3,.500,6,.500,10,4,.667,6,201303160UTA,37:53,0,2,Gordon Hayward,haywago01,+13,17,1,uta,1,8
3,0,5,7,0,.000,1,.438,16,0,.000,2,201303160UTA,37:25,0,1,Al Jefferson,jeffeal01,+8,14,0,uta,1,5
6,1,4,5,0,.000,3,.385,13,3,.600,5,201303160UTA,35:43,0,4,Mo Williams,willima01,+5,13,1,uta,1,4
2,0,6,4,0,,0,.500,8,5,.833,6,201303160UTA,26:22,2,4,Paul Millsap,millspa01,+8,13,3,uta,2,8
0,1,1,1,1,.333,3,.200,5,2,1.000,2,201303160UTA,21:16,1,2,Randy Foye,foyera01,+5,5,0,uta,0,2
0,2,4,4,0,,0,.800,5,2,1.000,2,201303160UTA,27:11,2,4,Derrick Favors,favorde01,+2,10,0,uta,0,6
1,0,1,1,0,.000,1,.250,4,3,.750,4,201303160UTA,22:43,2,1,Marvin Williams,willima02,-4,5,1,uta,0,3
1,0,1,1,0,,0,.500,2,0,,0,201303160UTA,12:17,0,2,Earl Watson,watsoea01,+1,2,0,uta,0,1
0,0,1,2,0,,0,.333,6,4,1.000,4,201303160UTA,10:22,0,1,Enes Kanter,kanteen01,-2,8,1,uta,0,1
2,0,0,1,1,.500,2,.500,2,0,,0,201303160UTA,8:48,0,0,Alec Burks,burksal01,-6,3,0,uta,0,0
