ast_pct,blk_pct,def_rtg,drb_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,gm,mp,off_rtg,orb_pct,player,player_id,stl_pct,team,tov_pct,trb_pct,ts_pct,usg_pct
0.0,2.5,81,13.9,.429,.000,.286,201311230MIL,28:10,112,8.7,Michael Kidd-Gilchrist,kiddgmi01,1.9,cha,0.0,11.6,.444,13.1
17.5,0.0,85,10.5,.550,.300,.100,201311230MIL,27:57,88,4.4,Kemba Walker,walkeke02,1.9,cha,27.7,7.8,.527,24.1
22.0,0.0,83,15.1,.625,.167,.417,201311230MIL,26:02,135,0.0,Gerald Henderson,hendege02,2.1,cha,0.0,8.4,.599,25.4
16.6,2.8,75,15.5,.533,.000,.333,201311230MIL,25:18,114,14.6,Al Jefferson,jeffeal01,4.3,cha,10.4,15.1,.552,35.4
16.4,0.0,73,36.1,.857,.571,.000,201311230MIL,21:41,183,5.7,Josh McRoberts,mcrobjo01,2.5,cha,0.0,22.6,.857,15.1
5.3,0.0,87,3.6,.389,.444,.444,201311230MIL,27:27,91,0.0,Jeffery Taylor,tayloje03,2.0,cha,8.5,2.0,.418,20.0
4.8,5.4,86,7.4,.000,.000,.667,201311230MIL,26:19,53,14.0,Cody Zeller,zelleco01,0.0,cha,50.8,10.4,.258,14.0
39.5,0.0,87,4.0,.500,.125,.750,201311230MIL,24:14,152,0.0,Ramon Sessions,sessira01,2.2,cha,0.0,2.3,.611,20.5
0.0,0.0,73,33.9,.500,.000,.500,201311230MIL,17:21,115,28.4,Jeff Adrien,adrieje01,3.1,cha,0.0,31.4,.410,13.1
0.0,0.0,93,0.0,.500,.000,.000,201311230MIL,5:21,35,0.0,Jannero Pargo,pargoja01,0.0,cha,60.0,0.0,.500,43.6
0.0,0.0,71,54.9,,,,201311230MIL,5:21,0,0.0,Bismack Biyombo,biyombi01,0.0,cha,,30.6,,0.0
0.0,0.0,77,40.7,,,,201311230MIL,4:49,0,0.0,Anthony Tolliver,tollian01,0.0,cha,,22.6,,0.0
,,,,,,,201311230MIL,Did Not Play,,,Ben Gordon,gordobe01,,cha,,,,
8.6,0.0,117,0.0,.286,.143,.000,201311230MIL,21:46,56,0.0,O.J. Mayo,mayooj01,0.0,mil,12.5,0.0,.286,17.0
0.0,0.0,115,5.9,.500,.333,.333,201311230MIL,20:49,77,4.7,Ersan Ilyasova,ilyaser01,0.0,mil,22.5,5.2,.509,19.7
0.0,0.0,107,12.0,.313,.500,.000,201311230MIL,20:28,50,0.0,Caron Butler,butleca01,2.6,mil,20.0,5.3,.313,22.6
27.2,0.0,111,0.0,.200,.400,.000,201311230MIL,19:14,51,5.1,Luke Ridnour,ridnolu01,2.8,mil,28.6,2.8,.200,16.8
0.0,0.0,94,41.7,.000,.000,.000,201311230MIL,11:49,0,0.0,Zaza Pachulia,pachuza01,4.6,mil,0.0,18.5,.000,7.8
20.7,0.0,108,13.1,.692,.154,.231,201311230MIL,28:16,139,3.5,Khris Middleton,middlkh01,1.9,mil,0.0,7.7,.698,23.4
46.2,0.0,116,4.8,.188,.500,.000,201311230MIL,25:49,48,0.0,Brandon Knight,knighbr03,0.0,mil,33.3,2.1,.188,21.5
30.7,3.0,99,33.6,.333,.000,.444,201311230MIL,25:38,105,7.6,John Henson,hensojo01,2.1,mil,8.5,19.2,.465,21.2
9.8,3.9,110,12.6,.400,.000,.000,201311230MIL,19:29,113,25.1,Ekpe Udoh,udohek01,0.0,mil,0.0,19.6,.400,11.8
0.0,0.0,112,12.7,.409,.273,.000,201311230MIL,19:25,73,0.0,Gary Neal,nealga01,0.0,mil,8.3,5.6,.409,28.5
0.0,0.0,90,20.5,.429,.000,.000,201311230MIL,12:00,76,8.2,Giannis Antetokounmpo,antetgi01,9.0,mil,12.5,13.6,.429,30.8
35.4,0.0,112,13.6,.000,.000,.000,201311230MIL,9:02,27,0.0,Nate Wolters,woltena01,0.0,mil,33.3,6.0,.000,15.3
34.4,0.0,116,0.0,.500,.000,.000,201311230MIL,6:15,114,0.0,Miroslav Raduljica,radulmi01,0.0,mil,0.0,0.0,.500,14.8
