ast_pct,blk_pct,def_rtg,drb_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,gm,mp,off_rtg,orb_pct,player,player_id,stl_pct,team,tov_pct,trb_pct,ts_pct,usg_pct
8.4,1.8,103,5.3,.500,.556,.000,201311250MEM,39:22,100,3.8,Patrick Beverley,beverpa01,1.4,hou,18.2,4.7,.500,13.6
5.6,0.0,106,8.6,.944,.222,.000,201311250MEM,36:36,135,0.0,Chandler Parsons,parsoch01,0.0,hou,25.0,5.0,.944,15.9
10.9,0.0,97,13.3,.500,.250,.875,201311250MEM,31:30,122,0.0,Jeremy Lin,linje01,3.5,hou,15.3,7.8,.632,20.2
7.6,2.6,99,19.3,.600,.000,.600,201311250MEM,27:01,92,11.1,Dwight Howard,howardw01,0.0,hou,28.3,15.9,.593,31.7
14.2,5.5,100,12.3,.400,.200,.600,201311250MEM,25:30,104,11.8,Terrence Jones,joneste01,0.0,hou,7.3,12.1,.435,26.0
0.0,0.0,98,13.9,.833,.500,1.000,201311250MEM,22:30,175,0.0,Omri Casspi,casspom01,2.5,hou,10.4,8.2,.926,20.8
7.2,0.0,97,29.8,.333,.000,.000,201311250MEM,20:59,133,28.6,Omer Asik,asikom01,0.0,hou,0.0,29.3,.333,6.9
16.1,6.8,82,25.6,.313,.750,.250,201311250MEM,20:21,66,0.0,Francisco Garcia,garcifr01,5.4,hou,25.3,15.1,.338,28.3
9.6,0.0,99,6.4,.250,.667,.000,201311250MEM,16:11,75,18.5,Aaron Brooks,brookaa01,3.4,hou,14.3,11.4,.250,21.0
,,,,,,,201311250MEM,Did Not Play,,,Donatas Motiejunas,motiedo01,,hou,,,,
,,,,,,,201311250MEM,Did Not Play,,,Ronnie Brewer,brewero02,,hou,,,,
,,,,,,,201311250MEM,Did Not Play,,,Greg Smith,smithgr02,,hou,,,,
,,,,,,,201311250MEM,Did Not Play,,,James Harden,hardeja01,,hou,,,,
11.3,0.0,116,0.0,.750,.100,.200,201311250MEM,34:53,135,3.0,Tayshaun Prince,princta01,1.6,mem,8.4,1.8,.735,15.6
10.2,0.0,113,21.5,.417,.083,.333,201311250MEM,34:51,81,3.0,Zach Randolph,randoza01,0.0,mem,22.5,10.6,.472,23.3
45.7,0.0,114,4.5,.179,.214,.429,201311250MEM,33:42,98,3.1,Mike Conley,conlemi01,1.6,mem,0.0,3.7,.300,22.6
11.2,6.9,108,29.3,.571,.000,.000,201311250MEM,30:46,127,23.7,Kosta Koufos,koufoko01,0.0,mem,12.5,26.0,.571,11.9
6.4,7.0,91,4.9,.500,.083,.333,201311250MEM,30:22,88,3.4,Tony Allen,allento01,10.9,mem,22.5,4.1,.545,26.8
0.0,0.0,107,17.0,.143,.286,.000,201311250MEM,17:38,25,0.0,Jerryd Bayless,bayleje01,3.1,mem,22.2,7.0,.143,23.4
9.6,0.0,105,25.7,.750,1.000,.500,201311250MEM,17:29,174,0.0,Mike Miller,millemi01,3.2,mem,0.0,10.6,.820,12.8
12.4,13.7,100,19.3,.600,.000,.000,201311250MEM,15:35,137,13.4,Ed Davis,davised01,3.6,mem,0.0,15.8,.600,14.7
36.9,0.0,119,0.0,.500,.250,.000,201311250MEM,14:18,81,0.0,Nick Calathes,calatni01,0.0,mem,33.3,0.0,.500,19.2
0.0,10.2,98,14.4,.286,.000,.000,201311250MEM,10:26,60,10.0,Jon Leuer,leuerjo01,5.3,mem,12.5,11.8,.286,35.1
,,,,,,,201311250MEM,Did Not Play,,,Quincy Pondexter,pondequ01,,mem,,,,
,,,,,,,201311250MEM,Did Not Play,,,Jamaal Franklin,frankja01,,mem,,,,
