ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,gm,mp,orb,pf,player,player_id,plus_minus,pts,stl,team,tov,trb
6,0,2,4,2,.500,4,.308,13,3,.750,4,201312280WAS,31:53,2,2,Brandon Jennings,jennibr01,-22,13,0,det,7,4
1,2,5,2,0,,0,.400,5,0,,0,201312280WAS,28:49,2,3,Andre Drummond,drumman01,-27,4,1,det,3,7
2,0,5,6,0,,0,.667,9,2,1.000,2,201312280WAS,23:34,2,2,Greg Monroe,monrogr01,-26,14,1,det,0,7
1,0,3,2,0,.000,2,.286,7,0,,0,201312280WAS,17:47,1,0,Josh Smith,smithjo03,-18,4,0,det,1,4
0,0,0,1,0,,0,.250,4,0,.000,1,201312280WAS,16:11,0,2,Kentavious Caldwell-Pope,caldwke01,-6,2,1,det,1,0
5,0,2,3,1,.500,2,.300,10,3,1.000,3,201312280WAS,27:08,1,3,Will Bynum,bynumwi01,-3,10,0,det,2,3
1,1,1,4,1,.333,3,.667,6,1,1.000,1,201312280WAS,23:26,2,2,Josh Harrellson,harrejo01,-1,10,1,det,0,3
0,1,0,4,1,.333,3,.571,7,0,,0,201312280WAS,21:18,1,1,Kyle Singler,singlky01,-18,9,1,det,2,1
1,0,5,3,1,1.000,1,.750,4,1,.500,2,201312280WAS,15:29,0,1,Jonas Jerebko,jerebjo01,+2,8,0,det,1,5
0,1,4,0,0,.000,4,.000,5,3,.750,4,201312280WAS,13:15,0,0,Charlie Villanueva,villach01,+2,3,1,det,4,4
1,0,0,1,1,1.000,1,.333,3,0,,0,201312280WAS,7:52,0,0,Chauncey Billups,billuch01,-2,3,1,det,1,0
0,0,0,1,0,.000,1,.500,2,0,,0,201312280WAS,7:08,0,1,Luigi Datome,datomlu01,-2,2,1,det,0,0
2,0,0,0,0,,0,.000,2,0,,0,201312280WAS,6:10,0,1,Rodney Stuckey,stuckro01,+1,0,1,det,0,0
4,1,4,5,0,,0,.625,8,0,,0,201312280WAS,31:46,5,2,Trevor Booker,booketr01,+11,10,0,was,1,9
11,0,1,8,0,.000,1,.571,14,4,.800,5,201312280WAS,30:26,0,3,John Wall,walljo01,+24,20,0,was,2,1
1,2,5,7,0,,0,.778,9,2,1.000,2,201312280WAS,27:15,2,1,Marcin Gortat,gortama01,+22,16,0,was,2,7
6,0,3,5,4,.667,6,.455,11,1,.500,2,201312280WAS,25:56,2,1,Trevor Ariza,arizatr01,+30,15,3,was,2,5
4,0,1,6,3,.750,4,.500,12,0,,0,201312280WAS,20:01,1,0,Bradley Beal,bealbr01,+22,15,0,was,0,2
1,0,1,3,1,.200,5,.273,11,0,,0,201312280WAS,24:46,1,2,Martell Webster,webstma02,+3,7,0,was,4,2
1,0,6,2,0,,0,.250,8,0,,0,201312280WAS,20:58,2,1,Otto Porter,porteot01,-4,4,0,was,0,8
3,0,4,2,0,.000,1,.500,4,3,.750,4,201312280WAS,19:12,1,1,Nene Hilario,hilarne01,+12,7,2,was,3,5
2,2,2,1,0,,0,.250,4,1,.500,2,201312280WAS,17:34,1,1,Garrett Temple,templga01,0,3,4,was,1,3
1,0,2,2,1,1.000,1,1.000,2,0,,0,201312280WAS,9:26,0,1,Chris Singleton,singlch01,0,5,1,was,1,2
0,0,1,2,0,,0,1.000,2,0,.000,2,201312280WAS,8:16,1,6,Jan Vesely,veselja01,+3,4,0,was,1,2
0,0,0,0,0,.000,1,.000,1,0,,0,201312280WAS,4:24,0,1,Eric Maynor,maynoer01,-3,0,0,was,0,0
,,,,,,,,,,,,201312280WAS,Did Not Play,,,Kevin Seraphin,serapke01,,,,was,,
