ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,gm,mp,orb,pf,player,player_id,plus_minus,pts,stl,team,tov,trb
4,0,2,10,6,.667,9,.588,17,3,1.000,3,201401020OKC,41:24,0,2,Deron Williams,willide01,+7,29,5,brk,4,2
3,1,3,6,1,.250,4,.333,18,5,1.000,5,201401020OKC,34:09,1,2,Paul Pierce,piercpa01,+6,18,2,brk,4,4
4,0,3,1,0,.000,1,.143,7,3,.750,4,201401020OKC,33:07,2,0,Shaun Livingston,livinsh01,-1,5,1,brk,4,5
0,0,3,4,1,.167,6,.364,11,0,,0,201401020OKC,30:21,1,4,Joe Johnson,johnsjo02,+16,9,1,brk,1,4
1,0,6,2,0,,0,.500,4,0,,0,201401020OKC,26:12,1,2,Kevin Garnett,garneke01,+14,4,1,brk,3,7
1,0,2,3,0,.000,1,.500,6,7,.778,9,201401020OKC,22:15,0,3,Alan Anderson,anderal01,-5,13,2,brk,0,2
1,0,0,3,0,,0,1.000,3,3,.750,4,201401020OKC,14:53,2,1,Andrei Kirilenko,kirilan01,+3,9,0,brk,0,2
1,0,1,0,0,,0,,0,1,.250,4,201401020OKC,11:24,0,1,Reggie Evans,evansre01,-5,1,1,brk,2,1
1,1,1,1,0,,0,1.000,1,2,1.000,2,201401020OKC,11:13,2,3,Mason Plumlee,plumlma01,-8,4,0,brk,1,3
0,0,3,1,1,.500,2,.500,2,0,,0,201401020OKC,10:28,0,2,Mirza Teletovic,teletmi01,-12,3,0,brk,0,3
0,0,1,0,0,.000,1,.000,1,0,,0,201401020OKC,4:34,0,0,Jason Terry,terryja01,-5,0,0,brk,0,1
,,,,,,,,,,,,201401020OKC,Did Not Play,,,Tyshawn Taylor,tayloty01,,,,brk,,
,,,,,,,,,,,,201401020OKC,Did Not Play,,,Tornike Shengelia,shengto01,,,,brk,,
4,2,4,8,3,.429,7,.615,13,5,1.000,5,201401020OKC,34:27,0,5,Kevin Durant,duranke01,-6,24,0,okc,5,4
0,1,9,5,0,,0,.556,9,0,.000,1,201401020OKC,34:09,2,1,Serge Ibaka,ibakase01,-1,10,2,okc,2,11
1,1,3,2,1,.500,2,.667,3,3,.750,4,201401020OKC,31:34,1,1,Thabo Sefolosha,sefolth01,-15,8,1,okc,4,4
5,0,2,4,0,.000,3,.308,13,1,1.000,1,201401020OKC,29:21,1,4,Reggie Jackson,jacksre01,+1,9,0,okc,4,3
1,0,5,3,0,,0,.429,7,2,1.000,2,201401020OKC,17:20,1,1,Kendrick Perkins,perkike01,-4,8,1,okc,1,6
2,1,1,4,3,.600,5,.571,7,0,,0,201401020OKC,30:10,0,2,Perry Jones,jonespe01,+1,11,1,okc,1,1
3,0,0,3,1,.333,3,.500,6,0,,0,201401020OKC,23:09,0,4,Derek Fisher,fishede01,-2,7,0,okc,0,0
2,1,3,3,1,.500,2,.429,7,2,1.000,2,201401020OKC,19:45,0,2,Jeremy Lamb,lambje01,+14,9,1,okc,2,3
2,0,0,2,0,,0,.667,3,3,.750,4,201401020OKC,14:14,1,3,Steven Adams,adamsst01,-2,7,2,okc,2,1
0,0,0,0,0,,0,,0,0,,0,201401020OKC,5:51,0,0,Nick Collison,collini01,+4,0,1,okc,0,0
,,,,,,,,,,,,201401020OKC,Did Not Play,,,Andre Roberson,roberan03,,,,okc,,
,,,,,,,,,,,,201401020OKC,Did Not Play,,,Ryan Gomes,gomesry01,,,,okc,,
,,,,,,,,,,,,201401020OKC,Did Not Play,,,Hasheem Thabeet,thabeha01,,,,okc,,
