ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,gm,mp,orb,pf,player,player_id,plus_minus,pts,stl,team,tov,trb
8,0,0,7,0,.000,3,.412,17,10,.909,11,201401080LAC,36:46,2,3,Jordan Crawford,crawfjo02,0,24,2,bos,5,2
1,0,10,5,1,.500,2,.417,12,4,.667,6,201401080LAC,33:18,1,5,Jeff Green,greenje02,-7,15,0,bos,2,11
2,1,5,6,0,,0,.600,10,2,.667,3,201401080LAC,31:57,0,4,Brandon Bass,bassbr01,-8,14,1,bos,2,5
4,0,4,3,0,,0,.600,5,0,,0,201401080LAC,31:36,4,6,Kris Humphries,humphkr01,-10,6,0,bos,2,8
2,0,3,10,1,.250,4,.556,18,3,.600,5,201401080LAC,30:41,1,2,Avery Bradley,bradlav01,-6,24,2,bos,2,4
5,0,2,3,2,.500,4,.333,9,3,1.000,3,201401080LAC,20:22,1,1,Jerryd Bayless,bayleje01,+4,11,2,bos,2,3
1,0,4,1,0,,0,1.000,1,0,,0,201401080LAC,20:20,0,1,Gerald Wallace,wallage01,-8,2,0,bos,2,4
1,0,4,3,1,.500,2,.600,5,0,.000,2,201401080LAC,17:57,0,4,Kelly Olynyk,olynyke01,+10,7,0,bos,1,4
0,0,2,1,0,.000,2,.167,6,0,,0,201401080LAC,11:46,1,4,Jared Sullinger,sullija01,-8,2,0,bos,0,3
1,0,1,0,0,,0,,0,0,,0,201401080LAC,5:17,0,0,Phil Pressey,pressph01,+3,0,0,bos,0,1
,,,,,,,,,,,,201401080LAC,Did Not Play,,,Vitor Faverani,favervi01,,,,bos,,
,,,,,,,,,,,,201401080LAC,Did Not Play,,,Keith Bogans,boganke01,,,,bos,,
6,0,2,8,3,.250,12,.308,26,7,1.000,7,201401080LAC,44:47,0,2,Jamal Crawford,crawfja01,+10,26,2,lac,3,2
8,0,5,9,0,,0,.643,14,11,.647,17,201401080LAC,41:23,1,4,Blake Griffin,griffbl01,+9,29,2,lac,2,6
6,0,4,4,2,.667,3,.444,9,5,1.000,5,201401080LAC,32:30,1,6,Darren Collison,collida01,+5,15,1,lac,1,5
3,2,2,7,4,.667,6,.636,11,0,.000,2,201401080LAC,32:08,0,1,Jared Dudley,dudleja01,+8,18,4,lac,1,2
0,1,9,5,0,,0,.833,6,1,.250,4,201401080LAC,27:15,4,4,DeAndre Jordan,jordade01,+16,11,0,lac,2,13
1,0,7,1,1,.500,2,.333,3,2,1.000,2,201401080LAC,21:54,1,1,Matt Barnes,barnema02,-7,5,0,lac,2,8
1,0,1,2,1,.250,4,.400,5,2,1.000,2,201401080LAC,15:05,0,2,Willie Green,greenwi01,+1,7,1,lac,2,1
0,0,0,0,0,.000,3,.000,4,0,,0,201401080LAC,12:20,0,1,Antawn Jamison,jamisan01,+3,0,1,lac,0,0
0,1,0,0,0,,0,,0,0,,0,201401080LAC,8:54,0,1,Ryan Hollins,holliry01,-11,0,0,lac,0,0
1,0,0,0,0,,0,.000,1,0,,0,201401080LAC,3:18,0,1,Maalik Wayns,waynsma01,-4,0,0,lac,0,0
0,0,0,0,0,,0,,0,0,,0,201401080LAC,0:26,0,0,Darius Morris,morrida01,0,0,0,lac,0,0
,,,,,,,,,,,,201401080LAC,Did Not Play,,,Byron Mullens,mulleby01,,,,lac,,
,,,,,,,,,,,,201401080LAC,Did Not Play,,,Reggie Bullock,bullore01,,,,lac,,
