ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,gm,mp,orb,pf,player,player_id,plus_minus,pts,stl,team,tov,trb
7,0,7,8,0,.000,3,.381,21,2,.667,3,201401110PHI,36:11,2,2,Carmelo Anthony,anthoca01,+19,18,1,nyk,3,9
6,0,1,3,0,.000,1,.273,11,3,.750,4,201401110PHI,35:36,0,0,Raymond Felton,feltora01,+4,9,2,nyk,0,1
1,0,5,2,2,.333,6,.222,9,1,.500,2,201401110PHI,32:04,2,1,Iman Shumpert,shumpim01,+3,7,4,nyk,2,7
3,2,5,4,0,,0,.800,5,0,,0,201401110PHI,26:55,3,5,Kenyon Martin,martike01,+3,8,0,nyk,3,8
3,0,3,4,0,.000,2,.444,9,2,1.000,2,201401110PHI,24:26,1,3,Andrea Bargnani,bargnan01,-8,10,0,nyk,1,4
6,0,3,5,3,.750,4,.625,8,1,.500,2,201401110PHI,27:05,0,2,J.R. Smith,smithjr01,+20,14,1,nyk,1,3
0,0,3,8,0,,0,.800,10,5,1.000,5,201401110PHI,21:56,2,3,Amar'e Stoudemire,stoudam01,+7,21,1,nyk,2,5
0,0,2,2,1,.500,2,.667,3,2,1.000,2,201401110PHI,21:39,0,0,Tim Hardaway,hardati02,0,7,2,nyk,1,2
0,0,0,3,0,,0,.500,6,2,.667,3,201401110PHI,12:24,0,4,Toure' Murry,murryto01,+6,8,0,nyk,0,0
0,0,0,0,0,,0,,0,0,,0,201401110PHI,0:52,0,0,Jeremy Tyler,tylerje01,-2,0,0,nyk,0,0
0,0,0,0,0,,0,,0,0,,0,201401110PHI,0:52,0,0,Cole Aldrich,aldrico01,-2,0,0,nyk,0,0
,,,,,,,,,,,,201401110PHI,Did Not Play,,,Beno Udrih,udrihbe01,,,,nyk,,
,,,,,,,,,,,,201401110PHI,Did Not Play,,,Tyson Chandler,chandty01,,,,nyk,,
5,1,6,6,1,.250,4,.429,14,4,1.000,4,201401110PHI,41:15,1,5,Spencer Hawes,hawessp01,-15,17,0,phi,4,7
3,0,2,7,0,.000,2,.438,16,1,.500,2,201401110PHI,39:54,3,1,Thaddeus Young,youngth01,+1,15,4,phi,1,5
1,1,5,4,1,.250,4,.364,11,3,.750,4,201401110PHI,38:47,0,4,Evan Turner,turneev01,-1,12,0,phi,6,5
7,0,6,3,0,.000,1,.500,6,5,.833,6,201401110PHI,36:29,1,3,Michael Carter-Williams,cartemi01,-3,11,2,phi,2,7
1,0,6,8,1,.250,4,.615,13,0,,0,201401110PHI,34:15,1,2,James Anderson,anderja01,-6,17,1,phi,0,7
1,0,2,2,0,,0,.667,3,0,,0,201401110PHI,15:29,1,0,Hollis Thompson,thompho01,-7,4,0,phi,0,3
0,0,0,0,0,,0,.000,2,0,,0,201401110PHI,13:07,1,2,Brandon Davies,daviebr01,-3,0,0,phi,1,1
4,0,1,4,1,1.000,1,.444,9,2,.400,5,201401110PHI,11:31,1,1,Tony Wroten,wroteto01,-7,11,0,phi,1,2
0,0,1,2,1,.333,3,.500,4,0,,0,201401110PHI,9:13,0,2,Elliot Williams,williel01,-9,5,0,phi,0,1
,,,,,,,,,,,,201401110PHI,Did Not Play,,,Lorenzo Brown,brownlo01,,,,phi,,
,,,,,,,,,,,,201401110PHI,Did Not Play,,,Lavoy Allen,allenla01,,,,phi,,
,,,,,,,,,,,,201401110PHI,Did Not Play,,,Arnett Moultrie,moultar01,,,,phi,,
