ast_pct,blk_pct,def_rtg,drb_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,gm,mp,off_rtg,orb_pct,player,player_id,stl_pct,team,tov_pct,trb_pct,ts_pct,usg_pct
29.6,0.0,122,21.3,.444,.222,.556,201401150WAS,41:04,110,5.4,LeBron James,jamesle01,2.6,mia,15.2,12.3,.558,29.8
28.6,0.0,121,7.3,.500,.385,.154,201401150WAS,39:35,109,0.0,Norris Cole,coleno01,4.0,mia,12.6,3.2,.540,18.6
11.3,0.0,126,16.2,.605,.316,.158,201401150WAS,35:54,136,9.3,Chris Bosh,boshch01,1.5,mia,0.0,12.3,.640,26.3
23.4,0.0,128,22.1,.364,.000,.000,201401150WAS,32:52,76,3.4,Dwyane Wade,wadedw01,0.0,mia,21.4,11.5,.364,19.8
0.0,4.7,126,7.5,.300,.800,.000,201401150WAS,19:19,76,5.8,Shane Battier,battish01,0.0,mia,0.0,6.5,.300,12.0
5.1,0.0,130,5.8,.000,.800,.000,201401150WAS,25:15,9,0.0,Ray Allen,allenra02,0.0,mia,28.6,2.5,.000,12.9
0.0,0.0,125,42.1,.500,.000,.000,201401150WAS,20:44,100,0.0,Udonis Haslem,hasleud01,0.0,mia,0.0,18.3,.500,4.5
0.0,0.0,129,17.3,.667,.000,.667,201401150WAS,8:24,165,13.3,Greg Oden,odengr01,0.0,mia,0.0,15.0,.773,21.4
0.0,0.0,131,0.0,.500,.000,.000,201401150WAS,6:54,104,16.2,Michael Beasley,beaslmi01,0.0,mia,0.0,9.2,.500,40.3
0.0,0.0,131,0.0,,,,201401150WAS,6:45,0,0.0,Roger Mason,masonro01,0.0,mia,100.0,0.0,,6.9
0.0,0.0,131,0.0,1.500,1.000,.000,201401150WAS,2:20,300,0.0,James Jones,jonesja02,0.0,mia,0.0,0.0,1.500,39.8
0.0,0.0,131,0.0,,,,201401150WAS,0:54,0,0.0,Rashard Lewis,lewisra02,0.0,mia,,0.0,,0.0
,,,,,,,201401150WAS,Did Not Play,,,Toney Douglas,douglto01,,mia,,,,
36.7,4.4,108,15.1,.607,.429,.571,201401150WAS,36:55,129,0.0,John Wall,walljo01,0.0,was,18.6,8.6,.713,28.4
19.0,0.0,106,12.6,.714,.571,.000,201401150WAS,35:27,120,0.0,Trevor Ariza,arizatr01,3.0,was,22.2,7.1,.714,12.4
38.5,4.7,102,13.0,.400,.000,.600,201401150WAS,34:22,120,0.0,Nene Hilario,hilarne01,3.1,was,5.0,7.4,.501,28.3
0.0,7.9,104,21.6,.545,.000,.000,201401150WAS,31:03,110,14.1,Marcin Gortat,gortama01,0.0,was,8.3,18.3,.545,18.8
22.9,0.0,111,19.5,.615,.385,.231,201401150WAS,28:37,142,0.0,Bradley Beal,bealbr01,0.0,was,0.0,11.0,.663,24.4
0.0,0.0,110,7.1,.688,.875,.000,201401150WAS,31:14,84,0.0,Martell Webster,webstma02,1.7,was,27.3,4.0,.688,17.2
10.3,0.0,105,27.3,1.000,.000,.800,201401150WAS,28:35,205,20.4,Trevor Booker,booketr01,1.8,was,0.0,24.3,.962,11.5
11.8,0.0,103,10.1,1.000,.000,2.000,201401150WAS,11:05,105,0.0,Garrett Temple,templga01,4.8,was,34.7,5.7,.798,12.7
0.0,0.0,116,0.0,,,,201401150WAS,0:54,0,0.0,Kevin Seraphin,serapke01,0.0,was,,0.0,,0.0
0.0,0.0,116,0.0,,,,201401150WAS,0:54,0,0.0,Otto Porter,porteot01,0.0,was,,0.0,,0.0
0.0,0.0,116,0.0,1.000,.000,.000,201401150WAS,0:54,200,0.0,Chris Singleton,singlch01,0.0,was,0.0,0.0,1.000,54.2
,,,,,,,201401150WAS,Did Not Play,,,Jan Vesely,veselja01,,was,,,,
,,,,,,,201401150WAS,Did Not Play,,,Eric Maynor,maynoer01,,was,,,,
