ast_pct,blk_pct,def_rtg,drb_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,gm,mp,off_rtg,orb_pct,player,player_id,stl_pct,team,tov_pct,trb_pct,ts_pct,usg_pct
23.7,0.0,128,5.6,.452,.476,.000,201401310DAL,42:04,96,0.0,Isaiah Thomas,thomais02,1.3,sac,12.5,3.0,.452,27.6
33.0,0.0,120,29.6,.625,.063,1.063,201401310DAL,35:36,148,11.6,Rudy Gay,gayru01,1.6,sac,11.3,21.3,.745,36.0
4.2,0.0,132,0.0,.500,.444,.000,201401310DAL,33:39,108,8.2,Marcus Thornton,thornma01,0.0,sac,10.0,3.8,.500,14.4
12.6,10.5,122,10.4,1.000,.000,.000,201401310DAL,22:34,143,6.1,Aaron Gray,grayaa01,0.0,sac,33.3,8.4,1.000,6.4
0.0,0.0,126,18.3,.571,.000,.000,201401310DAL,19:12,105,7.1,Jason Thompson,thompja02,0.0,sac,12.5,13.2,.571,20.2
0.0,5.1,118,23.0,.750,.000,.500,201401310DAL,30:35,134,0.0,Quincy Acy,acyqu01,1.8,sac,17.0,12.4,.820,9.3
5.8,0.0,123,30.3,.167,.333,.667,201401310DAL,23:09,79,5.9,Derrick Williams,willide02,0.0,sac,11.4,19.1,.322,18.3
0.0,0.0,124,0.0,.500,.500,.000,201401310DAL,14:22,99,19.1,Ben McLemore,mclembe01,3.9,sac,20.0,8.8,.500,16.9
25.5,6.3,125,9.4,1.000,.000,.000,201401310DAL,12:25,136,0.0,Carl Landry,landrca01,0.0,sac,33.3,5.1,1.000,11.7
96.8,0.0,132,0.0,.875,.500,.000,201401310DAL,6:24,145,0.0,Jimmer Fredette,fredeji01,0.0,sac,20.0,0.0,.875,37.8
,,,,,,,201401310DAL,Did Not Play,,,Travis Outlaw,outlatr01,,sac,,,,
,,,,,,,201401310DAL,Did Not Play,,,Ray McCallum,mccalra01,,sac,,,,
11.8,2.2,116,6.9,.600,.100,.900,201401310DAL,39:48,160,2.9,Monta Ellis,ellismo01,4.2,dal,0.0,4.8,.716,16.9
12.5,0.0,117,20.1,.605,.158,.579,201401310DAL,34:07,146,0.0,Dirk Nowitzki,nowitdi01,3.3,dal,4.0,9.3,.713,35.0
33.8,0.0,124,4.1,.464,.429,.143,201401310DAL,33:44,108,0.0,Jose Calderon,caldejo01,1.7,dal,6.3,1.9,.470,22.6
14.7,0.0,115,23.2,.375,.375,.000,201401310DAL,29:31,102,4.0,Jae Crowder,crowdja01,3.8,dal,0.0,12.8,.375,13.0
0.0,5.6,118,26.1,.750,.000,.000,201401310DAL,15:46,156,7.4,Samuel Dalembert,dalemsa01,0.0,dal,0.0,16.0,.750,12.2
5.3,0.0,126,10.5,.333,.333,.000,201401310DAL,26:14,76,4.5,Vince Carter,cartevi01,0.0,dal,14.3,7.2,.333,12.8
0.0,0.0,116,32.0,.667,.000,.833,201401310DAL,25:43,140,18.2,Brandan Wright,wrighbr03,2.2,dal,0.0,24.6,.610,15.3
41.5,0.0,129,0.0,.286,.429,.429,201401310DAL,17:45,124,13.2,Devin Harris,harride01,0.0,dal,0.0,7.1,.421,22.5
0.0,0.0,116,10.8,.200,.000,1.200,201401310DAL,12:39,92,18.5,DeJuan Blair,blairde01,4.4,dal,11.6,15.0,.393,32.8
0.0,0.0,129,0.0,.000,1.000,.000,201401310DAL,4:43,0,0.0,Shane Larkin,larkish01,0.0,dal,0.0,0.0,.000,10.2
,,,,,,,201401310DAL,Did Not Play,,,Ricky Ledo,ledori01,,dal,,,,
,,,,,,,201401310DAL,Did Not Play,,,Wayne Ellington,ellinwa01,,dal,,,,
,,,,,,,201401310DAL,Did Not Play,,,Bernard James,jamesbe01,,dal,,,,
