ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,gm,mp,orb,pf,player,player_id,plus_minus,pts,stl,team,tov,trb
2,0,8,15,1,.333,3,.536,28,5,1.000,5,201402110POR,38:03,2,4,Kevin Durant,duranke01,+2,36,1,okc,8,10
0,2,7,3,1,.500,2,.273,11,0,,0,201402110POR,33:35,4,5,Serge Ibaka,ibakase01,+8,7,1,okc,2,11
5,0,6,7,1,.250,4,.368,19,2,1.000,2,201402110POR,32:39,0,2,Reggie Jackson,jacksre01,-4,17,2,okc,1,6
1,0,3,1,0,,0,.333,3,0,,0,201402110POR,26:59,0,4,Kendrick Perkins,perkike01,-12,2,0,okc,1,3
0,0,2,0,0,,0,.000,2,2,1.000,2,201402110POR,22:35,0,0,Thabo Sefolosha,sefolth01,-3,2,0,okc,0,2
2,0,4,8,2,1.000,2,.727,11,1,1.000,1,201402110POR,30:43,1,1,Jeremy Lamb,lambje01,+6,19,1,okc,2,5
1,0,2,4,0,,0,1.000,4,1,.500,2,201402110POR,22:53,2,3,Nick Collison,collini01,+5,9,0,okc,0,4
3,0,1,2,2,.667,3,.500,4,0,,0,201402110POR,15:22,0,1,Derek Fisher,fishede01,+7,6,3,okc,1,1
0,1,1,0,0,,0,.000,1,0,,0,201402110POR,12:32,1,1,Steven Adams,adamsst01,+5,0,0,okc,1,2
0,0,0,0,0,,0,,0,0,,0,201402110POR,4:39,0,1,Perry Jones,jonespe01,+1,0,0,okc,0,0
,,,,,,,,,,,,201402110POR,Did Not Play,,,Hasheem Thabeet,thabeha01,,,,okc,,
,,,,,,,,,,,,201402110POR,Did Not Play,,,Andre Roberson,roberan03,,,,okc,,
4,0,1,5,3,.600,5,.625,8,5,1.000,5,201402110POR,37:36,0,3,Nicolas Batum,batumni01,+2,18,0,por,1,1
1,1,10,5,0,,0,.227,22,2,1.000,2,201402110POR,37:22,2,2,LaMarcus Aldridge,aldrila01,+4,12,0,por,4,12
7,0,3,5,1,.143,7,.333,15,5,.833,6,201402110POR,36:52,0,1,Damian Lillard,lillada01,+5,16,1,por,1,3
0,2,8,7,0,,0,.778,9,3,.750,4,201402110POR,35:03,6,2,Robin Lopez,lopezro01,+6,17,0,por,1,14
2,0,3,2,0,.000,4,.200,10,7,.875,8,201402110POR,32:26,0,1,Wesley Matthews,matthwe02,-4,11,2,por,4,3
3,0,1,5,3,.500,6,.417,12,2,1.000,2,201402110POR,26:34,0,0,C.J. McCollum,mccolcj01,-4,15,2,por,5,1
0,0,1,2,0,.000,1,.400,5,0,,0,201402110POR,13:34,2,3,Meyers Leonard,leoname01,-10,4,1,por,1,3
0,0,0,0,0,,0,,0,0,,0,201402110POR,11:09,0,2,Earl Watson,watsoea01,-8,0,1,por,0,0
0,0,2,1,0,,0,.250,4,0,,0,201402110POR,7:06,3,0,Thomas Robinson,robinth01,-3,2,1,por,0,5
0,0,0,0,0,,0,,0,0,,0,201402110POR,2:18,0,0,Joel Freeland,freeljo01,-3,0,0,por,0,0
,,,,,,,,,,,,201402110POR,Did Not Play,,,Dorell Wright,wrighdo01,,,,por,,
,,,,,,,,,,,,201402110POR,Did Not Play,,,Will Barton,bartowi01,,,,por,,
,,,,,,,,,,,,201402110POR,Did Not Play,,,Allen Crabbe,crabbal01,,,,por,,
