ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,gm,mp,orb,pf,player,player_id,plus_minus,pts,stl,team,tov,trb
5,1,6,10,2,.667,3,.526,19,2,.500,4,201402260SAS,42:31,0,5,Josh Smith,smithjo03,-18,24,3,det,3,6
2,2,11,7,0,,0,.583,12,2,1.000,2,201402260SAS,40:04,6,2,Andre Drummond,drumman01,-11,16,2,det,0,17
1,0,4,7,1,1.000,1,.875,8,0,,0,201402260SAS,34:23,1,3,Kyle Singler,singlky01,-8,15,1,det,1,5
1,1,3,3,0,,0,.273,11,6,1.000,6,201402260SAS,31:16,2,1,Greg Monroe,monrogr01,-10,12,3,det,0,5
1,0,1,0,0,.000,1,.000,2,0,,0,201402260SAS,13:23,0,2,Brandon Jennings,jennibr01,-13,0,0,det,2,1
4,0,1,6,0,.000,1,.462,13,5,1.000,5,201402260SAS,30:49,0,1,Rodney Stuckey,stuckro01,-3,17,0,det,3,1
9,0,1,9,0,,0,.500,18,0,,0,201402260SAS,30:37,0,3,Will Bynum,bynumwi01,+3,18,0,det,4,1
0,0,0,2,1,.333,3,.333,6,0,,0,201402260SAS,11:25,0,1,Kentavious Caldwell-Pope,caldwke01,+4,5,1,det,0,0
0,0,0,0,0,,0,,0,0,,0,201402260SAS,3:14,0,1,Jonas Jerebko,jerebjo01,-3,0,0,det,0,0
0,0,0,1,1,1.000,1,1.000,1,0,,0,201402260SAS,0:46,0,0,Peyton Siva,sivape01,+3,3,0,det,0,0
0,0,0,0,0,,0,,0,0,,0,201402260SAS,0:46,0,0,Tony Mitchell,mitchto02,+3,0,0,det,0,0
1,0,1,0,0,,0,,0,0,,0,201402260SAS,0:46,0,0,Luigi Datome,datomlu01,+3,0,0,det,0,1
,,,,,,,,,,,,201402260SAS,Did Not Play,,,Charlie Villanueva,villach01,,,,det,,
6,1,4,6,0,,0,.545,11,1,.500,2,201402260SAS,30:06,3,1,Tiago Splitter,splitti01,+23,13,0,sas,1,7
4,2,5,5,1,.500,2,.556,9,4,1.000,4,201402260SAS,28:57,1,1,Kawhi Leonard,leonaka01,+23,15,2,sas,2,6
1,1,7,5,0,,0,.417,12,3,1.000,3,201402260SAS,26:53,2,3,Tim Duncan,duncati01,+17,13,2,sas,2,9
2,1,2,3,2,.500,4,.429,7,0,,0,201402260SAS,21:56,0,4,Danny Green,greenda02,-3,8,0,sas,2,2
2,0,1,2,0,,0,1.000,2,6,1.000,6,201402260SAS,13:07,0,0,Cory Joseph,josepco01,-4,10,1,sas,2,1
9,1,1,6,1,.333,3,.545,11,3,1.000,3,201402260SAS,27:50,0,3,Manu Ginobili,ginobma01,+19,16,3,sas,4,1
4,1,1,6,4,1.000,4,.750,8,4,1.000,4,201402260SAS,27:07,0,2,Marco Belinelli,belinma01,+4,20,0,sas,2,1
4,0,1,5,0,.000,2,.500,10,2,1.000,2,201402260SAS,26:22,1,1,Boris Diaw,diawbo01,+4,12,1,sas,1,2
2,0,3,5,1,.250,4,.500,10,0,,0,201402260SAS,20:54,0,0,Patty Mills,millspa02,-8,11,0,sas,1,3
0,0,2,1,0,,0,1.000,1,0,,0,201402260SAS,12:00,2,1,Jeff Ayres,pendeje02,-10,2,1,sas,0,4
0,0,1,0,0,,0,,0,0,,0,201402260SAS,1:36,0,0,Matt Bonner,bonnema01,-5,0,0,sas,0,1
0,0,0,0,0,,0,,0,0,,0,201402260SAS,1:36,0,0,Aron Baynes,baynear01,-5,0,0,sas,1,0
0,0,0,0,0,,0,.000,1,0,.000,1,201402260SAS,1:36,0,0,Austin Daye,dayeau01,-5,0,0,sas,0,0
