ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,gm,mp,orb,pf,player,player_id,plus_minus,pts,stl,team,tov,trb
3,0,3,8,2,.286,7,.533,15,3,1.000,3,201403020IND,37:31,0,4,Gordon Hayward,haywago01,-8,21,2,uta,2,3
5,0,4,5,2,.667,3,.556,9,4,1.000,4,201403020IND,34:05,0,1,Trey Burke,burketr01,-6,16,1,uta,2,4
2,3,9,6,0,,0,.600,10,5,.556,9,201403020IND,31:01,1,4,Derrick Favors,favorde01,-6,17,1,uta,4,10
0,0,1,1,0,,0,.500,2,0,,0,201403020IND,20:17,0,5,Richard Jefferson,jefferi01,+9,2,0,uta,3,1
1,1,1,2,1,1.000,1,.667,3,0,,0,201403020IND,15:12,0,4,Marvin Williams,willima02,+8,5,0,uta,1,1
7,0,7,5,0,.000,1,.313,16,1,.500,2,201403020IND,38:12,2,4,Alec Burks,burksal01,-7,11,0,uta,2,9
1,0,5,6,0,,0,.462,13,0,,0,201403020IND,29:51,2,4,Enes Kanter,kanteen01,-7,12,0,uta,3,7
0,2,3,2,0,,0,.333,6,0,,0,201403020IND,19:52,5,2,Jeremy Evans,evansje01,0,4,0,uta,1,8
1,0,1,1,1,.500,2,.250,4,0,,0,201403020IND,13:55,0,0,Diante Garrett,garredi02,+3,3,0,uta,0,1
0,0,0,0,0,,0,,0,0,,0,201403020IND,0:04,0,0,Rudy Gobert,goberru01,-1,0,0,uta,0,0
,,,,,,,,,,,,201403020IND,Did Not Play,,,Brandon Rush,rushbr01,,,,uta,,
,,,,,,,,,,,,201403020IND,Did Not Play,,,Andris Biedrins,biedran01,,,,uta,,
,,,,,,,,,,,,201403020IND,Did Not Play,,,John Lucas III,lucasjo02,,,,uta,,
5,0,6,4,1,.333,3,.333,12,2,1.000,2,201403020IND,41:40,2,2,Lance Stephenson,stephla01,-6,11,1,ind,1,8
4,0,6,6,1,.167,6,.375,16,9,.900,10,201403020IND,40:20,0,1,Paul George,georgpa01,+13,22,2,ind,1,6
1,1,4,11,0,,0,.647,17,3,.750,4,201403020IND,33:19,2,1,David West,westda01,+12,25,1,ind,2,6
5,0,3,5,2,.667,3,.625,8,1,.500,2,201403020IND,33:19,1,3,C.J. Watson,watsocj01,+15,13,3,ind,2,4
1,2,2,1,0,,0,.111,9,0,,0,201403020IND,19:13,2,5,Roy Hibbert,hibbero01,-13,2,0,ind,1,4
0,3,3,3,0,,0,.750,4,3,.600,5,201403020IND,24:43,4,4,Ian Mahinmi,mahinia01,+16,9,1,ind,1,7
0,0,3,2,1,.500,2,.222,9,3,.600,5,201403020IND,20:01,1,1,Evan Turner,turneev01,-1,8,0,ind,0,4
1,2,1,2,0,.000,1,.333,6,0,,0,201403020IND,18:36,2,3,Luis Scola,scolalu01,-8,4,1,ind,2,3
1,0,0,0,0,,0,.000,1,0,,0,201403020IND,8:49,0,0,Donald Sloan,sloando01,-13,0,1,ind,0,0
,,,,,,,,,,,,201403020IND,Did Not Play,,,Lavoy Allen,allenla01,,,,ind,,
,,,,,,,,,,,,201403020IND,Did Not Play,,,Solomon Hill,hillso01,,,,ind,,
,,,,,,,,,,,,201403020IND,Did Not Play,,,Rasual Butler,butlera01,,,,ind,,
,,,,,,,,,,,,201403020IND,Did Not Play,,,Chris Copeland,copelch01,,,,ind,,
