ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,gm,mp,orb,pf,player,player_id,plus_minus,pts,stl,team,tov,trb
5,0,5,11,4,.444,9,.458,24,1,1.000,1,201404010DAL,47:10,0,3,Klay Thompson,thompkl01,+6,27,1,gsw,2,5
10,0,2,10,3,.375,8,.588,17,0,,0,201404010DAL,43:07,1,2,Stephen Curry,curryst01,+8,23,2,gsw,1,3
6,1,6,4,1,1.000,1,.444,9,0,,0,201404010DAL,42:05,1,3,Draymond Green,greendr01,+12,9,2,gsw,2,7
7,0,6,7,2,.667,3,.778,9,0,.000,1,201404010DAL,40:37,2,0,Andre Iguodala,iguodan01,+5,16,1,gsw,0,8
0,1,4,9,0,,0,.750,12,2,.500,4,201404010DAL,33:14,4,1,Jermaine O'Neal,onealje01,-2,20,0,gsw,1,8
1,0,7,4,0,,0,.571,7,0,,0,201404010DAL,17:06,2,3,Marreese Speights,speigma01,+6,8,0,gsw,4,9
0,0,4,7,5,.714,7,.700,10,0,,0,201404010DAL,15:33,0,2,Jordan Crawford,crawfjo02,-11,19,0,gsw,0,4
1,1,0,0,0,,0,,0,0,,0,201404010DAL,13:05,0,1,Harrison Barnes,barneha02,-5,0,0,gsw,1,0
3,0,0,0,0,.000,3,.000,3,0,,0,201404010DAL,13:03,0,1,Steve Blake,blakest01,-9,0,0,gsw,1,0
0,0,0,0,0,,0,,0,0,,0,201404010DAL,0:00,0,0,Hilton Armstrong,armsthi01,,0,0,gsw,0,0
,,,,,,,,,,,,201404010DAL,Did Not Play,,,David Lee,leeda02,,,,gsw,,
,,,,,,,,,,,,201404010DAL,Did Not Play,,,Andrew Bogut,bogutan01,,,,gsw,,
6,1,1,11,2,.400,5,.478,23,3,.750,4,201404010DAL,42:41,1,0,Monta Ellis,ellismo01,-9,27,2,dal,2,2
3,1,10,13,6,.750,8,.619,21,1,.333,3,201404010DAL,39:40,1,0,Dirk Nowitzki,nowitdi01,-1,33,2,dal,0,11
6,0,2,3,1,.250,4,.333,9,1,1.000,1,201404010DAL,36:38,0,2,Jose Calderon,caldejo01,-8,8,0,dal,3,2
2,1,6,4,0,,0,.500,8,0,,0,201404010DAL,35:55,4,1,Shawn Marion,mariosh01,-8,8,0,dal,1,10
0,0,1,1,0,,0,.500,2,0,,0,201404010DAL,7:04,2,1,Samuel Dalembert,dalemsa01,-15,2,0,dal,0,3
4,1,2,4,3,.429,7,.308,13,1,.500,2,201404010DAL,30:58,2,2,Vince Carter,cartevi01,+9,12,2,dal,0,4
0,1,1,5,0,,0,.833,6,4,1.000,4,201404010DAL,25:23,4,0,Brandan Wright,wrighbr03,-3,14,0,dal,1,5
2,0,2,0,0,.000,2,.000,3,0,,0,201404010DAL,19:01,0,0,Jae Crowder,crowdja01,+15,0,0,dal,0,2
4,0,1,3,2,.500,4,.429,7,2,1.000,2,201404010DAL,16:22,0,3,Devin Harris,harride01,+6,10,0,dal,0,1
0,0,2,3,0,,0,.750,4,0,,0,201404010DAL,11:18,1,3,DeJuan Blair,blairde01,+4,6,1,dal,1,3
,,,,,,,,,,,,201404010DAL,Did Not Play,,,Shane Larkin,larkish01,,,,dal,,
,,,,,,,,,,,,201404010DAL,Did Not Play,,,Wayne Ellington,ellinwa01,,,,dal,,
,,,,,,,,,,,,201404010DAL,Did Not Play,,,Bernard James,jamesbe01,,,,dal,,
