ast_pct,blk_pct,def_rtg,drb_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,gm,mp,off_rtg,orb_pct,player,player_id,stl_pct,team,tov_pct,trb_pct,ts_pct,usg_pct
48.5,0.0,111,4.5,.143,.143,.000,201404040GSW,43:28,48,0.0,Ray McCallum,mccalra01,2.4,sac,12.5,2.2,.143,16.8
4.7,1.9,114,7.2,.000,.429,.571,201404040GSW,40:34,31,0.0,Ben McLemore,mclembe01,0.0,sac,25.5,3.5,.171,13.3
0.0,0.0,113,10.4,.313,.125,.875,201404040GSW,28:10,74,0.0,Rudy Gay,gayru01,0.0,sac,21.3,5.1,.451,22.9
0.0,0.0,104,33.1,.500,.000,.375,201404040GSW,26:38,92,6.9,DeMarcus Cousins,couside01,0.0,sac,9.7,19.6,.510,35.4
0.0,0.0,106,27.2,.667,.000,.667,201404040GSW,14:23,102,6.4,Reggie Evans,evansre01,0.0,sac,20.5,16.5,.644,15.5
0.0,0.0,115,7.3,.500,.000,.000,201404040GSW,26:53,87,3.4,Travis Outlaw,outlatr01,0.0,sac,14.3,5.3,.500,11.9
0.0,0.0,99,33.7,.333,.111,.000,201404040GSW,23:16,55,7.9,Derrick Williams,willide02,2.2,sac,25.0,20.4,.333,23.6
0.0,3.9,109,15.0,.444,.000,.222,201404040GSW,19:32,100,14.2,Jason Thompson,thompja02,0.0,sac,9.2,14.6,.506,25.5
17.2,0.0,108,0.0,.200,.600,.800,201404040GSW,13:04,102,0.0,Jared Cunningham,cunnija01,3.9,sac,0.0,0.0,.444,23.7
0.0,0.0,117,0.0,.000,.000,.000,201404040GSW,4:02,44,22.9,Quincy Acy,acyqu01,0.0,sac,0.0,11.8,.000,11.3
,,,,,,,201404040GSW,Did Not Play,,,Isaiah Thomas,thomais02,,sac,,,,
,,,,,,,201404040GSW,Did Not Play,,,Aaron Gray,grayaa01,,sac,,,,
17.1,4.5,66,20.7,.455,.545,.000,201404040GSW,31:15,111,9.4,Draymond Green,greendr01,3.3,gsw,8.3,15.2,.455,16.7
25.0,0.0,79,3.2,.500,.417,.083,201404040GSW,28:33,119,3.4,Stephen Curry,curryst01,1.8,gsw,7.4,3.3,.523,20.5
7.9,3.0,79,7.8,.750,.250,.250,201404040GSW,23:32,146,0.0,Klay Thompson,thompkl01,0.0,gsw,7.0,4.0,.788,26.5
21.3,3.1,68,36.2,.750,.000,.500,201404040GSW,22:56,111,0.0,Jermaine O'Neal,onealje01,0.0,gsw,17.0,18.7,.666,22.3
15.2,0.0,64,21.3,.500,.000,.000,201404040GSW,17:18,124,0.0,Andre Iguodala,iguodan01,6.0,gsw,0.0,11.0,.500,10.1
11.2,1.9,78,4.9,.536,.500,.143,201404040GSW,37:32,114,2.6,Harrison Barnes,barneha02,1.4,gsw,6.3,3.8,.538,18.4
10.9,0.0,73,27.7,.455,.182,.182,201404040GSW,26:41,102,7.3,Marreese Speights,speigma01,0.0,gsw,14.4,17.8,.505,22.6
18.6,0.0,77,18.8,.000,.000,.000,201404040GSW,24:34,76,4.0,Steve Blake,blakest01,0.0,gsw,33.3,11.6,.000,5.3
0.0,0.0,80,9.5,.344,.438,.000,201404040GSW,19:27,64,5.0,Jordan Crawford,crawfjo02,0.0,gsw,15.8,7.3,.344,42.5
16.2,0.0,76,22.5,.333,.000,.000,201404040GSW,8:12,142,71.7,Hilton Armstrong,armsthi01,0.0,gsw,0.0,46.4,.333,15.9
,,,,,,,201404040GSW,Did Not Play,,,Andrew Bogut,bogutan01,,gsw,,,,
,,,,,,,201404040GSW,Did Not Play,,,David Lee,leeda02,,gsw,,,,
