ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,gm,mp,orb,pf,player,player_id,plus_minus,pts,stl,team,tov,trb
1,0,11,7,1,.167,6,.389,18,8,1.000,8,201411050CHO,37:35,2,1,Chris Bosh,boshch01,-5,23,1,mia,2,13
7,1,2,9,0,.000,2,.500,18,7,.875,8,201411050CHO,33:12,2,3,Dwyane Wade,wadedw01,-1,25,1,mia,3,4
1,3,5,3,3,.750,4,.600,5,0,,0,201411050CHO,29:45,0,4,Shawne Williams,willish03,-4,9,0,mia,0,5
0,0,2,3,0,.000,2,.333,9,3,.600,5,201411050CHO,27:42,1,1,Luol Deng,denglu01,+2,9,2,mia,0,3
1,0,4,1,0,.000,2,.167,6,0,,0,201411050CHO,22:01,0,2,Norris Cole,coleno01,-13,2,0,mia,0,4
3,0,1,2,0,.000,2,.250,8,2,.500,4,201411050CHO,32:00,0,4,Mario Chalmers,chalmma01,-9,6,1,mia,2,1
3,0,2,2,0,.000,2,.286,7,3,.750,4,201411050CHO,25:59,0,5,Shabazz Napier,napiesh01,+6,7,1,mia,0,2
1,0,0,2,0,.000,1,.667,3,2,1.000,2,201411050CHO,18:01,1,3,Justin Hamilton,hamilju01,-14,6,0,mia,0,1
1,0,1,1,0,,0,1.000,1,0,,0,201411050CHO,7:44,0,1,Josh McRoberts,mcrobjo01,+2,2,0,mia,1,1
1,0,2,0,0,.000,1,.000,2,0,,0,201411050CHO,6:01,0,1,James Ennis,ennisja01,+1,0,0,mia,0,2
,,,,,,,,,,,,201411050CHO,Did Not Play,,,Andre Dawkins,dawkian01,,,,mia,,
,,,,,,,,,,,,201411050CHO,Did Not Play,,,Udonis Haslem,hasleud01,,,,mia,,
,,,,,,,,,,,,201411050CHO,Did Not Play,,,Shannon Brown,brownsh01,,,,mia,,
4,1,10,3,0,.000,1,.250,12,2,.500,4,201411050CHO,36:04,3,4,Lance Stephenson,stephla01,0,8,0,cho,3,13
7,0,4,5,2,1.000,2,.833,6,6,1.000,6,201411050CHO,34:14,0,4,Kemba Walker,walkeke02,+12,18,2,cho,1,4
1,3,5,13,0,,0,.520,25,2,.400,5,201411050CHO,31:37,5,1,Al Jefferson,jeffeal01,0,28,0,cho,1,10
1,0,4,3,0,.000,1,.500,6,0,,0,201411050CHO,29:59,1,2,Marvin Williams,willima02,-9,6,0,cho,3,5
3,0,3,2,0,.000,1,.500,4,0,,0,201411050CHO,18:22,0,1,Gerald Henderson,hendege02,+1,4,1,cho,0,3
2,0,2,1,1,.333,3,.143,7,1,.500,2,201411050CHO,25:17,1,3,Gary Neal,nealga01,-10,4,0,cho,2,3
1,1,5,4,0,,0,.667,6,5,.833,6,201411050CHO,18:23,3,5,Cody Zeller,zelleco01,+17,13,0,cho,2,8
2,3,2,2,2,.250,8,.222,9,1,.500,2,201411050CHO,16:17,0,1,P.J. Hairston,hairspj02,+23,7,0,cho,0,2
0,1,1,2,0,,0,.400,5,0,,0,201411050CHO,16:01,0,2,Jason Maxiell,maxieja01,+6,4,1,cho,0,1
2,0,0,0,0,.000,2,.000,2,4,1.000,4,201411050CHO,13:46,0,1,Brian Roberts,roberbr01,-5,4,0,cho,0,0
,,,,,,,,,,,,201411050CHO,Did Not Play,,,Jannero Pargo,pargoja01,,,,cho,,
,,,,,,,,,,,,201411050CHO,Did Not Play,,,Noah Vonleh,vonleno01,,,,cho,,
,,,,,,,,,,,,201411050CHO,Did Not Play,,,Bismack Biyombo,biyombi01,,,,cho,,
