ast_pct,blk_pct,def_rtg,drb_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,gm,mp,off_rtg,orb_pct,player,player_id,stl_pct,team,tov_pct,trb_pct,ts_pct,usg_pct
0.0,4.0,93,38.1,.667,.000,.333,201411070UTA,29:50,120,14.3,Tyson Chandler,chandty01,0.0,dal,22.5,25.2,.727,21.0
28.7,0.0,93,0.0,.417,.083,.250,201411070UTA,29:38,127,3.6,Monta Ellis,ellismo01,5.6,dal,0.0,2.0,.488,21.1
14.7,0.0,88,44.9,.750,.444,.000,201411070UTA,28:08,151,0.0,Dirk Nowitzki,nowitdi01,2.0,dal,0.0,20.6,.750,30.1
0.0,0.0,96,4.5,.091,.364,.364,201411070UTA,27:54,60,7.6,Chandler Parsons,parsoch01,4.0,dal,0.0,6.2,.196,21.5
17.6,0.0,99,5.2,.625,.625,.000,201411070UTA,24:06,144,4.4,Jameer Nelson,nelsoja01,2.3,dal,0.0,4.8,.625,15.6
0.0,9.4,98,9.9,.545,.000,.000,201411070UTA,25:32,112,12.5,Brandan Wright,wrighbr03,0.0,dal,8.3,11.3,.545,22.1
37.7,0.0,90,12.3,1.250,.500,2.000,201411070UTA,20:28,149,0.0,Devin Harris,harride01,5.4,dal,34.7,5.7,1.064,13.2
13.1,0.0,104,6.8,.500,.000,.000,201411070UTA,18:34,147,5.7,Al-Farouq Aminu,aminual01,0.0,dal,0.0,6.2,.500,5.1
34.2,0.0,97,7.0,.500,.125,.000,201411070UTA,17:57,113,5.9,J.J. Barea,bareajo01,3.1,dal,11.1,6.4,.500,23.6
0.0,0.0,55,22.4,.000,1.000,.000,201411070UTA,5:39,0,0.0,Richard Jefferson,jefferi01,19.5,dal,0.0,10.2,.000,8.3
0.0,0.0,99,25.4,.500,.667,.000,201411070UTA,4:58,72,0.0,Charlie Villanueva,villach01,0.0,dal,25.0,11.6,.500,37.8
0.0,0.0,106,0.0,.500,.500,.000,201411070UTA,3:51,103,0.0,Jae Crowder,crowdja01,0.0,dal,0.0,0.0,.500,24.4
0.0,0.0,105,0.0,.000,.000,.000,201411070UTA,3:26,0,0.0,Greg Smith,smithgr02,0.0,dal,0.0,0.0,.000,13.7
20.7,0.0,127,6.6,.500,.182,.364,201411070UTA,32:14,90,0.0,Alec Burks,burksal01,0.0,uta,23.9,3.6,.549,25.6
28.1,2.6,120,18.7,.444,.778,.444,201411070UTA,28:31,133,0.0,Gordon Hayward,haywago01,0.0,uta,0.0,10.1,.558,18.6
0.0,0.0,119,27.8,.400,.100,.000,201411070UTA,26:49,65,14.1,Enes Kanter,kanteen01,0.0,uta,28.6,21.6,.400,25.7
24.6,0.0,122,8.0,.458,.667,.000,201411070UTA,26:48,81,0.0,Trey Burke,burketr01,2.1,uta,20.0,4.3,.458,27.6
7.4,2.9,119,20.9,.500,.000,.500,201411070UTA,25:33,88,9.9,Derrick Favors,favorde01,0.0,uta,38.1,15.8,.615,15.2
40.7,0.0,126,7.9,.714,.571,.286,201411070UTA,26:56,136,0.0,Dante Exum,exumda01,0.0,uta,11.3,4.3,.698,16.3
26.8,12.8,106,9.1,.750,.000,1.000,201411070UTA,23:31,114,5.4,Rudy Gobert,goberru01,4.7,uta,25.8,7.4,.694,16.3
0.0,0.0,127,6.7,.333,.667,.000,201411070UTA,16:01,73,15.8,Joe Ingles,inglejo01,0.0,uta,25.0,10.8,.333,12.3
0.0,0.0,129,0.0,.500,.250,.750,201411070UTA,12:25,100,10.2,Trevor Booker,booketr01,0.0,uta,27.3,4.7,.658,29.1
0.0,0.0,119,28.2,1.500,1.000,.000,201411070UTA,7:34,79,0.0,Ian Clark,clarkia01,0.0,uta,50.0,15.3,1.500,13.0
0.0,0.0,90,53.9,.000,1.000,.000,201411070UTA,5:56,0,0.0,Rodney Hood,hoodro01,9.3,uta,0.0,29.2,.000,8.3
0.0,0.0,129,0.0,.000,.000,.000,201411070UTA,3:51,0,0.0,Jeremy Evans,evansje01,0.0,uta,0.0,0.0,.000,12.8
0.0,0.0,119,27.7,.000,1.000,.000,201411070UTA,3:51,0,0.0,Steve Novak,novakst01,0.0,uta,0.0,15.0,.000,12.8
