ast_pct,blk_pct,def_rtg,drb_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,gm,mp,off_rtg,orb_pct,player,player_id,stl_pct,team,tov_pct,trb_pct,ts_pct,usg_pct
20.3,0.0,113,9.2,.500,.250,.125,201411080SAS,38:01,98,0.0,Tyreke Evans,evansty01,1.4,nop,15.1,4.8,.533,24.6
11.8,0.0,114,0.0,.538,.462,.000,201411080SAS,37:36,117,3.4,Eric Gordon,gordoer01,2.8,nop,0.0,1.6,.538,16.2
4.9,12.7,89,28.7,.588,.000,.471,201411080SAS,36:41,113,6.9,Anthony Davis,davisan02,5.7,nop,16.3,18.2,.658,31.4
46.0,4.3,104,9.8,.433,.133,.133,201411080SAS,35:55,107,0.0,Jrue Holiday,holidjr01,4.4,nop,11.2,5.1,.472,23.4
5.4,0.0,112,18.0,.750,.000,.250,201411080SAS,26:00,154,14.6,Omer Asik,asikom01,0.0,nop,0.0,16.4,.676,8.0
0.0,0.0,111,9.5,.450,.700,.000,201411080SAS,24:32,79,0.0,Ryan Anderson,anderry01,2.1,nop,9.1,5.0,.450,21.1
0.0,4.6,118,0.0,.400,.200,.200,201411080SAS,17:00,77,0.0,Austin Rivers,riverau01,0.0,nop,15.5,0.0,.460,17.8
0.0,0.0,115,11.5,.500,.250,.000,201411080SAS,10:09,97,0.0,Jimmer Fredette,fredeji01,0.0,nop,0.0,6.0,.500,18.5
0.0,0.0,107,26.7,1.000,.000,.000,201411080SAS,8:47,200,0.0,Alexis Ajinca,ajincal01,0.0,nop,0.0,13.8,1.000,5.3
22.6,0.0,120,0.0,,,,201411080SAS,5:19,220,0.0,John Salmons,salmojo01,0.0,nop,,0.0,,0.0
,,,,,,,201411080SAS,Did Not Play,,,Patric Young,youngpa01,,nop,,,,
,,,,,,,201411080SAS,Did Not Play,,,Russ Smith,smithru01,,nop,,,,
,,,,,,,201411080SAS,Did Not Play,,,Jeff Withey,witheje01,,nop,,,,
13.4,2.1,105,31.1,.385,.154,.462,201411080SAS,36:30,126,16.0,Kawhi Leonard,leonaka01,1.4,sas,0.0,23.3,.448,18.6
28.2,0.0,114,11.3,.611,.111,.333,201411080SAS,33:36,121,0.0,Tony Parker,parketo01,0.0,sas,19.5,5.4,.678,33.1
10.2,4.6,106,7.7,.813,.625,.375,201411080SAS,32:42,194,7.2,Danny Green,greenda02,1.6,sas,0.0,7.4,.858,12.4
4.7,2.3,109,27.1,.300,.000,.600,201411080SAS,32:36,93,10.8,Tim Duncan,duncati01,0.0,sas,19.2,18.6,.435,20.8
9.6,4.7,108,15.9,.500,.333,.000,201411080SAS,31:41,85,7.4,Boris Diaw,diawbo01,0.0,sas,33.3,11.5,.500,12.3
0.0,0.0,106,4.8,.636,.364,.364,201411080SAS,26:33,115,4.4,Manu Ginobili,ginobma01,3.9,sas,19.0,4.6,.666,25.7
27.9,4.8,109,8.1,.143,.143,.286,201411080SAS,15:41,74,0.0,Cory Joseph,josepco01,0.0,sas,0.0,3.9,.190,21.8
0.0,0.0,113,16.2,.667,.000,.667,201411080SAS,15:33,75,15.1,Aron Baynes,baynear01,0.0,sas,34.0,15.6,.515,16.4
0.0,0.0,111,26.8,.000,.500,.000,201411080SAS,14:07,10,8.3,Austin Daye,dayeau01,0.0,sas,33.3,17.2,.000,18.4
0.0,0.0,115,0.0,,,,201411080SAS,1:01,211,100.0,Jeff Ayres,pendeje02,0.0,sas,,59.8,,0.0
,,,,,,,201411080SAS,Did Not Play,,,Matt Bonner,bonnema01,,sas,,,,
,,,,,,,201411080SAS,Did Not Play,,,Kyle Anderson,anderky01,,sas,,,,
