ast_pct,blk_pct,def_rtg,drb_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,gm,mp,off_rtg,orb_pct,player,player_id,stl_pct,team,tov_pct,trb_pct,ts_pct,usg_pct
18.7,1.6,103,12.3,.469,.500,.063,201411150SAC,40:09,89,2.9,Kawhi Leonard,leonaka01,1.3,sas,15.4,7.5,.487,22.8
29.7,0.0,105,6.9,.458,.167,.000,201411150SAC,35:32,91,0.0,Tony Parker,parketo01,1.4,sas,14.3,3.4,.458,18.6
9.9,9.5,94,28.8,.364,.000,.727,201411150SAC,34:09,105,0.0,Tim Duncan,duncati01,0.0,sas,6.4,14.1,.517,21.4
0.0,1.9,103,7.3,.778,.444,.222,201411150SAC,33:36,154,0.0,Danny Green,greenda02,1.5,sas,0.0,3.6,.810,13.8
26.0,0.0,106,13.9,.200,.000,.000,201411150SAC,17:42,57,0.0,Aron Baynes,baynear01,0.0,sas,16.7,6.8,.200,16.0
42.6,0.0,102,18.6,.500,.467,.467,201411150SAC,26:26,106,0.0,Manu Ginobili,ginobma01,1.9,sas,14.2,9.1,.581,37.6
7.4,0.0,100,21.2,.583,.167,.000,201411150SAC,23:15,103,20.1,Boris Diaw,diawbo01,2.2,sas,25.0,20.6,.583,16.2
18.1,0.0,101,7.9,.000,.000,.000,201411150SAC,15:36,32,0.0,Cory Joseph,josepco01,3.3,sas,33.3,3.8,.000,9.1
15.8,6.3,96,35.7,.500,.667,.000,201411150SAC,10:20,107,0.0,Matt Bonner,bonnema01,0.0,sas,0.0,17.4,.500,13.7
0.0,0.0,101,37.9,.000,.000,.000,201411150SAC,3:15,57,72.0,Jeff Ayres,pendeje02,0.0,sas,50.0,55.4,.000,29.0
,,,,,,,201411150SAC,Did Not Play,,,Austin Daye,dayeau01,,sas,,,,
,,,,,,,201411150SAC,Did Not Play,,,Kyle Anderson,anderky01,,sas,,,,
,,,,,,,201411150SAC,Did Not Play,,,Marco Belinelli,belinma01,,sas,,,,
3.6,0.0,105,5.9,.375,.375,.250,201411150SAC,39:42,87,6.2,Ben McLemore,mclembe01,0.0,sac,18.4,6.0,.450,12.5
21.4,0.0,99,5.9,.538,.154,.462,201411150SAC,39:23,109,0.0,Darren Collison,collida01,2.6,sac,16.1,3.0,.607,21.5
27.3,2.3,99,9.3,.350,.150,.200,201411150SAC,37:35,88,0.0,Rudy Gay,gayru01,1.4,sac,8.4,4.8,.414,28.7
17.6,2.7,96,32.9,.400,.000,.000,201411150SAC,32:01,86,0.0,Jason Thompson,thompja02,0.0,sac,16.7,16.9,.400,8.5
0.0,3.2,97,26.1,.526,.000,.316,201411150SAC,26:52,117,18.3,DeMarcus Cousins,couside01,0.0,sac,4.4,22.3,.578,38.3
0.0,3.8,93,20.9,.500,.167,.667,201411150SAC,22:25,126,5.5,Omri Casspi,casspom01,2.3,sac,0.0,13.4,.580,15.7
17.5,8.6,86,29.2,.444,.000,.000,201411150SAC,20:03,102,6.1,Carl Landry,landrca01,2.6,sac,0.0,18.0,.444,20.4
15.1,0.0,97,40.8,.000,.000,.000,201411150SAC,8:37,23,0.0,Ramon Sessions,sessira01,0.0,sac,0.0,20.9,.000,10.6
0.0,0.0,106,0.0,.000,1.000,.000,201411150SAC,8:26,0,0.0,Nik Stauskas,stausni01,0.0,sac,0.0,0.0,.000,10.8
0.0,0.0,106,0.0,.500,.500,1.000,201411150SAC,4:56,108,0.0,Derrick Williams,willide02,0.0,sac,0.0,0.0,.521,26.5
,,,,,,,201411150SAC,Did Not Play,,,Ray McCallum,mccalra01,,sac,,,,
,,,,,,,201411150SAC,Did Not Play,,,Reggie Evans,evansre01,,sac,,,,
,,,,,,,201411150SAC,Did Not Play,,,Ryan Hollins,holliry01,,sac,,,,
