ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,gm,mp,orb,pf,player,player_id,plus_minus,pts,stl,team,tov,trb
2,0,2,8,2,.667,3,.500,16,9,1.000,9,201411260ATL,32:39,1,2,DeMar DeRozan,derozde01,+6,27,0,tor,5,3
13,0,5,3,2,.333,6,.250,12,6,.750,8,201411260ATL,32:37,1,4,Kyle Lowry,lowryky01,+14,14,1,tor,1,6
2,1,2,5,0,.000,2,.625,8,0,,0,201411260ATL,27:34,2,4,Amir Johnson,johnsam01,+7,10,1,tor,1,4
0,1,5,4,0,,0,.500,8,3,.750,4,201411260ATL,23:36,2,2,Jonas Valanciunas,valanjo01,-1,11,0,tor,1,7
0,0,1,4,2,.500,4,.571,7,2,1.000,2,201411260ATL,21:42,0,1,Terrence Ross,rosste01,-1,12,0,tor,0,1
2,0,0,6,4,.667,6,.545,11,6,1.000,6,201411260ATL,26:18,0,1,Lou Williams,willilo02,+12,22,3,tor,0,0
0,2,5,1,1,1.000,1,1.000,1,0,,0,201411260ATL,20:58,2,4,Patrick Patterson,pattepa01,+2,3,1,tor,1,7
1,3,0,2,0,.000,1,.500,4,0,,0,201411260ATL,20:24,1,3,James Johnson,johnsja01,+10,4,1,tor,0,1
1,0,3,1,0,,0,.333,3,0,.000,2,201411260ATL,17:25,2,1,Chuck Hayes,hayesch01,+9,2,0,tor,1,5
3,0,2,8,3,.500,6,.667,12,2,1.000,2,201411260ATL,16:47,0,2,Greivis Vasquez,vasqugr01,-3,21,0,tor,1,2
,,,,,,,,,,,,201411260ATL,Did Not Play,,,Greg Stiemsma,stiemgr01,,,,tor,,
,,,,,,,,,,,,201411260ATL,Did Not Play,,,Lucas Nogueira,noguelu01,,,,tor,,
,,,,,,,,,,,,201411260ATL,Did Not Play,,,Landry Fields,fieldla01,,,,tor,,
1,1,1,5,2,.500,4,.455,11,2,1.000,2,201411260ATL,38:43,2,4,DeMarre Carroll,carrode01,-6,14,0,atl,0,3
3,1,3,6,4,.667,6,.667,9,3,1.000,3,201411260ATL,36:32,1,2,Kyle Korver,korveky01,+1,19,0,atl,3,4
4,0,2,3,0,.000,3,.333,9,2,.500,4,201411260ATL,35:57,3,2,Paul Millsap,millspa01,-7,8,1,atl,1,5
12,0,3,7,2,.667,3,.500,14,8,1.000,8,201411260ATL,34:07,0,5,Jeff Teague,teaguje01,-3,24,1,atl,5,3
4,2,7,11,0,.000,1,.688,16,1,.500,2,201411260ATL,32:16,2,1,Al Horford,horfoal01,-3,23,0,atl,1,9
1,0,3,1,1,.500,2,.333,3,2,1.000,2,201411260ATL,17:01,0,1,Pero Antic,anticpe01,-3,5,0,atl,1,3
6,0,1,5,1,1.000,1,.833,6,2,1.000,2,201411260ATL,15:55,0,5,Dennis Schroder,schrode01,-12,13,0,atl,0,1
0,0,1,1,0,.000,3,.143,7,1,1.000,1,201411260ATL,15:02,0,2,Shelvin Mack,macksh01,-10,3,0,atl,1,1
0,0,1,2,0,.000,1,.400,5,0,,0,201411260ATL,10:46,0,1,Mike Scott,scottmi01,-9,4,0,atl,1,1
0,0,1,1,0,,0,.500,2,0,,0,201411260ATL,3:41,1,1,Kent Bazemore,bazemke01,-3,2,0,atl,0,2
,,,,,,,,,,,,201411260ATL,Did Not Play,,,John Jenkins,jenkijo01,,,,atl,,
,,,,,,,,,,,,201411260ATL,Did Not Play,,,Elton Brand,brandel01,,,,atl,,
,,,,,,,,,,,,201411260ATL,Did Not Play,,,Mike Muscala,muscami01,,,,atl,,
