ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,gm,mp,orb,pf,player,player_id,plus_minus,pts,stl,team,tov,trb
2,1,7,6,2,.500,4,.600,10,3,.750,4,201412050BRK,27:25,2,1,Paul Millsap,millspa01,+16,17,1,atl,1,9
1,1,5,7,4,.800,5,.700,10,0,,0,201412050BRK,24:56,1,1,DeMarre Carroll,carrode01,+12,18,0,atl,1,6
5,0,4,5,2,.500,4,.556,9,2,1.000,2,201412050BRK,24:51,0,3,Jeff Teague,teaguje01,+12,14,3,atl,1,4
4,0,4,2,2,.500,4,.400,5,1,1.000,1,201412050BRK,24:51,0,0,Kyle Korver,korveky01,+12,7,0,atl,0,4
2,1,5,3,0,,0,.300,10,1,.500,2,201412050BRK,23:20,0,1,Al Horford,horfoal01,+13,7,2,atl,1,5
1,0,2,1,0,.000,3,.143,7,0,.000,1,201412050BRK,21:28,1,2,Shelvin Mack,macksh01,+9,2,1,atl,0,3
0,1,6,1,1,.250,4,.167,6,2,.500,4,201412050BRK,20:43,0,1,Thabo Sefolosha,sefolth01,+7,5,1,atl,1,6
5,0,1,5,1,.500,2,.556,9,2,.667,3,201412050BRK,17:44,0,2,Dennis Schroder,schrode01,+20,13,4,atl,0,1
1,0,0,0,0,.000,3,.000,4,4,.571,7,201412050BRK,17:02,0,2,Pero Antic,anticpe01,+14,4,0,atl,1,0
1,0,1,3,1,.250,4,.500,6,0,,0,201412050BRK,13:29,1,4,Mike Scott,scottmi01,+14,7,0,atl,1,2
0,0,2,1,0,.000,1,.500,2,0,,0,201412050BRK,9:27,0,2,Kent Bazemore,bazemke01,-3,2,0,atl,2,2
0,0,2,1,0,,0,.500,2,0,,0,201412050BRK,7:38,1,2,Mike Muscala,muscami01,-4,2,0,atl,1,3
0,0,1,0,0,,0,.000,1,0,,0,201412050BRK,7:06,0,1,Elton Brand,brandel01,-7,0,0,atl,0,1
4,0,6,4,0,.000,2,.500,8,4,1.000,4,201412050BRK,28:36,0,0,Joe Johnson,johnsjo02,-16,12,1,brk,3,6
0,0,4,9,0,,0,.500,18,2,1.000,2,201412050BRK,26:36,3,3,Brook Lopez,lopezbr01,-10,20,0,brk,2,7
2,1,1,3,2,.667,3,.375,8,0,,0,201412050BRK,23:24,0,4,Deron Williams,willide01,-9,8,0,brk,1,1
1,0,2,2,1,.333,3,.500,4,0,,0,201412050BRK,21:31,1,1,Bojan Bogdanovic,bogdabo02,-12,5,0,brk,1,3
0,0,5,2,0,,0,.400,5,0,,0,201412050BRK,16:05,1,0,Kevin Garnett,garneke01,-1,4,0,brk,0,6
0,0,1,0,0,.000,2,.000,6,0,,0,201412050BRK,21:12,1,2,Alan Anderson,anderal01,-9,0,0,brk,1,2
3,0,5,0,0,.000,3,.000,4,0,,0,201412050BRK,19:22,0,1,Mirza Teletovic,teletmi01,-25,0,0,brk,3,5
1,0,3,3,0,,0,.429,7,0,,0,201412050BRK,18:53,0,2,Jarrett Jack,jackja01,-18,6,2,brk,1,3
3,0,2,3,0,.000,1,.500,6,0,.000,1,201412050BRK,15:35,0,3,Jorge Gutierrez,gutiejo01,-3,6,1,brk,0,2
0,0,5,2,0,.000,2,.333,6,2,.667,3,201412050BRK,13:25,1,1,Cory Jefferson,jeffeco01,0,6,0,brk,0,6
1,0,1,1,0,.000,2,.250,4,3,.750,4,201412050BRK,13:16,0,0,Markel Brown,brownma02,-1,5,0,brk,3,1
1,1,5,0,0,,0,.000,3,0,.000,4,201412050BRK,12:54,2,2,Mason Plumlee,plumlma01,-14,0,0,brk,1,7
0,0,2,1,0,,0,1.000,1,1,1.000,1,201412050BRK,9:11,0,2,Jerome Jordan,jordaje01,+3,3,0,brk,1,2
