ast_pct,blk_pct,def_rtg,drb_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,gm,mp,off_rtg,orb_pct,player,player_id,stl_pct,team,tov_pct,trb_pct,ts_pct,usg_pct
49.9,0.0,102,13.5,.727,.455,.091,201502110NOP,28:50,151,0.0,George Hill,hillge01,3.8,ind,8.0,7.2,.743,21.6
46.8,0.0,102,14.1,.889,.000,.222,201502110NOP,27:34,168,10.9,David West,westda01,4.0,ind,9.2,12.6,.860,19.8
16.2,0.0,107,9.6,1.000,.600,.400,201502110NOP,27:05,173,5.5,Solomon Hill,hillso01,2.0,ind,14.5,7.7,1.020,12.7
0.0,0.0,105,17.0,.364,.364,.091,201502110NOP,22:52,67,0.0,C.J. Miles,milescj01,2.4,ind,14.9,9.1,.393,29.4
7.8,8.5,91,40.9,.500,.000,.500,201502110NOP,19:03,100,0.0,Roy Hibbert,hibbero01,2.9,ind,21.5,21.9,.615,24.5
15.1,0.0,112,4.9,.417,.500,.333,201502110NOP,26:15,107,0.0,C.J. Watson,watsocj01,0.0,ind,12.7,2.7,.509,15.0
7.3,0.0,113,0.0,.600,.000,.000,201502110NOP,19:59,100,0.0,Damjan Rudez,rudezda01,0.0,ind,16.7,0.0,.600,15.0
6.7,0.0,106,33.9,.500,.000,.000,201502110NOP,19:09,96,23.5,Ian Mahinmi,mahinia01,0.0,ind,50.0,29.1,.500,10.5
7.5,0.0,105,42.5,.333,.000,.500,201502110NOP,18:18,90,8.2,Luis Scola,scolalu01,0.0,ind,21.5,26.6,.478,25.5
26.9,0.0,113,0.0,.800,.300,.000,201502110NOP,12:52,150,0.0,Rodney Stuckey,stuckro01,0.0,ind,0.0,0.0,.800,38.9
19.6,0.0,113,0.0,,,,201502110NOP,6:07,223,0.0,Donald Sloan,sloando01,0.0,ind,,0.0,,0.0
0.0,0.0,113,0.0,.000,1.000,.000,201502110NOP,5:58,0,0.0,Chris Copeland,copelch01,0.0,ind,0.0,0.0,.000,16.8
0.0,0.0,108,21.7,.000,.000,2.000,201502110NOP,5:58,124,0.0,Shayne Whittington,whittsh01,0.0,ind,0.0,11.7,.532,31.5
0.0,3.0,119,30.6,.500,.000,.667,201502110NOP,29:26,79,8.8,Omer Asik,asikom01,0.0,nop,20.5,18.9,.451,16.2
13.3,0.0,123,23.6,.375,.000,1.000,201502110NOP,25:26,144,15.3,Alexis Ajinca,ajincal01,0.0,nop,0.0,19.1,.608,22.2
13.4,0.0,121,6.3,.300,.500,.000,201502110NOP,23:49,59,0.0,Eric Gordon,gordoer01,2.3,nop,16.7,2.9,.300,24.7
43.6,0.0,122,0.0,.300,.300,.200,201502110NOP,23:39,88,5.5,Tyreke Evans,evansty01,2.3,nop,15.5,2.9,.368,26.7
0.0,4.0,118,0.0,.000,.000,.000,201502110NOP,21:50,0,0.0,Dante Cunningham,cunnida01,2.5,nop,25.0,0.0,.000,9.0
0.0,0.0,122,30.8,.929,.571,.286,201502110NOP,34:05,157,3.8,Luke Babbitt,babbilu01,0.0,nop,11.3,16.3,.952,12.8
54.9,0.0,121,6.0,.611,.111,.667,201502110NOP,25:03,117,0.0,Toney Douglas,douglto01,2.2,nop,14.7,2.8,.601,26.7
0.0,4.3,122,7.5,.643,.143,.000,201502110NOP,20:07,121,0.0,Quincy Pondexter,pondequ01,0.0,nop,0.0,3.5,.643,17.0
53.5,0.0,119,8.0,.571,.143,.143,201502110NOP,18:50,110,0.0,Jimmer Fredette,fredeji01,2.9,nop,21.2,3.7,.605,24.6
0.0,0.0,122,33.8,.714,.000,.286,201502110NOP,17:45,112,0.0,Jeff Withey,witheje01,0.0,nop,11.3,15.7,.698,24.5
,,,,,,,201502110NOP,Did Not Play,,,Anthony Davis,davisan02,,nop,,,,
,,,,,,,201502110NOP,Did Not Play,,,John Salmons,salmojo01,,nop,,,,
,,,,,,,201502110NOP,Did Not Play,,,Ryan Anderson,anderry01,,nop,,,,
