ast_pct,blk_pct,def_rtg,drb_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,gm,mp,off_rtg,orb_pct,player,player_id,stl_pct,team,tov_pct,trb_pct,ts_pct,usg_pct
33.3,1.7,110,16.0,.458,.250,.167,201503080DET,37:27,105,0.0,Gerald Henderson,hendege02,0.0,cho,13.4,9.5,.505,19.4
34.9,0.0,114,0.0,.433,.333,.533,201503080DET,37:13,123,0.0,Mo Williams,willima01,1.4,cho,5.1,0.0,.567,25.7
0.0,4.0,108,15.7,.444,.000,.222,201503080DET,31:56,94,4.6,Michael Kidd-Gilchrist,kiddgmi01,0.0,cho,9.2,11.1,.506,16.7
19.5,2.2,96,23.6,.714,.000,.429,201503080DET,29:42,135,4.9,Al Jefferson,jeffeal01,5.2,cho,5.7,16.0,.721,29.1
0.0,0.0,103,24.9,.800,.000,.600,201503080DET,20:05,152,14.5,Cody Zeller,zelleco01,2.6,cho,13.7,20.7,.870,17.8
16.7,0.0,111,16.3,.500,.625,.000,201503080DET,24:31,93,0.0,Marvin Williams,willima02,0.0,cho,11.1,9.7,.500,18.0
33.2,0.0,112,13.4,.563,.250,.000,201503080DET,22:20,99,0.0,Lance Stephenson,stephla01,0.0,cho,20.0,8.0,.563,21.9
18.5,0.0,105,33.4,.833,.667,.000,201503080DET,14:59,162,0.0,Brian Roberts,roberbr01,0.0,cho,0.0,19.8,.833,9.8
12.5,5.0,113,0.0,1.000,.000,.667,201503080DET,12:51,179,0.0,Bismack Biyombo,biyombi01,0.0,cho,0.0,0.0,.902,14.8
0.0,0.0,117,0.0,,,,201503080DET,5:27,0,0.0,Jason Maxiell,maxieja01,0.0,cho,,0.0,,0.0
0.0,0.0,86,0.0,.000,.000,.000,201503080DET,3:29,0,0.0,Jeffery Taylor,tayloje03,14.8,cho,0.0,0.0,.000,28.1
,,,,,,,201503080DET,Did Not Play,,,Troy Daniels,danietr01,,cho,,,,
,,,,,,,201503080DET,Did Not Play,,,Noah Vonleh,vonleno01,,cho,,,,
18.4,0.0,113,32.9,.636,.000,.545,201503080DET,35:24,111,8.5,Greg Monroe,monrogr01,2.9,det,22.7,18.4,.660,21.7
38.4,0.0,118,13.0,.476,.190,.238,201503080DET,33:30,118,11.9,Reggie Jackson,jacksre01,1.5,det,7.9,12.4,.539,32.8
9.1,0.0,121,18.3,.267,.267,.267,201503080DET,31:50,72,3.1,Kentavious Caldwell-Pope,caldwke01,0.0,det,10.7,9.3,.328,25.7
4.4,2.5,118,23.1,.600,.200,.000,201503080DET,31:31,133,3.2,Tayshaun Prince,princta01,0.0,det,0.0,11.3,.600,6.9
8.2,6.6,113,18.5,.538,.000,.308,201503080DET,23:35,109,8.5,Andre Drummond,drumman01,0.0,det,6.3,12.6,.542,29.2
0.0,0.0,108,6.1,.292,.250,.500,201503080DET,23:50,102,0.0,Jodie Meeks,meeksjo01,6.5,det,0.0,2.5,.444,26.8
0.0,0.0,121,17.1,.667,.333,.000,201503080DET,17:03,143,5.9,Anthony Tolliver,tollian01,0.0,det,0.0,10.4,.667,7.7
19.2,0.0,122,9.5,.500,.250,.000,201503080DET,15:16,126,6.6,Shawne Williams,willish03,0.0,det,0.0,7.8,.500,11.4
20.4,0.0,106,10.0,.500,.000,.000,201503080DET,14:30,92,0.0,John Lucas III,lucasjo02,7.1,det,20.0,4.1,.500,15.0
18.2,0.0,122,10.8,.000,.000,.000,201503080DET,13:31,77,0.0,Caron Butler,butleca01,0.0,det,0.0,4.4,.000,3.2
,,,,,,,201503080DET,Did Not Play,,,Quincy Miller,millequ01,,det,,,,
,,,,,,,201503080DET,Did Not Play,,,Spencer Dinwiddie,dinwisp01,,det,,,,
,,,,,,,201503080DET,Did Not Play,,,Cartier Martin,martica01,,det,,,,
