ast_pct,blk_pct,def_rtg,drb_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,gm,mp,off_rtg,orb_pct,player,player_id,stl_pct,team,tov_pct,trb_pct,ts_pct,usg_pct
51.5,0.0,97,19.0,.250,.000,.000,201504100CLE,34:25,104,0.0,Evan Turner,turneev01,1.5,bos,11.1,9.8,.250,11.7
5.1,0.0,101,6.5,.850,.500,.500,201504100CLE,33:42,148,3.5,Marcus Smart,smartma01,1.5,bos,0.0,5.0,.779,16.2
22.5,0.0,98,7.0,.625,.167,.000,201504100CLE,31:18,120,0.0,Avery Bradley,bradlav01,3.3,bos,7.7,3.6,.625,18.6
5.9,0.0,93,7.5,.750,.000,.000,201504100CLE,29:05,95,12.1,Brandon Bass,bassbr01,5.3,bos,33.3,9.7,.750,18.5
31.9,0.0,90,30.0,.556,.000,.444,201504100CLE,18:11,136,6.4,Tyler Zeller,zellety01,2.8,bos,0.0,18.6,.604,26.5
0.0,0.0,104,8.5,.222,.222,.444,201504100CLE,25:33,75,0.0,Jae Crowder,crowdja01,0.0,bos,0.0,4.4,.325,18.8
34.6,0.0,102,14.0,.417,.500,.667,201504100CLE,23:19,113,0.0,Isaiah Thomas,thomais02,0.0,bos,11.4,7.3,.548,33.6
15.0,11.5,81,39.4,.357,.429,.000,201504100CLE,19:22,57,6.0,Jared Sullinger,sullija01,2.6,bos,36.4,23.3,.357,25.4
0.0,0.0,87,14.6,.500,.400,.000,201504100CLE,14:58,129,31.3,Jonas Jerebko,jerebjo01,6.9,bos,0.0,22.6,.500,15.0
14.3,0.0,103,10.8,.250,.500,.000,201504100CLE,10:07,51,11.6,Kelly Olynyk,olynyke01,0.0,bos,33.3,11.2,.250,26.5
,,,,,,,201504100CLE,Did Not Play,,,Phil Pressey,pressph01,,bos,,,,
,,,,,,,201504100CLE,Did Not Play,,,Gerald Wallace,wallage01,,bos,,,,
,,,,,,,201504100CLE,Did Not Play,,,Luigi Datome,datomlu01,,bos,,,,
33.9,0.0,109,5.6,.563,.375,.000,201504100CLE,41:27,105,2.6,Matthew Dellavedova,dellama01,1.2,cle,27.3,4.1,.563,11.8
27.5,0.0,109,15.2,.667,.667,.250,201504100CLE,30:51,130,7.1,Kevin Love,loveke01,0.0,cle,13.1,11.0,.713,22.1
56.5,0.0,105,13.5,.357,.357,.643,201504100CLE,26:05,85,0.0,LeBron James,jamesle01,2.0,cle,14.3,6.5,.390,35.7
0.0,0.0,109,12.7,.000,1.000,.000,201504100CLE,18:26,0,0.0,J.R. Smith,smithjr01,0.0,cle,42.9,6.1,.000,16.9
0.0,4.7,107,7.1,.600,.000,.200,201504100CLE,16:31,87,6.6,Timofey Mozgov,mozgoti01,0.0,cle,21.6,6.8,.597,37.3
24.2,0.0,107,20.3,.643,.857,.286,201504100CLE,23:04,152,0.0,Mike Miller,millemi01,0.0,cle,0.0,9.8,.698,15.2
8.3,3.7,106,16.7,.333,.000,.000,201504100CLE,21:00,93,10.4,Shawn Marion,mariosh01,0.0,cle,0.0,13.4,.333,12.7
0.0,0.0,100,0.0,.143,.857,1.286,201504100CLE,18:09,97,0.0,James Jones,jonesja02,5.7,cle,0.0,0.0,.411,26.8
10.2,0.0,96,57.7,.500,.000,.000,201504100CLE,16:14,113,26.9,Tristan Thompson,thomptr01,0.0,cle,33.3,41.7,.500,8.2
0.0,0.0,108,15.7,.500,.000,.000,201504100CLE,14:55,66,7.3,Kendrick Perkins,perkike01,0.0,cle,33.3,11.4,.500,17.9
14.6,0.0,110,8.8,.833,.667,.000,201504100CLE,13:18,75,8.2,Joe Harris,harrijo01,0.0,cle,50.0,8.5,.833,20.1
,,,,,,,201504100CLE,Did Not Play,,,Kyrie Irving,irvinky01,,cle,,,,
,,,,,,,201504100CLE,Did Not Play,,,Brendan Haywood,haywobr01,,cle,,,,
