ast_pct,blk_pct,def_rtg,drb_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,gm,mp,off_rtg,orb_pct,player,player_id,stl_pct,team,tov_pct,trb_pct,ts_pct,usg_pct
5.2,0.0,132,3.6,.750,.375,.313,201511030CHO,32:05,133,0.0,Jimmy Butler,butleji01,3.1,chi,0.0,1.8,.714,25.8
17.5,0.0,133,9.4,.000,.000,.000,201511030CHO,25:00,46,0.0,Tony Snell,snellto01,2.0,chi,20.0,4.5,.000,9.1
10.0,0.0,134,19.5,.227,.455,.000,201511030CHO,23:58,52,4.6,Nikola Mirotic,mirotni01,0.0,chi,15.4,11.8,.227,24.7
25.2,0.0,137,9.8,.250,.375,.000,201511030CHO,23:52,66,0.0,Derrick Rose,rosede01,0.0,chi,20.0,4.7,.250,19.1
19.3,0.0,130,34.9,.545,.091,.182,201511030CHO,23:28,119,4.6,Pau Gasol,gasolpa01,0.0,chi,0.0,19.3,.547,23.0
13.9,0.0,132,15.5,.708,.667,.000,201511030CHO,30:08,136,0.0,Doug McDermott,mcderdo01,1.6,chi,0.0,7.5,.708,18.1
12.8,0.0,130,34.3,.000,.000,.000,201511030CHO,17:03,24,0.0,Joakim Noah,noahjo01,0.0,chi,80.0,16.6,.000,13.3
37.8,0.0,133,0.0,.875,.625,.000,201511030CHO,17:00,171,0.0,Aaron Brooks,brookaa01,2.9,chi,0.0,0.0,.875,21.4
8.5,0.0,136,14.5,1.000,.000,.333,201511030CHO,16:06,135,6.8,Taj Gibson,gibsota01,0.0,chi,22.5,10.5,.872,12.5
9.4,0.0,140,0.0,.571,.143,.000,201511030CHO,15:55,97,0.0,E'Twaun Moore,mooreet01,0.0,chi,12.5,0.0,.571,22.9
0.0,0.0,136,12.0,.714,.000,.000,201511030CHO,9:44,114,11.2,Bobby Portis,portibo01,0.0,chi,12.5,11.6,.714,37.4
0.0,0.0,134,20.6,.500,.500,.000,201511030CHO,5:41,93,0.0,Cameron Bairstow,bairsca01,0.0,chi,0.0,9.9,.500,16.0
,,,,,,,201511030CHO,Did Not Play,,,Cristiano Felicio,feliccr01,,chi,,,,
12.6,0.0,110,30.7,.409,.182,.818,201511030CHO,28:27,133,0.0,Nicolas Batum,batumni01,0.0,cho,6.3,15.9,.602,24.5
25.6,6.1,106,4.2,.542,.167,.000,201511030CHO,26:04,114,4.5,Kemba Walker,walkeke02,0.0,cho,14.3,4.3,.542,23.4
13.3,0.0,110,34.9,.333,.333,.000,201511030CHO,25:02,117,9.4,Marvin Williams,willima02,0.0,cho,0.0,22.6,.333,10.4
14.5,3.8,96,5.1,.583,.000,.000,201511030CHO,21:17,135,11.0,Al Jefferson,jeffeal01,4.6,cho,0.0,8.0,.583,24.6
0.0,0.0,109,27.4,.800,.600,.400,201511030CHO,19:54,176,0.0,P.J. Hairston,hairspj02,0.0,cho,0.0,14.2,.850,12.9
18.7,0.0,103,17.1,1.000,.300,.100,201511030CHO,25:34,169,0.0,Jeremy Lamb,lambje01,3.8,cho,8.7,8.8,.958,19.5
16.6,0.0,107,10.6,.500,.333,.000,201511030CHO,20:31,136,5.7,Frank Kaminsky,kaminfr01,2.4,cho,0.0,8.3,.500,12.7
14.1,0.0,111,16.7,1.083,.500,.000,201511030CHO,19:35,174,0.0,Spencer Hawes,hawessp01,0.0,cho,14.3,8.7,1.083,15.6
27.8,4.3,105,23.2,.625,.250,.625,201511030CHO,18:47,155,6.2,Jeremy Lin,linje01,0.0,cho,8.9,15.0,.735,26.0
7.2,0.0,104,20.1,.400,.200,.400,201511030CHO,16:19,116,14.4,Cody Zeller,zelleco01,3.0,cho,14.5,17.3,.510,18.4
0.0,0.0,111,0.0,.250,.000,1.000,201511030CHO,7:08,122,49.2,Tyler Hansbrough,hansbty01,0.0,cho,14.8,23.7,.521,41.3
0.0,0.0,109,19.2,.500,.667,.000,201511030CHO,5:41,73,0.0,Troy Daniels,danietr01,0.0,cho,25.0,9.9,.500,30.7
0.0,0.0,113,0.0,.333,.333,.000,201511030CHO,5:41,75,0.0,Brian Roberts,roberbr01,0.0,cho,0.0,0.0,.333,23.0
