ast_pct,blk_pct,def_rtg,drb_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,gm,mp,off_rtg,orb_pct,player,player_id,stl_pct,team,tov_pct,trb_pct,ts_pct,usg_pct
12.6,2.8,112,12.8,.500,.167,.333,201511110PHI,29:58,111,3.7,James Johnson,johnsja01,1.7,tor,22.5,8.6,.581,12.9
40.1,0.0,110,9.9,.583,.500,.833,201511110PHI,28:57,148,0.0,Kyle Lowry,lowryky01,3.6,tor,10.9,5.3,.701,27.6
9.7,0.0,119,7.0,.500,.111,.667,201511110PHI,27:24,150,8.1,DeMar DeRozan,derozde01,0.0,tor,0.0,7.5,.601,18.4
6.1,3.7,106,42.4,.500,.000,.500,201511110PHI,22:40,139,9.8,Jonas Valanciunas,valanjo01,0.0,tor,0.0,27.3,.564,18.7
15.1,4.5,106,15.5,.700,.133,.000,201511110PHI,18:33,137,12.0,Luis Scola,scolalu01,2.8,tor,6.3,13.9,.700,37.4
23.1,0.0,120,6.2,.667,.111,.333,201511110PHI,30:51,168,0.0,Cory Joseph,josepco01,0.0,tor,0.0,3.3,.727,14.5
5.0,0.0,107,18.8,.438,.625,.000,201511110PHI,25:30,91,8.8,Patrick Patterson,pattepa01,4.1,tor,20.0,14.2,.438,17.0
5.5,0.0,114,7.8,.400,.100,.000,201511110PHI,24:37,97,9.1,Norman Powell,powelno01,2.1,tor,9.1,8.4,.400,19.4
0.0,11.8,104,22.8,.375,.000,.500,201511110PHI,21:04,142,26.5,Bismack Biyombo,biyombi01,0.0,tor,0.0,24.5,.512,20.1
0.0,0.0,111,35.1,.000,1.000,2.000,201511110PHI,5:28,139,0.0,Anthony Bennett,bennean01,0.0,tor,0.0,18.9,.532,14.9
0.0,0.0,111,36.9,.000,.000,.000,201511110PHI,2:36,45,42.9,Delon Wright,wrighde01,0.0,tor,0.0,39.7,.000,33.4
0.0,69.9,66,0.0,,,,201511110PHI,1:11,0,0.0,Lucas Nogueira,noguelu01,0.0,tor,,0.0,,0.0
0.0,0.0,122,0.0,.000,.000,.000,201511110PHI,1:11,0,0.0,Bruno Caboclo,cabocbr01,0.0,tor,0.0,0.0,.000,36.7
7.0,8.3,125,17.1,.591,.000,.091,201511110PHI,32:39,93,5.9,Jahlil Okafor,okafoja01,0.0,phi,14.9,11.1,.568,37.5
4.6,4.2,124,17.3,.500,.100,.400,201511110PHI,32:21,123,14.8,Jerami Grant,grantje01,1.6,phi,0.0,16.0,.510,16.5
53.1,0.0,131,14.6,.200,.400,.000,201511110PHI,30:34,101,0.0,T.J. McConnell,mccontj01,0.0,phi,28.6,6.8,.200,10.4
13.7,0.0,136,3.7,.364,.636,.000,201511110PHI,29:58,80,0.0,Nik Stauskas,stausni01,0.0,phi,8.3,1.7,.364,18.2
0.0,2.5,131,12.4,.400,.000,.200,201511110PHI,26:56,99,10.7,JaKarr Sampson,sampsja02,0.0,phi,0.0,11.5,.414,18.4
5.3,0.0,137,0.0,.682,.909,.273,201511110PHI,28:43,118,0.0,Isaiah Canaan,canaais01,0.0,phi,14.0,0.0,.731,22.7
6.2,0.0,132,12.6,1.063,.750,.250,201511110PHI,26:39,171,3.6,Hollis Thompson,thompho01,0.0,phi,10.1,7.7,1.070,16.9
54.7,0.0,125,13.5,.333,.667,1.333,201511110PHI,16:34,129,0.0,Phil Pressey,pressph01,3.2,phi,17.4,6.2,.525,15.8
9.1,0.0,128,21.5,.286,.143,.000,201511110PHI,15:36,68,0.0,Christian Wood,woodch01,0.0,phi,0.0,9.9,.286,20.4
,,,,,,,201511110PHI,Did Not Play,,,Robert Covington,covinro01,,phi,,,,
,,,,,,,201511110PHI,Did Not Play,,,Carl Landry,landrca01,,phi,,,,
,,,,,,,201511110PHI,Did Not Play,,,Nerlens Noel,noelne01,,phi,,,,
,,,,,,,201511110PHI,Did Not Play,,,Richaun Holmes,holmeri01,,phi,,,,
