ast_pct,blk_pct,def_rtg,drb_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,gm,mp,off_rtg,orb_pct,player,player_id,stl_pct,team,tov_pct,trb_pct,ts_pct,usg_pct
18.3,0.0,116,6.5,.267,.200,.267,201511270OKC,40:02,80,4.1,Kentavious Caldwell-Pope,caldwke01,1.3,det,5.6,5.0,.328,19.9
0.0,0.0,114,13.1,.462,.308,.462,201511270OKC,39:38,114,0.0,Marcus Morris,morrima03,1.3,det,0.0,5.0,.543,17.7
14.3,0.0,112,16.0,.438,.000,.125,201511270OKC,32:26,89,7.5,Andre Drummond,drumman01,1.6,det,10.6,10.8,.444,26.2
0.0,0.0,118,9.1,.438,.625,.250,201511270OKC,28:22,101,5.7,Ersan Ilyasova,ilyaser01,0.0,det,10.1,7.1,.507,15.7
30.0,0.0,107,14.5,.313,.375,.375,201511270OKC,26:51,99,6.1,Reggie Jackson,jacksre01,3.9,det,0.0,9.3,.402,31.2
60.0,0.0,99,18.4,.313,.750,.000,201511270OKC,21:09,85,0.0,Steve Blake,blakest01,7.4,det,11.1,7.1,.313,19.1
0.0,4.4,114,13.2,.750,1.000,.000,201511270OKC,19:38,149,4.1,Anthony Tolliver,tollian01,0.0,det,0.0,7.6,.750,9.2
0.0,0.0,111,7.9,.500,.200,.000,201511270OKC,16:20,62,5.0,Stanley Johnson,johnsst04,3.2,det,37.5,6.1,.500,22.0
0.0,0.0,110,33.3,.400,.000,.000,201511270OKC,15:34,98,10.5,Aron Baynes,baynear01,0.0,det,0.0,19.3,.400,14.4
,,,,,,,201511270OKC,Did Not Play,,,Spencer Dinwiddie,dinwisp01,,det,,,,
,,,,,,,201511270OKC,Did Not Play,,,Joel Anthony,anthojo01,,det,,,,
,,,,,,,201511270OKC,Did Not Play,,,Darrun Hilliard,hillida01,,det,,,,
,,,,,,,201511270OKC,Did Not Play,,,Reggie Bullock,bullore01,,det,,,,
26.1,6.2,88,25.8,.545,.409,.455,201511270OKC,37:51,132,3.4,Kevin Durant,duranke01,0.0,okc,10.2,17.2,.644,34.4
0.0,9.9,94,7.7,.875,.000,.000,201511270OKC,31:47,151,4.1,Serge Ibaka,ibakase01,0.0,okc,11.1,6.3,.875,12.5
0.0,0.0,94,21.0,.333,.667,.000,201511270OKC,30:56,78,0.0,Andre Roberson,roberan03,0.0,okc,0.0,12.9,.333,4.3
23.4,0.0,98,5.7,.393,.214,.357,201511270OKC,28:37,63,9.1,Russell Westbrook,westbru01,1.8,okc,40.4,7.0,.432,42.1
5.7,2.8,90,26.2,.800,.000,.000,201511270OKC,27:55,178,18.6,Steven Adams,adamsst01,0.0,okc,0.0,23.3,.800,7.9
17.8,0.0,96,9.0,.308,.308,.000,201511270OKC,27:04,74,4.8,Dion Waiters,waitedi01,1.9,okc,13.3,7.4,.308,24.5
20.6,0.0,99,11.3,.500,.600,.200,201511270OKC,21:31,145,6.0,D.J. Augustin,augusdj01,0.0,okc,0.0,9.3,.551,11.2
8.9,4.3,95,13.3,.500,.000,1.667,201511270OKC,18:24,141,14.1,Enes Kanter,kanteen01,0.0,okc,8.8,13.6,.673,27.4
15.9,0.0,90,29.8,,,,201511270OKC,8:11,219,0.0,Nick Collison,collini01,0.0,okc,,18.3,,0.0
20.2,0.0,105,0.0,.500,1.000,.000,201511270OKC,7:44,127,0.0,Anthony Morrow,morroan01,0.0,okc,0.0,0.0,.500,17.2
,,,,,,,201511270OKC,Did Not Play,,,Kyle Singler,singlky01,,okc,,,,
,,,,,,,201511270OKC,Did Not Play,,,Mitch McGary,mcgarmi01,,okc,,,,
,,,,,,,201511270OKC,Did Not Play,,,Cameron Payne,payneca01,,okc,,,,
