ast_pct,blk_pct,def_rtg,drb_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,gm,mp,off_rtg,orb_pct,player,player_id,stl_pct,team,tov_pct,trb_pct,ts_pct,usg_pct
36.2,0.0,111,18.1,.543,.435,.261,201512080IND,35:39,117,0.0,Stephen Curry,curryst01,3.8,gsw,13.5,10.5,.566,34.2
11.6,2.0,114,20.7,.308,.154,.000,201512080IND,35:39,69,3.5,Draymond Green,greendr01,1.3,gsw,23.5,13.5,.308,19.6
24.7,2.1,119,16.1,.857,.762,.143,201512080IND,34:28,149,3.7,Klay Thompson,thompkl01,0.0,gsw,15.2,10.8,.874,31.4
4.6,2.9,125,0.0,.650,.600,.000,201512080IND,24:33,132,15.4,Brandon Rush,rushbr01,0.0,gsw,9.1,6.5,.650,18.4
5.5,6.1,108,27.7,.875,.000,.000,201512080IND,23:22,161,16.2,Andrew Bogut,bogutan01,1.9,gsw,11.1,22.8,.875,15.9
15.4,2.2,107,8.5,.750,.000,.000,201512080IND,32:46,179,0.0,Andre Iguodala,iguodan01,6.9,gsw,0.0,4.9,.750,5.0
0.0,0.0,123,8.2,1.000,.000,.667,201512080IND,22:24,214,0.0,Shaun Livingston,livinsh01,0.0,gsw,0.0,4.8,1.031,7.1
0.0,0.0,121,15.2,.625,.000,.500,201512080IND,18:12,120,13.9,Festus Ezeli,ezelife01,0.0,gsw,9.3,14.7,.615,24.3
16.2,0.0,126,0.0,.200,.200,.000,201512080IND,12:21,73,0.0,Ian Clark,clarkia01,0.0,gsw,0.0,0.0,.200,16.7
0.0,0.0,127,0.0,,,,201512080IND,0:37,0,0.0,Marreese Speights,speigma01,0.0,gsw,,0.0,,0.0
,,,,,,,201512080IND,Did Not Play,,,Jason Thompson,thompja02,,gsw,,,,
,,,,,,,201512080IND,Did Not Play,,,James Michael McAdoo,mcadoja01,,gsw,,,,
,,,,,,,201512080IND,Did Not Play,,,Leandro Barbosa,barbole01,,gsw,,,,
16.2,2.1,126,6.6,.364,.182,.182,201512080IND,38:08,66,0.0,Monta Ellis,ellismo01,1.2,ind,33.6,2.8,.379,17.7
27.7,2.2,118,17.7,.500,.481,.259,201512080IND,35:39,118,7.8,Paul George,georgpa01,3.8,ind,9.1,12.0,.549,34.9
4.3,0.0,129,11.1,.700,.733,.200,201512080IND,34:12,146,2.7,C.J. Miles,milescj01,0.0,ind,5.8,6.2,.735,19.1
4.5,0.0,130,8.8,.550,.400,.100,201512080IND,28:47,103,0.0,George Hill,hillge01,0.0,ind,16.1,3.7,.575,16.3
18.8,0.0,113,42.8,.600,.000,.400,201512080IND,20:39,134,0.0,Ian Mahinmi,mahinia01,4.4,ind,14.5,18.1,.680,12.5
12.2,3.8,119,23.9,.375,.000,.000,201512080IND,21:08,119,21.8,Solomon Hill,hillso01,2.1,ind,0.0,22.7,.375,14.3
17.1,0.0,125,6.3,.200,.400,.600,201512080IND,20:12,84,0.0,Rodney Stuckey,stuckro01,2.2,ind,24.0,2.6,.396,15.5
0.0,0.0,128,20.9,.643,.143,.571,201512080IND,18:10,157,20.3,Chase Budinger,budinch01,0.0,ind,0.0,20.6,.685,18.2
16.7,0.0,130,7.2,.571,.000,.571,201512080IND,17:27,136,10.6,Jordan Hill,hilljo01,0.0,ind,0.0,9.2,.571,18.9
0.0,0.0,132,0.0,.400,.000,.000,201512080IND,5:38,77,16.4,Lavoy Allen,allenla01,0.0,ind,16.7,9.5,.400,40.1
,,,,,,,201512080IND,Did Not Play,,,Joe Young,youngjo01,,ind,,,,
,,,,,,,201512080IND,Did Not Play,,,Glenn Robinson,robingl02,,ind,,,,
,,,,,,,201512080IND,Did Not Play,,,Myles Turner,turnemy01,,ind,,,,
