ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,gm,mp,orb,pf,player,player_id,plus_minus,pts,stl,team,tov,trb
1,0,4,4,4,.571,7,.444,9,0,,0,201601010MIA,31:23,0,1,Wesley Matthews,matthwe02,-14,12,0,dal,0,4
4,1,4,2,0,.000,3,.250,8,0,,0,201601010MIA,27:05,1,1,Chandler Parsons,parsoch01,-15,4,0,dal,0,5
1,0,2,4,0,.000,2,.286,14,3,1.000,3,201601010MIA,26:52,1,1,Dirk Nowitzki,nowitdi01,-11,11,1,dal,0,3
5,0,0,3,0,.000,5,.333,9,0,,0,201601010MIA,26:04,0,1,J.J. Barea,bareajo01,-14,6,0,dal,2,0
1,1,9,5,0,,0,.556,9,4,.800,5,201601010MIA,25:02,4,1,Zaza Pachulia,pachuza01,-15,14,1,dal,2,13
5,0,2,1,0,.000,1,.250,4,2,1.000,2,201601010MIA,21:56,1,0,Raymond Felton,feltora01,-10,4,0,dal,0,3
0,0,2,4,1,.167,6,.364,11,0,,0,201601010MIA,20:49,0,2,Charlie Villanueva,villach01,-7,9,0,dal,2,2
5,0,1,3,2,.400,5,.333,9,1,.500,2,201601010MIA,20:28,0,1,Deron Williams,willide01,-6,9,0,dal,0,1
0,0,0,0,0,,0,.000,5,1,.500,2,201601010MIA,13:48,5,2,Dwight Powell,poweldw01,-15,1,1,dal,0,5
0,1,1,3,0,,0,.600,5,0,,0,201601010MIA,9:29,1,0,JaVale McGee,mcgeeja01,0,6,1,dal,0,2
0,0,1,3,0,.000,1,.750,4,0,,0,201601010MIA,8:09,0,0,John Jenkins,jenkijo01,-6,6,1,dal,2,1
0,0,1,0,0,.000,1,.000,1,0,,0,201601010MIA,6:20,0,0,Jeremy Evans,evansje01,-5,0,1,dal,0,1
0,0,0,0,0,,0,,0,0,,0,201601010MIA,2:35,0,1,Devin Harris,harride01,-2,0,0,dal,1,0
4,0,6,6,3,.500,6,.375,16,1,.500,2,201601010MIA,33:47,1,1,Chris Bosh,boshch01,+15,16,0,mia,1,7
0,1,15,12,0,,0,.750,16,1,.500,2,201601010MIA,32:19,4,4,Hassan Whiteside,whiteha01,+23,25,0,mia,4,19
7,0,4,7,1,.500,2,.583,12,0,,0,201601010MIA,30:32,0,2,Goran Dragic,dragigo01,+27,15,3,mia,1,4
1,0,4,3,1,.333,3,.429,7,2,1.000,2,201601010MIA,29:31,0,2,Luol Deng,denglu01,+13,9,0,mia,0,4
0,0,2,3,1,.500,2,.429,7,1,.500,2,201601010MIA,25:29,1,1,Tyler Johnson,johnsty01,+14,8,0,mia,2,3
2,0,3,8,2,.500,4,.615,13,1,1.000,1,201601010MIA,33:07,0,3,Gerald Green,greenge01,+17,19,0,mia,0,3
2,0,3,1,0,,0,.500,2,0,,0,201601010MIA,21:16,0,1,Beno Udrih,udrihbe01,+2,2,0,mia,1,3
7,0,2,5,0,,0,.833,6,0,,0,201601010MIA,18:47,0,1,Dwyane Wade,wadedw01,+5,10,1,mia,2,2
1,0,2,0,0,,0,,0,0,,0,201601010MIA,9:16,0,1,Amar'e Stoudemire,stoudam01,+2,0,0,mia,1,2
0,0,1,1,0,,0,1.000,1,0,,0,201601010MIA,2:58,1,0,Udonis Haslem,hasleud01,+1,2,0,mia,0,2
0,0,0,0,0,.000,1,.000,2,0,,0,201601010MIA,2:58,1,0,Chris Andersen,anderch01,+1,0,0,mia,0,1
,,,,,,,,,,,,201601010MIA,Did Not Play,,,Justise Winslow,winslju01,,,,mia,,
