ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,gm,mp,orb,pf,player,player_id,plus_minus,pts,stl,team,tov,trb
3,1,10,13,0,,0,.591,22,10,.833,12,201601200LAL,35:01,6,5,DeMarcus Cousins,couside01,+26,36,1,sac,2,16
17,0,3,5,0,.000,1,.500,10,1,1.000,1,201601200LAL,34:05,2,0,Rajon Rondo,rondora01,+32,11,0,sac,3,5
3,6,6,6,2,.667,3,.667,9,2,.500,4,201601200LAL,33:01,0,4,Rudy Gay,gayru01,+21,16,2,sac,2,6
1,2,6,5,0,,0,.625,8,2,.500,4,201601200LAL,29:25,4,4,Willie Cauley-Stein,caulewi01,-1,12,2,sac,0,10
0,0,2,3,0,.000,1,.500,6,0,,0,201601200LAL,18:26,0,5,Ben McLemore,mclembe01,+2,6,0,sac,1,2
0,1,9,3,1,.143,7,.273,11,2,.667,3,201601200LAL,30:21,0,1,Omri Casspi,casspom01,+20,9,0,sac,3,9
0,0,2,3,1,.500,2,.600,5,3,.750,4,201601200LAL,21:16,0,1,Darren Collison,collida01,+1,10,0,sac,1,2
3,0,1,2,2,.400,5,.200,10,0,,0,201601200LAL,19:24,0,0,Marco Belinelli,belinma01,-3,6,1,sac,0,1
0,2,5,2,0,,0,.500,4,0,,0,201601200LAL,12:55,2,3,Kosta Koufos,koufoko01,-2,4,0,sac,2,7
0,0,0,0,0,.000,1,.000,2,0,,0,201601200LAL,2:05,0,0,Seth Curry,curryse01,-1,0,0,sac,0,0
1,0,0,0,0,,0,,0,0,,0,201601200LAL,2:05,1,0,James Anderson,anderja01,-1,0,0,sac,0,1
0,0,0,1,0,,0,.500,2,0,,0,201601200LAL,1:56,0,0,Quincy Acy,acyqu01,+1,2,0,sac,0,0
,,,,,,,,,,,,201601200LAL,Did Not Play,,,Caron Butler,butleca01,,,,sac,,
1,0,4,5,0,.000,2,.333,15,4,.667,6,201601200LAL,35:01,1,1,Jordan Clarkson,clarkjo01,-9,14,1,lal,2,5
3,0,2,4,0,.000,4,.400,10,7,.875,8,201601200LAL,32:48,0,2,Lou Williams,willilo02,-19,15,1,lal,0,2
3,0,2,4,2,.286,7,.308,13,5,1.000,5,201601200LAL,31:12,2,4,Kobe Bryant,bryanko01,-13,15,1,lal,2,4
2,1,8,2,0,,0,.182,11,2,.500,4,201601200LAL,30:40,4,1,Julius Randle,randlju01,-14,6,0,lal,1,12
0,1,1,3,0,,0,.600,5,0,,0,201601200LAL,16:15,1,5,Roy Hibbert,hibbero01,-5,6,3,lal,1,2
2,3,3,7,0,,0,.583,12,4,1.000,4,201601200LAL,29:40,4,3,Brandon Bass,bassbr01,-15,18,0,lal,1,7
5,0,2,5,2,.333,6,.333,15,2,1.000,2,201601200LAL,26:06,0,2,D'Angelo Russell,russeda01,-11,14,0,lal,1,2
1,0,3,1,0,.000,3,.200,5,0,,0,201601200LAL,17:20,0,2,Ryan Kelly,kellyry01,-5,2,0,lal,0,3
0,0,3,1,0,.000,3,.250,4,1,.500,2,201601200LAL,16:48,0,2,Anthony Brown,brownan02,-6,3,0,lal,0,3
0,0,0,0,0,,0,,0,0,,0,201601200LAL,2:05,0,0,Marcelo Huertas,huertma01,+1,0,0,lal,1,0
0,0,1,0,0,,0,,0,0,,0,201601200LAL,2:05,0,0,Robert Sacre,sacrero01,+1,0,0,lal,0,1
,,,,,,,,,,,,201601200LAL,Did Not Play,,,Nick Young,youngni01,,,,lal,,
,,,,,,,,,,,,201601200LAL,Did Not Play,,,Tarik Black,blackta01,,,,lal,,
