ast_pct,blk_pct,def_rtg,drb_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,gm,mp,off_rtg,orb_pct,player,player_id,stl_pct,team,tov_pct,trb_pct,ts_pct,usg_pct
14.7,0.0,105,24.5,.500,.150,.400,201601220BOS,38:29,119,11.1,Jimmy Butler,butleji01,2.5,chi,14.5,18.2,.595,28.5
16.1,0.0,115,13.0,.548,.190,.190,201601220BOS,36:08,116,5.9,Derrick Rose,rosede01,0.0,chi,14.9,9.7,.593,29.5
16.7,0.0,110,23.9,.538,.000,.308,201601220BOS,31:30,105,10.2,Pau Gasol,gasolpa01,0.0,chi,25.3,17.5,.610,25.0
6.7,5.8,112,8.3,.500,.000,.667,201601220BOS,22:36,145,18.9,Taj Gibson,gibsota01,0.0,chi,0.0,13.3,.580,13.7
8.1,0.0,111,5.6,1.000,.000,.000,201601220BOS,16:49,202,0.0,Tony Snell,snellto01,2.9,chi,0.0,3.0,1.000,2.4
0.0,2.6,104,14.7,.143,.286,.571,201601220BOS,25:33,54,4.2,Nikola Mirotic,mirotni01,3.8,chi,25.5,9.8,.285,18.3
0.0,0.0,112,8.1,.000,1.000,.000,201601220BOS,23:10,0,0.0,Doug McDermott,mcderdo01,2.1,chi,66.7,4.3,.000,5.2
0.0,0.0,119,0.0,.333,.500,.000,201601220BOS,19:48,66,0.0,Aaron Brooks,brookaa01,0.0,chi,14.3,0.0,.333,14.1
0.0,3.6,107,10.4,.333,.000,.167,201601220BOS,18:02,70,5.9,Bobby Portis,portibo01,2.7,chi,7.2,8.3,.311,30.7
0.0,0.0,115,11.9,.000,.000,.000,201601220BOS,7:55,0,0.0,E'Twaun Moore,mooreet01,0.0,chi,0.0,6.3,.000,10.1
,,,,,,,201601220BOS,Did Not Play,,,Cristiano Felicio,feliccr01,,chi,,,,
,,,,,,,201601220BOS,Did Not Play,,,Kirk Hinrich,hinriki01,,chi,,,,
,,,,,,,201601220BOS,Did Not Play,,,Cameron Bairstow,bairsca01,,chi,,,,
16.5,0.0,101,3.0,.643,.286,.286,201601220BOS,36:03,135,0.0,Avery Bradley,bradlav01,5.3,bos,6.0,1.4,.666,19.0
3.7,3.8,101,3.2,.350,.200,.000,201601220BOS,33:33,89,2.8,Jae Crowder,crowdja01,4.3,bos,0.0,3.0,.350,12.2
23.7,0.0,107,6.8,.567,.467,.533,201601220BOS,31:24,128,3.0,Isaiah Thomas,thomais02,1.5,bos,5.1,4.8,.594,25.5
25.9,2.1,89,35.0,.421,.053,.105,201601220BOS,30:29,107,6.2,Jared Sullinger,sullija01,4.7,bos,4.8,19.7,.453,28.0
10.7,2.4,102,24.2,.500,.091,.091,201601220BOS,26:26,116,10.7,Kelly Olynyk,olynyke01,0.0,bos,8.0,17.0,.524,19.3
8.8,2.2,107,3.7,.250,.417,.167,201601220BOS,28:36,87,13.2,Marcus Smart,smartma01,1.7,bos,7.2,8.7,.311,19.9
37.0,0.0,102,16.4,.571,.286,.286,201601220BOS,19:34,94,9.6,Evan Turner,turneev01,2.5,bos,38.8,12.8,.635,27.0
6.9,3.4,102,23.3,1.250,.500,.000,201601220BOS,18:21,106,5.1,Jonas Jerebko,jerebjo01,0.0,bos,50.0,13.6,1.250,8.9
9.1,0.0,101,13.7,.500,.000,.333,201601220BOS,15:34,123,12.1,Tyler Zeller,zellety01,3.1,bos,0.0,12.8,.509,18.1
,,,,,,,201601220BOS,Did Not Play,,,James Young,youngja01,,bos,,,,
,,,,,,,201601220BOS,Did Not Play,,,Amir Johnson,johnsam01,,bos,,,,
,,,,,,,201601220BOS,Did Not Play,,,David Lee,leeda02,,bos,,,,
