ast_pct,blk_pct,def_rtg,drb_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,gm,mp,off_rtg,orb_pct,player,player_id,stl_pct,team,tov_pct,trb_pct,ts_pct,usg_pct
14.4,0.0,131,3.2,.500,.462,.000,201604120TOR,36:49,95,3.0,Nik Stauskas,stausni01,2.8,phi,13.3,3.1,.500,19.4
16.6,2.0,134,10.2,.833,.833,.500,201604120TOR,34:25,127,0.0,Robert Covington,covinro01,0.0,phi,17.0,5.0,.820,24.4
15.0,2.0,118,27.4,.556,.000,.889,201604120TOR,34:13,118,6.5,Nerlens Noel,noelne01,4.5,phi,7.4,16.7,.559,18.8
24.2,0.0,131,3.5,.818,.273,.000,201604120TOR,33:36,126,3.3,Ish Smith,smithis01,3.0,phi,21.4,3.4,.818,19.8
22.8,9.3,127,15.9,.500,.400,.200,201604120TOR,14:46,104,0.0,Jerami Grant,grantje01,0.0,phi,15.5,7.7,.551,20.7
10.3,0.0,133,3.8,.409,.727,.182,201604120TOR,30:43,75,0.0,Hollis Thompson,thompho01,1.7,phi,7.8,1.9,.379,19.9
27.1,0.0,133,16.2,.250,.333,.000,201604120TOR,21:37,74,0.0,T.J. McConnell,mccontj01,0.0,phi,14.3,7.9,.250,15.4
0.0,7.1,130,12.0,.400,.200,1.600,201604120TOR,19:27,114,17.2,Christian Wood,woodch01,0.0,phi,0.0,14.7,.469,20.8
31.6,0.0,127,32.5,.300,.600,.000,201604120TOR,14:24,76,0.0,Kendall Marshall,marshke01,0.0,phi,16.7,15.9,.300,19.8
,,,,,,,201604120TOR,Did Not Play,,,Carl Landry,landrca01,,phi,,,,
,,,,,,,201604120TOR,Did Not Play,,,Isaiah Canaan,canaais01,,phi,,,,
,,,,,,,201604120TOR,Did Not Play,,,Richaun Holmes,holmeri01,,phi,,,,
,,,,,,,201604120TOR,Did Not Play,,,Elton Brand,brandel01,,phi,,,,
3.1,0.0,103,11.6,.700,.400,.400,201604120TOR,38:22,139,0.0,Norman Powell,powelno01,4.0,tor,14.5,6.0,.765,14.8
18.0,0.0,104,12.7,.423,.615,.000,201604120TOR,26:16,101,4.5,Kyle Lowry,lowryky01,3.9,tor,13.3,8.7,.423,23.6
32.7,0.0,105,25.0,.400,.100,.200,201604120TOR,22:20,105,10.5,DeMar DeRozan,derozde01,2.3,tor,21.6,17.9,.460,25.6
6.2,5.4,106,21.2,.600,.400,.200,201604120TOR,21:04,110,0.0,Luis Scola,scolalu01,0.0,tor,8.4,10.8,.551,23.3
0.0,6.7,102,32.5,.500,.000,.063,201604120TOR,17:10,120,40.9,Jonas Valanciunas,valanjo01,0.0,tor,5.7,36.6,.517,41.9
19.9,0.0,105,8.2,.750,.200,.200,201604120TOR,27:05,175,0.0,Terrence Ross,rosste01,3.8,tor,0.0,4.2,.781,16.6
26.7,5.3,105,10.3,.429,.000,.286,201604120TOR,21:44,110,0.0,Delon Wright,wrighde01,2.3,tor,20.2,5.3,.508,18.8
0.0,5.3,107,20.6,.750,.000,.250,201604120TOR,21:40,174,16.2,Bismack Biyombo,biyombi01,0.0,tor,0.0,18.5,.788,16.9
11.3,0.0,105,16.2,.571,.714,.000,201604120TOR,20:42,131,17.0,DeMarre Carroll,carrode01,2.5,tor,12.5,16.6,.571,15.9
6.9,0.0,108,23.2,.000,.500,2.000,201604120TOR,14:27,94,8.1,Jason Thompson,thompja02,0.0,tor,21.0,15.8,.399,13.6
14.0,12.5,86,12.2,1.000,.000,.000,201604120TOR,9:10,203,0.0,Lucas Nogueira,noguelu01,5.6,tor,0.0,6.2,1.000,9.0
,,,,,,,201604120TOR,Did Not Play,,,Patrick Patterson,pattepa01,,tor,,,,
,,,,,,,201604120TOR,Did Not Play,,,Cory Joseph,josepco01,,tor,,,,
