ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,gm,mp,orb,pf,player,player_id,plus_minus,pts,stl,team,tov,trb
1,0,4,9,1,.200,5,.474,19,0,,0,201604130BOS,36:31,0,1,Joe Johnson,johnsjo02,-2,19,1,mia,3,4
2,2,6,3,0,.000,5,.333,9,0,,0,201604130BOS,35:13,2,3,Luol Deng,denglu01,-5,6,0,mia,1,8
3,2,0,9,0,.000,1,.563,16,0,,0,201604130BOS,32:56,2,5,Goran Dragic,dragigo01,-6,18,1,mia,0,2
5,1,3,7,0,.000,1,.438,16,3,1.000,3,201604130BOS,31:03,0,2,Dwyane Wade,wadedw01,-21,17,0,mia,3,3
0,4,7,6,0,,0,.600,10,7,.778,9,201604130BOS,27:56,2,2,Hassan Whiteside,whiteha01,-10,19,1,mia,1,9
1,0,5,3,1,.500,2,.600,5,0,,0,201604130BOS,28:28,5,2,Justise Winslow,winslju01,-3,7,1,mia,0,10
1,1,2,0,0,.000,4,.000,6,0,,0,201604130BOS,26:57,2,3,Josh Richardson,richajo01,-4,0,0,mia,0,4
1,0,3,1,0,.000,1,.167,6,0,,0,201604130BOS,15:48,1,0,Josh McRoberts,mcrobjo01,+2,2,1,mia,0,4
0,0,0,0,0,,0,.000,1,0,,0,201604130BOS,5:08,0,3,Gerald Green,greenge01,-1,0,0,mia,0,0
,,,,,,,,,,,,201604130BOS,Did Not Play,,,Udonis Haslem,hasleud01,,,,mia,,
,,,,,,,,,,,,201604130BOS,Did Not Play,,,Briante Weber,weberbr01,,,,mia,,
,,,,,,,,,,,,201604130BOS,Did Not Play,,,Amar'e Stoudemire,stoudam01,,,,mia,,
,,,,,,,,,,,,201604130BOS,Did Not Play,,,Dorell Wright,wrighdo01,,,,mia,,
2,0,3,6,1,.250,4,.462,13,0,,0,201604130BOS,35:47,3,5,Jae Crowder,crowdja01,+8,13,0,bos,1,6
6,0,4,4,2,.500,4,.267,15,11,.917,12,201604130BOS,34:12,0,2,Isaiah Thomas,thomais02,+5,21,1,bos,1,4
0,0,6,8,1,.500,2,.667,12,0,,0,201604130BOS,30:39,1,2,Avery Bradley,bradlav01,+2,17,1,bos,1,7
1,1,0,3,0,.000,1,.300,10,0,,0,201604130BOS,22:58,3,1,Jared Sullinger,sullija01,+4,6,1,bos,1,3
3,0,6,3,0,,0,1.000,3,0,,0,201604130BOS,21:37,1,4,Amir Johnson,johnsam01,+15,6,0,bos,0,7
4,0,3,7,0,,0,.538,13,2,.667,3,201604130BOS,29:03,0,3,Evan Turner,turneev01,+3,16,1,bos,1,3
0,0,2,0,0,,0,.000,5,0,,0,201604130BOS,23:21,0,0,Marcus Smart,smartma01,-2,0,0,bos,1,2
3,0,1,4,0,.000,2,.444,9,3,1.000,3,201604130BOS,18:24,0,1,Kelly Olynyk,olynyke01,+14,11,3,bos,0,1
1,1,3,1,1,1.000,1,.250,4,1,.500,2,201604130BOS,16:20,2,2,Jonas Jerebko,jerebjo01,+9,4,0,bos,1,5
0,1,1,1,0,,0,.500,2,2,1.000,2,201604130BOS,7:39,0,0,Tyler Zeller,zellety01,-8,4,0,bos,0,1
,,,,,,,,,,,,201604130BOS,Did Not Play,,,R.J. Hunter,hunterj01,,,,bos,,
,,,,,,,,,,,,201604130BOS,Did Not Play,,,Terry Rozier,roziete01,,,,bos,,
,,,,,,,,,,,,201604130BOS,Did Not Play,,,Jordan Mickey,mickejo01,,,,bos,,
