ast_pct,blk_pct,def_rtg,drb_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,gm,mp,off_rtg,orb_pct,player,player_id,stl_pct,team,tov_pct,trb_pct,ts_pct,usg_pct
59.6,0.0,105,23.6,.632,.421,.368,201611050ATL,36:55,114,3.0,James Harden,hardeja01,3.8,hou,26.6,13.5,.679,33.5
0.0,0.0,118,7.0,.462,.769,.000,201611050ATL,31:10,85,3.6,Ryan Anderson,anderry01,0.0,hou,13.3,5.3,.462,19.8
15.0,2.4,108,10.5,.500,.700,.000,201611050ATL,31:10,106,0.0,Trevor Ariza,arizatr01,3.0,hou,9.1,5.3,.500,14.5
9.8,7.3,112,7.2,.273,.364,.364,201611050ATL,30:19,75,0.0,Eric Gordon,gordoer01,0.0,hou,13.6,3.6,.353,20.0
0.0,0.0,102,46.4,.857,.000,.000,201611050ATL,21:09,91,5.3,Clint Capela,capelca01,2.2,hou,36.4,26.1,.857,21.4
0.0,3.9,113,11.4,.917,.333,.333,201611050ATL,19:07,155,0.0,K.J. McDaniels,mcdankj01,0.0,hou,12.7,5.8,.945,17.0
25.1,0.0,110,13.0,.250,.500,.000,201611050ATL,16:50,82,13.3,Sam Dekker,dekkesa01,2.8,hou,14.3,13.1,.250,17.1
0.0,0.0,106,0.0,.000,.667,.000,201611050ATL,15:14,0,0.0,Corey Brewer,breweco01,6.2,hou,40.0,0.0,.000,13.5
20.6,4.9,113,7.2,1.000,.000,.000,201611050ATL,15:11,113,14.7,Montrezl Harrell,harremo01,0.0,hou,50.0,10.9,1.000,10.8
0.0,6.3,111,9.4,.200,.000,.000,201611050ATL,11:40,67,38.3,Nene Hilario,hilarne01,0.0,hou,16.7,23.6,.200,21.1
24.2,0.0,115,16.4,.500,.000,.000,201611050ATL,6:40,90,16.7,Tyler Ennis,ennisty01,0.0,hou,33.3,16.6,.500,18.5
0.0,0.0,117,0.0,.000,.000,.000,201611050ATL,2:59,0,0.0,Bobby Brown,brownbo02,0.0,hou,0.0,0.0,.000,13.8
0.0,0.0,120,0.0,,,,201611050ATL,1:36,0,0.0,Kyle Wiltjer,wiltjky01,0.0,hou,100.0,0.0,,25.7
23.0,2.9,82,29.7,.500,.100,.250,201611050ATL,33:52,111,6.4,Paul Millsap,millspa01,7.0,atl,8.3,17.9,.518,29.9
41.0,0.0,103,10.3,.500,.357,.286,201611050ATL,32:24,108,0.0,Dennis Schroder,schrode01,1.5,atl,20.2,5.1,.539,25.6
17.8,0.0,95,14.2,.708,.333,.250,201611050ATL,31:30,136,0.0,Kent Bazemore,bazemke01,4.5,atl,13.1,7.0,.751,20.4
8.4,3.3,98,7.6,.833,.500,.000,201611050ATL,29:32,118,0.0,Kyle Korver,korveky01,3.2,atl,25.0,3.7,.833,11.3
15.5,6.7,92,30.6,.800,.000,1.000,201611050ATL,29:12,126,26.2,Dwight Howard,howardw01,1.6,atl,17.2,28.3,.694,25.0
5.4,4.1,92,4.7,.500,.125,.000,201611050ATL,24:00,108,13.6,Thabo Sefolosha,sefolth01,5.9,atl,11.1,9.2,.500,15.7
5.8,4.8,98,10.8,.833,.333,.000,201611050ATL,20:36,81,5.3,Mike Muscala,muscami01,2.3,atl,50.0,8.0,.833,12.2
12.2,0.0,108,6.0,.200,.400,.400,201611050ATL,18:30,79,0.0,Tim Hardaway,hardati02,0.0,atl,0.0,3.0,.255,13.3
8.6,0.0,107,7.2,.429,.286,.000,201611050ATL,15:36,72,0.0,Malcolm Delaney,delanma01,0.0,atl,22.2,3.5,.429,24.2
0.0,0.0,110,0.0,,,,201611050ATL,1:36,0,0.0,DeAndre' Bembry,bembrde01,0.0,atl,,0.0,,0.0
0.0,0.0,42,0.0,,,,201611050ATL,1:36,0,0.0,Ryan Kelly,kellyry01,29.6,atl,,0.0,,0.0
0.0,0.0,110,0.0,,,,201611050ATL,1:36,0,0.0,Taurean Waller-Prince,princta02,0.0,atl,,0.0,,0.0
,,,,,,,201611050ATL,Did Not Play,,,Kris Humphries,humphkr01,,atl,,,,
