ast_pct,blk_pct,def_rtg,drb_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,gm,mp,off_rtg,orb_pct,player,player_id,stl_pct,team,tov_pct,trb_pct,ts_pct,usg_pct
5.3,0.0,110,13.7,.523,.455,.227,201611090PHO,41:40,109,2.4,Kentavious Caldwell-Pope,caldwke01,1.1,det,4.0,7.7,.558,25.4
9.3,0.0,108,8.6,.423,.308,.385,201611090PHO,39:48,106,0.0,Marcus Morris,morrima03,2.4,det,6.2,4.0,.526,17.1
24.4,2.2,103,32.6,.538,.000,.462,201611090PHO,35:05,116,11.4,Andre Drummond,drumman01,1.4,det,11.3,21.3,.575,21.2
37.8,4.8,98,7.1,.231,.077,.308,201611090PHO,32:16,77,3.1,Ish Smith,smithis01,5.9,det,11.9,5.0,.305,21.9
11.0,4.9,106,10.8,.292,.167,.167,201611090PHO,31:52,68,0.0,Tobias Harris,harrito02,1.5,det,13.4,5.0,.349,19.6
7.6,0.0,107,32.9,.500,.500,.375,201611090PHO,24:20,131,8.2,Jon Leuer,leuerjo01,0.0,det,0.0,19.7,.590,16.1
28.7,0.0,107,7.3,.000,.200,.200,201611090PHO,15:42,33,0.0,Beno Udrih,udrihbe01,3.0,det,26.9,3.4,.092,19.9
0.0,0.0,105,8.8,,,,201611090PHO,12:55,193,7.7,Aron Baynes,baynear01,3.7,det,0.0,8.3,.852,5.7
0.0,0.0,116,0.0,.667,.000,.667,201611090PHO,6:21,116,0.0,Stanley Johnson,johnsst04,0.0,det,20.5,0.0,.773,32.3
,,,,,,,201611090PHO,Did Not Play,,,Boban Marjanovic,marjabo01,,det,,,,
,,,,,,,201611090PHO,Did Not Play,,,Reggie Bullock,bullore01,,det,,,,
,,,,,,,201611090PHO,Did Not Play,,,Darrun Hilliard,hillida01,,det,,,,
4.4,1.9,107,2.7,.412,.118,.235,201611090PHO,37:32,98,6.1,T.J. Warren,warretj01,0.0,pho,9.6,4.3,.480,23.2
0.0,1.9,88,35.1,.700,.000,.600,201611090PHO,37:04,128,3.1,Alex Len,lenal01,3.8,pho,0.0,20.1,.633,14.3
40.6,0.0,100,28.6,.567,.133,.267,201611090PHO,34:59,111,3.3,Eric Bledsoe,bledser01,0.0,pho,23.0,16.8,.626,26.1
17.0,4.3,101,6.0,.389,.556,.556,201611090PHO,33:29,92,0.0,Devin Booker,bookede01,1.4,pho,21.1,3.2,.491,17.8
8.9,0.0,103,21.2,.000,.250,.000,201611090PHO,14:09,39,16.2,Marquese Chriss,chrisma01,0.0,pho,20.0,18.8,.000,14.9
5.7,4.8,96,16.9,.889,.667,.444,201611090PHO,29:34,141,0.0,Jared Dudley,dudleja01,1.6,pho,15.7,9.0,.883,18.1
6.3,0.0,94,15.0,.000,.250,1.000,201611090PHO,20:00,95,17.1,P.J. Tucker,tuckepj01,4.7,pho,0.0,16.0,.260,12.1
35.8,0.0,107,5.9,.611,.222,.333,201611090PHO,16:54,111,0.0,Brandon Knight,knighbr03,0.0,pho,22.5,3.2,.678,33.1
22.3,0.0,106,12.2,.833,.333,.000,201611090PHO,8:12,176,13.9,Leandro Barbosa,barbole01,0.0,pho,0.0,13.0,.833,15.4
0.0,0.0,109,0.0,.000,.500,.000,201611090PHO,8:07,0,0.0,Dragan Bender,bendedr01,0.0,pho,20.0,0.0,.000,25.9
,,,,,,,201611090PHO,Did Not Play,,,Tyler Ulis,ulisty01,,pho,,,,
,,,,,,,201611090PHO,Did Not Play,,,Alan Williams,willial03,,pho,,,,
,,,,,,,201611090PHO,Did Not Play,,,John Jenkins,jenkijo01,,pho,,,,
