ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,gm,mp,orb,pf,player,player_id,plus_minus,pts,stl,team,tov,trb
1,0,3,6,2,.500,4,.500,12,2,1.000,2,201611230GSW,34:24,0,0,Brandon Ingram,ingrabr01,-30,16,0,lal,3,3
2,0,5,3,0,.000,1,.333,9,2,1.000,2,201611230GSW,26:02,2,1,Luol Deng,denglu01,-11,8,0,lal,0,7
6,0,2,3,1,.333,3,.429,7,0,,0,201611230GSW,19:59,2,1,Jose Calderon,caldejo01,-23,7,0,lal,2,4
1,0,1,3,2,.667,3,.375,8,0,,0,201611230GSW,18:55,0,1,Nick Young,youngni01,-27,8,0,lal,0,1
1,0,3,5,0,,0,.714,7,2,1.000,2,201611230GSW,17:24,1,5,Timofey Mozgov,mozgoti01,-4,12,0,lal,1,4
2,0,2,7,0,.000,2,.438,16,2,.667,3,201611230GSW,29:24,1,2,Jordan Clarkson,clarkjo01,-20,16,1,lal,1,3
2,0,0,6,1,.500,2,.545,11,3,.600,5,201611230GSW,21:43,0,1,Lou Williams,willilo02,-10,16,1,lal,2,0
1,1,7,1,0,,0,.500,2,2,1.000,2,201611230GSW,18:26,0,4,Larry Nance,nancela02,-14,4,0,lal,1,7
0,0,4,2,0,.000,1,.222,9,5,.833,6,201611230GSW,15:28,1,4,Tarik Black,blackta01,-27,9,1,lal,0,5
2,0,1,2,2,.500,4,.500,4,0,,0,201611230GSW,14:17,0,3,Metta World Peace,artesro01,-15,6,0,lal,0,1
3,0,1,2,0,,0,.500,4,0,,0,201611230GSW,12:00,0,0,Marcelo Huertas,huertma01,-15,4,1,lal,0,1
1,0,1,0,0,,0,.000,4,0,,0,201611230GSW,11:58,0,3,Thomas Robinson,robinth01,-19,0,1,lal,1,1
,,,,,,,,,,,,201611230GSW,Did Not Dress,,,Julius Randle,randlju01,,,,lal,,
5,1,5,11,2,.500,4,.733,15,4,.800,5,201611230GSW,30:10,1,3,Kevin Durant,duranke01,+17,28,1,gsw,1,6
9,0,5,11,7,.583,12,.611,18,2,1.000,2,201611230GSW,28:45,0,1,Stephen Curry,curryst01,+32,31,1,gsw,1,5
11,1,8,1,0,.000,3,.167,6,3,.500,6,201611230GSW,27:56,1,1,Draymond Green,greendr01,+30,5,1,gsw,0,9
2,0,2,9,4,.571,7,.643,14,4,1.000,4,201611230GSW,23:39,0,4,Klay Thompson,thompkl01,+4,26,0,gsw,1,2
2,0,3,2,0,,0,.667,3,2,1.000,2,201611230GSW,17:57,0,3,Zaza Pachulia,pachuza01,+22,6,3,gsw,0,3
5,0,2,2,0,.000,4,.286,7,0,,0,201611230GSW,20:52,0,1,Andre Iguodala,iguodan01,+12,4,0,gsw,1,2
1,0,1,7,5,1.000,5,.875,8,2,.500,4,201611230GSW,17:58,0,0,Ian Clark,clarkia01,+17,21,0,gsw,1,1
2,0,2,3,0,,0,.750,4,0,,0,201611230GSW,17:17,0,0,Shaun Livingston,livinsh01,+13,6,0,gsw,0,2
4,0,1,0,0,,0,.000,1,0,.000,2,201611230GSW,14:51,0,0,Patrick McCaw,mccawpa01,+22,0,0,gsw,1,1
4,1,4,1,0,,0,.333,3,1,.500,2,201611230GSW,14:40,1,2,David West,westda01,+6,3,1,gsw,1,5
0,1,4,3,0,,0,.750,4,2,.500,4,201611230GSW,9:31,0,2,JaVale McGee,mcgeeja01,+19,8,0,gsw,2,4
2,1,1,1,0,,0,1.000,1,4,1.000,4,201611230GSW,9:08,2,2,Anderson Varejao,varejan01,+5,6,0,gsw,1,3
0,0,4,2,1,1.000,1,1.000,2,0,,0,201611230GSW,7:16,1,1,Kevon Looney,looneke01,+16,5,0,gsw,0,5
