ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,gm,mp,orb,pf,player,player_id,plus_minus,pts,stl,team,tov,trb
0,2,8,6,0,,0,.600,10,5,.833,6,201611230ORL,34:56,4,2,Alex Len,lenal01,-2,17,0,pho,3,12
1,1,3,4,1,.333,3,.400,10,2,1.000,2,201611230ORL,33:57,0,4,Devin Booker,bookede01,+3,11,2,pho,1,3
5,1,9,5,1,.250,4,.333,15,5,.625,8,201611230ORL,32:29,0,1,Eric Bledsoe,bledser01,+1,16,1,pho,3,9
3,0,0,5,2,.400,5,.500,10,0,,0,201611230ORL,25:00,0,2,Brandon Knight,knighbr03,-1,12,0,pho,3,0
0,1,2,3,1,1.000,1,.750,4,3,.750,4,201611230ORL,17:11,1,2,Marquese Chriss,chrisma01,-2,10,1,pho,0,3
1,0,6,4,2,.500,4,.444,9,0,,0,201611230ORL,26:44,1,2,P.J. Tucker,tuckepj01,+2,10,1,pho,2,7
3,0,4,1,1,.250,4,.250,4,2,1.000,2,201611230ORL,25:37,0,3,Jared Dudley,dudleja01,+9,5,0,pho,0,4
2,0,0,2,0,,0,.400,5,0,,0,201611230ORL,15:31,0,1,Tyler Ulis,ulisty01,+4,4,1,pho,4,0
0,0,2,2,0,,0,.667,3,0,,0,201611230ORL,15:31,0,1,Leandro Barbosa,barbole01,+4,4,0,pho,0,2
0,2,4,1,1,1.000,1,.333,3,0,,0,201611230ORL,13:04,0,2,Dragan Bender,bendedr01,+7,3,0,pho,1,4
,,,,,,,,,,,,201611230ORL,Did Not Play,,,Derrick Jones,jonesde02,,,,pho,,
,,,,,,,,,,,,201611230ORL,Did Not Play,,,John Jenkins,jenkijo01,,,,pho,,
,,,,,,,,,,,,201611230ORL,Did Not Play,,,Alan Williams,willial03,,,,pho,,
2,0,2,9,3,.375,8,.450,20,4,.667,6,201611230ORL,35:20,1,2,Evan Fournier,fournev01,+2,25,3,orl,0,3
0,3,2,2,1,.333,3,.222,9,0,,0,201611230ORL,31:53,2,3,Serge Ibaka,ibakase01,-4,5,0,orl,2,4
7,0,3,3,0,.000,1,.273,11,3,.600,5,201611230ORL,30:48,3,2,Elfrid Payton,paytoel01,+4,9,1,orl,3,6
2,1,11,10,0,,0,.667,15,1,.500,2,201611230ORL,29:22,3,2,Nikola Vucevic,vucevni01,+1,21,1,orl,0,14
2,1,2,0,0,.000,1,.000,7,3,.750,4,201611230ORL,22:51,1,2,Jeff Green,greenje02,0,3,1,orl,1,3
1,2,6,0,0,,0,.000,2,0,,0,201611230ORL,22:21,1,2,Bismack Biyombo,biyombi01,-2,0,0,orl,1,7
2,0,2,4,2,.500,4,.444,9,2,.667,3,201611230ORL,20:27,0,3,D.J. Augustin,augusdj01,-7,12,0,orl,2,2
0,1,2,4,1,.333,3,.364,11,0,,0,201611230ORL,20:24,0,3,Aaron Gordon,gordoaa01,-6,9,0,orl,2,2
1,0,2,1,0,.000,2,.250,4,0,.000,1,201611230ORL,14:16,0,0,C.J. Watson,watsocj01,-10,2,2,orl,0,2
0,0,1,0,0,.000,2,.000,2,0,,0,201611230ORL,8:10,0,0,Damjan Rudez,rudezda01,-2,0,1,orl,0,1
0,0,0,0,0,.000,1,.000,1,1,.500,2,201611230ORL,4:08,0,0,Mario Hezonja,hezonma01,-1,1,0,orl,0,0
,,,,,,,,,,,,201611230ORL,Did Not Play,,,C.J. Wilcox,wilcocj01,,,,orl,,
,,,,,,,,,,,,201611230ORL,Did Not Play,,,Arinze Onuaku,onuakar01,,,,orl,,
