ast_pct,blk_pct,def_rtg,drb_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,gm,mp,off_rtg,orb_pct,player,player_id,stl_pct,team,tov_pct,trb_pct,ts_pct,usg_pct
3.8,2.0,104,41.6,.692,.077,.308,201611290BRK,44:45,134,11.4,DeAndre Jordan,jordade01,0.0,lac,11.9,25.9,.711,16.4
53.5,2.0,104,17.2,.500,.269,.000,201611290BRK,44:30,108,6.9,Chris Paul,paulch01,2.2,lac,13.3,11.8,.500,29.5
8.6,0.0,112,5.7,.472,.556,.056,201611290BRK,38:05,98,0.0,J.J. Redick,redicjj01,0.0,lac,5.1,2.8,.488,22.3
0.0,0.0,107,11.4,.214,.714,.286,201611290BRK,28:53,61,0.0,Paul Pierce,piercpa01,1.7,lac,11.3,5.5,.317,13.4
0.0,0.0,95,16.3,.000,.333,1.333,201611290BRK,20:10,61,5.0,Luc Mbah a Moute,mbahalu01,7.2,lac,0.0,10.5,.210,10.3
4.2,0.0,112,9.3,.300,.267,.133,201611290BRK,35:10,72,0.0,Jamal Crawford,crawfja01,0.0,lac,5.9,4.5,.346,21.0
12.7,0.0,113,4.2,.667,.444,.556,201611290BRK,26:06,130,3.9,Austin Rivers,riverau01,0.0,lac,8.2,4.0,.670,20.4
0.0,0.0,100,29.4,.250,.500,1.000,201611290BRK,14:53,88,6.8,Marreese Speights,speigma01,3.2,lac,25.8,17.7,.521,22.8
13.0,0.0,94,16.2,.583,.500,.000,201611290BRK,13:30,102,0.0,Raymond Felton,feltora01,7.1,lac,14.3,7.8,.583,22.7
12.8,7.1,96,8.8,.625,.750,.000,201611290BRK,12:23,132,0.0,Wesley Johnson,johnswe01,3.9,lac,0.0,4.3,.625,14.1
0.0,0.0,109,18.9,.750,.000,.000,201611290BRK,11:35,109,0.0,Brandon Bass,bassbr01,0.0,lac,20.0,9.1,.750,18.9
,,,,,,,201611290BRK,Did Not Dress,,,Blake Griffin,griffbl01,,lac,,,,
,,,,,,,201611290BRK,Did Not Play,,,Alan Anderson,anderal01,,lac,,,,
8.9,0.0,102,30.4,.471,.353,.235,201611290BRK,46:53,90,0.0,Sean Kilpatrick,kilpase01,0.0,brk,11.8,15.7,.506,39.6
11.8,0.0,109,6.6,.313,.375,.375,201611290BRK,46:09,85,0.0,Isaiah Whitehead,whiteis01,0.0,brk,0.0,3.4,.322,8.8
17.7,1.9,101,11.8,.650,.450,.050,201611290BRK,43:14,133,7.6,Brook Lopez,lopezbr01,2.2,brk,4.7,9.8,.660,21.7
19.8,0.0,97,22.0,.538,.154,.077,201611290BRK,41:37,115,7.9,Trevor Booker,booketr01,3.5,brk,13.0,15.2,.558,16.2
10.8,0.0,104,23.1,.286,.429,1.714,201611290BRK,26:27,101,0.0,Bojan Bogdanovic,bogdabo02,0.0,brk,19.6,12.0,.570,25.2
4.0,0.0,102,0.0,.667,.444,.556,201611290BRK,38:41,115,2.8,Joe Harris,harrijo01,3.7,brk,15.2,1.4,.670,14.9
11.7,6.8,101,16.5,.417,.500,.667,201611290BRK,24:40,103,0.0,Justin Hamilton,hamilju01,0.0,brk,0.0,8.6,.451,13.7
16.7,0.0,97,24.4,.300,.400,.000,201611290BRK,16:41,90,6.6,Randy Foye,foyera01,2.9,brk,0.0,15.8,.300,13.1
0.0,0.0,105,18.0,.500,.000,1.000,201611290BRK,5:39,66,0.0,Luis Scola,scolalu01,0.0,brk,0.0,9.3,.347,22.3
,,,,,,,201611290BRK,Did Not Play,,,Chris McCullough,mcculch01,,brk,,,,
,,,,,,,201611290BRK,Did Not Play,,,Yogi Ferrell,ferreyo01,,brk,,,,
,,,,,,,201611290BRK,Did Not Play,,,Rondae Hollis-Jefferson,holliro01,,brk,,,,
,,,,,,,201611290BRK,Did Not Play,,,Anthony Bennett,bennean01,,brk,,,,
