ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,gm,mp,orb,pf,player,player_id,plus_minus,pts,stl,team,tov,trb
7,0,5,5,0,.000,4,.500,10,3,.750,4,201612090SAC,38:48,0,1,Brandon Jennings,jennibr01,+7,13,0,nyk,4,5
4,1,7,9,3,.300,10,.409,22,12,.857,14,201612090SAC,35:53,0,3,Carmelo Anthony,anthoca01,+5,33,1,nyk,2,7
2,0,9,6,1,.200,5,.316,19,4,1.000,4,201612090SAC,35:11,2,3,Kristaps Porzingis,porzikr01,+9,17,0,nyk,2,11
1,0,3,3,2,.667,3,.429,7,0,.000,1,201612090SAC,33:00,1,2,Courtney Lee,leeco01,+7,8,0,nyk,0,4
1,2,8,1,0,,0,.333,3,2,1.000,2,201612090SAC,28:01,1,4,Joakim Noah,noahjo01,+9,4,1,nyk,2,9
5,2,6,4,0,,0,.571,7,0,,0,201612090SAC,19:55,5,4,Kyle O'Quinn,oquinky01,-6,8,0,nyk,1,11
0,0,1,2,2,.667,3,.400,5,0,,0,201612090SAC,18:12,1,2,Lance Thomas,thomala01,-7,6,1,nyk,1,2
1,0,2,3,1,.500,2,.500,6,0,,0,201612090SAC,15:00,1,1,Justin Holiday,holidju01,-4,7,0,nyk,0,3
1,0,0,1,0,,0,1.000,1,0,,0,201612090SAC,9:12,0,4,Sasha Vujacic,vujacsa01,-4,2,0,nyk,3,0
0,1,1,2,1,.500,2,.500,4,0,,0,201612090SAC,6:48,1,1,Mindaugas Kuzminskas,kuzmimi01,-1,5,0,nyk,1,2
,,,,,,,,,,,,201612090SAC,Did Not Play,,,Marshall Plumlee,plumlma02,,,,nyk,,
,,,,,,,,,,,,201612090SAC,Did Not Play,,,Ron Baker,bakerro01,,,,nyk,,
,,,,,,,,,,,,201612090SAC,Did Not Play,,,Willy Hernangomez,hernawi01,,,,nyk,,
6,1,9,9,0,.000,6,.360,25,10,.833,12,201612090SAC,36:24,3,2,DeMarcus Cousins,couside01,-5,28,3,sac,3,12
1,0,5,4,0,.000,5,.267,15,5,.833,6,201612090SAC,34:41,0,5,Rudy Gay,gayru01,-7,13,1,sac,0,5
3,0,3,5,1,.500,2,.455,11,3,1.000,3,201612090SAC,30:12,0,1,Darren Collison,collida01,-5,14,2,sac,0,3
2,0,3,4,2,1.000,2,.571,7,0,,0,201612090SAC,21:46,1,1,Ben McLemore,mclembe01,-5,10,1,sac,0,4
1,0,3,2,0,,0,1.000,2,0,,0,201612090SAC,13:52,0,3,Kosta Koufos,koufoko01,-1,4,0,sac,1,3
2,0,4,4,2,.333,6,.444,9,0,,0,201612090SAC,26:37,1,3,Anthony Tolliver,tollian01,-2,10,0,sac,1,5
1,0,0,2,1,.250,4,.333,6,0,,0,201612090SAC,26:14,0,0,Garrett Temple,templga01,+2,5,3,sac,0,0
1,0,3,4,1,1.000,1,.800,5,3,1.000,3,201612090SAC,20:14,0,2,Omri Casspi,casspom01,+4,12,0,sac,1,3
6,0,3,1,0,.000,2,.200,5,2,.667,3,201612090SAC,17:48,0,1,Ty Lawson,lawsoty01,+2,4,0,sac,1,3
1,0,0,0,0,,0,.000,2,0,,0,201612090SAC,12:12,1,2,Willie Cauley-Stein,caulewi01,+2,0,0,sac,0,1
,,,,,,,,,,,,201612090SAC,Did Not Play,,,Arron Afflalo,afflaar01,,,,sac,,
,,,,,,,,,,,,201612090SAC,Did Not Dress,,,Matt Barnes,barnema02,,,,sac,,
