ast_pct,blk_pct,def_rtg,drb_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,gm,mp,off_rtg,orb_pct,player,player_id,stl_pct,team,tov_pct,trb_pct,ts_pct,usg_pct
13.3,6.7,125,15.8,.667,.000,.333,201701060LAL,31:40,141,19.3,Willie Reed,reedwi02,0.0,mia,0.0,17.7,.640,22.9
9.1,0.0,134,3.3,.417,.667,.333,201701060LAL,30:18,76,0.0,Josh Richardson,richajo01,0.0,mia,22.5,1.5,.436,12.4
27.8,0.0,130,13.4,.615,.231,.000,201701060LAL,22:28,129,0.0,Goran Dragic,dragigo01,0.0,mia,0.0,6.2,.615,24.4
0.0,0.0,131,10.5,.375,.500,.000,201701060LAL,18:58,49,0.0,Rodney McGruder,mcgruro01,0.0,mia,33.3,4.9,.375,13.3
0.0,0.0,135,0.0,.000,.667,.000,201701060LAL,7:57,0,0.0,Luke Babbitt,babbilu01,0.0,mia,0.0,0.0,.000,15.9
8.3,2.0,126,11.3,.308,.308,.308,201701060LAL,35:24,82,2.5,Tyler Johnson,johnsty01,1.4,mia,6.3,6.6,.373,18.8
5.1,4.2,122,11.9,.818,.636,.364,201701060LAL,33:36,122,2.6,James Johnson,johnsja01,2.8,mia,19.0,6.9,.784,19.8
16.3,0.0,123,4.9,.333,.250,.083,201701060LAL,20:33,83,0.0,Dion Waiters,waitedi01,4.7,mia,0.0,2.3,.362,25.5
7.7,0.0,130,12.3,.000,.667,.500,201701060LAL,16:19,33,0.0,Wayne Ellington,ellinwa01,0.0,mia,12.0,5.7,.137,21.5
17.9,4.6,119,32.6,.143,.429,.857,201701060LAL,15:21,83,5.7,Derrick Williams,willide02,0.0,mia,0.0,18.2,.311,26.5
51.5,0.0,119,40.4,1.000,.000,1.000,201701060LAL,7:26,141,11.7,Udonis Haslem,hasleud01,0.0,mia,25.8,25.1,.868,22.0
,,,,,,,201701060LAL,Not With Team,,,Justise Winslow,winslju01,,mia,,,,
,,,,,,,201701060LAL,Did Not Play,,,Hassan Whiteside,whiteha01,,mia,,,,
9.1,0.0,97,32.0,.792,.333,.000,201701060LAL,30:02,134,10.0,Luol Deng,denglu01,0.0,lal,20.0,21.7,.792,20.0
3.5,0.0,104,11.9,.167,.667,.222,201701060LAL,29:18,82,3.4,Nick Young,youngni01,0.0,lal,0.0,8.0,.253,13.5
26.4,0.0,93,10.1,.441,.235,.353,201701060LAL,25:56,129,11.6,D'Angelo Russell,russeda01,5.5,lal,0.0,10.8,.484,30.4
15.8,3.2,95,21.0,.667,.000,.333,201701060LAL,24:56,165,0.0,Julius Randle,randlju01,1.9,lal,0.0,11.2,.727,16.6
0.0,0.0,104,10.9,.500,.000,.500,201701060LAL,16:05,74,0.0,Timofey Mozgov,mozgoti01,0.0,lal,29.1,5.8,.512,17.1
18.1,0.0,103,15.5,.667,.111,.556,201701060LAL,28:09,175,3.6,Brandon Ingram,ingrabr01,0.0,lal,0.0,9.9,.759,15.9
9.0,3.2,99,17.4,.600,.000,.800,201701060LAL,25:07,161,23.9,Tarik Black,blackta01,0.0,lal,12.9,20.4,.740,12.4
20.6,0.0,106,3.7,.605,.526,.053,201701060LAL,23:35,119,0.0,Lou Williams,willilo02,0.0,lal,13.4,2.0,.617,38.1
6.9,0.0,85,30.0,.600,.000,1.200,201701060LAL,17:29,90,17.2,Thomas Robinson,robinth01,5.5,lal,20.7,24.0,.458,22.1
0.0,0.0,106,0.0,.500,.250,.000,201701060LAL,9:54,113,0.0,Jordan Clarkson,clarkjo01,0.0,lal,0.0,0.0,.500,16.2
0.0,0.0,103,17.2,.000,1.000,.000,201701060LAL,5:05,73,19.7,Jose Calderon,caldejo01,0.0,lal,0.0,18.3,.000,7.9
83.3,0.0,108,0.0,1.000,.000,.000,201701060LAL,2:12,205,0.0,Marcelo Huertas,huertma01,0.0,lal,0.0,0.0,1.000,18.2
0.0,0.0,97,0.0,.000,1.000,.000,201701060LAL,2:12,0,0.0,Metta World Peace,artesro01,0.0,lal,0.0,0.0,.000,18.2
