ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,gm,mp,orb,pf,player,player_id,plus_minus,pts,stl,team,tov,trb
6,3,10,13,1,.250,4,.650,20,5,.833,6,201701180HOU,37:01,1,3,Giannis Antetokounmpo,antetgi01,-11,32,1,mil,4,11
8,0,3,3,1,.250,4,.250,12,0,,0,201701180HOU,34:57,6,1,Malcolm Brogdon,brogdma01,-18,7,1,mil,3,9
3,0,4,3,2,.667,3,.500,6,0,,0,201701180HOU,32:28,0,1,Tony Snell,snellto01,-16,8,2,mil,1,4
2,1,4,5,0,.000,2,.333,15,5,.714,7,201701180HOU,31:25,2,2,Jabari Parker,parkeja01,-15,15,0,mil,2,6
0,1,4,2,0,,0,.667,3,0,,0,201701180HOU,18:30,1,3,John Henson,hensojo01,-6,4,1,mil,1,5
2,2,5,6,2,.667,3,.429,14,0,,0,201701180HOU,23:41,3,1,Michael Beasley,beaslmi01,-13,14,0,mil,1,8
2,1,2,1,0,,0,.250,4,0,,0,201701180HOU,17:30,2,1,Greg Monroe,monrogr01,-8,2,0,mil,4,4
2,0,0,2,1,.250,4,.333,6,0,,0,201701180HOU,16:46,0,1,Matthew Dellavedova,dellama01,-5,5,1,mil,2,0
0,0,0,0,0,.000,2,.000,2,0,,0,201701180HOU,11:20,0,0,Jason Terry,terryja01,-8,0,0,mil,0,0
1,0,0,0,0,.000,4,.000,5,0,,0,201701180HOU,8:16,0,1,Mirza Teletovic,teletmi01,-1,0,1,mil,0,0
0,0,2,1,0,.000,1,.500,2,1,1.000,1,201701180HOU,2:42,0,0,Thon Maker,makerth01,+2,3,0,mil,0,2
0,0,0,1,0,.000,1,.333,3,0,,0,201701180HOU,2:42,0,0,Rashad Vaughn,vaughra01,+2,2,1,mil,0,0
0,0,1,0,0,,0,.000,1,0,,0,201701180HOU,2:42,0,0,Miles Plumlee,plumlmi01,+2,0,0,mil,0,1
4,0,5,2,1,.143,7,.250,8,0,,0,201701180HOU,39:09,1,2,Trevor Ariza,arizatr01,+26,5,1,hou,1,6
8,2,6,14,4,.364,11,.560,25,6,1.000,6,201701180HOU,36:42,0,2,James Harden,hardeja01,+21,38,0,hou,2,6
5,2,7,5,2,.500,4,.500,10,0,,0,201701180HOU,34:25,2,2,Patrick Beverley,beverpa01,+12,12,3,hou,3,9
4,5,4,5,0,,0,.625,8,2,.667,3,201701180HOU,26:45,4,2,Montrezl Harrell,harremo01,+19,12,0,hou,2,8
1,1,3,1,0,.000,3,.167,6,0,,0,201701180HOU,17:52,1,4,Corey Brewer,breweco01,-20,2,3,hou,0,4
0,0,3,9,7,.412,17,.450,20,0,,0,201701180HOU,32:28,1,2,Eric Gordon,gordoer01,+38,25,0,hou,1,4
1,0,2,2,0,.000,2,.222,9,1,.500,2,201701180HOU,24:51,3,0,Sam Dekker,dekkesa01,+8,5,0,hou,1,5
0,2,2,2,0,,0,.667,3,1,.500,2,201701180HOU,10:54,1,1,Clint Capela,capelca01,-2,5,0,hou,0,3
2,0,0,2,0,,0,.667,3,1,.500,2,201701180HOU,10:21,0,1,Nene Hilario,hilarne01,+2,5,2,hou,0,0
0,0,0,1,0,,0,1.000,1,0,,0,201701180HOU,2:11,0,1,K.J. McDaniels,mcdankj01,-3,2,0,hou,0,0
0,0,1,0,0,,0,.000,1,0,,0,201701180HOU,2:11,0,0,Bobby Brown,brownbo02,-3,0,0,hou,0,1
0,0,0,0,0,,0,.000,1,0,,0,201701180HOU,2:11,0,0,Tyler Ennis,ennisty01,-3,0,0,hou,0,0
,,,,,,,,,,,,201701180HOU,Did Not Play,,,Ryan Anderson,anderry01,,,,hou,,
