ast_pct,blk_pct,def_rtg,drb_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,gm,mp,off_rtg,orb_pct,player,player_id,stl_pct,team,tov_pct,trb_pct,ts_pct,usg_pct
38.6,7.6,109,27.0,.675,.200,.300,201701180HOU,37:01,125,2.7,Giannis Antetokounmpo,antetgi01,1.3,mil,15.0,14.9,.707,29.5
33.4,0.0,120,8.6,.292,.333,.000,201701180HOU,34:57,85,17.2,Malcolm Brogdon,brogdma01,1.4,mil,20.0,12.9,.292,17.6
13.6,0.0,115,12.3,.667,.500,.000,201701180HOU,32:28,122,0.0,Tony Snell,snellto01,3.1,mil,14.3,6.2,.667,8.8
10.4,3.0,120,12.7,.333,.133,.467,201701180HOU,31:25,90,6.4,Jabari Parker,parkeja01,0.0,mil,10.0,9.5,.415,26.2
0.0,5.1,109,21.6,.667,.000,.000,201701180HOU,18:30,98,5.4,John Henson,hensojo01,2.7,mil,25.0,13.5,.667,8.9
16.3,7.9,114,21.1,.500,.214,.000,201701180HOU,23:41,106,12.7,Michael Beasley,beaslmi01,0.0,mil,6.7,16.9,.500,25.9
16.0,5.4,119,11.4,.250,.000,.000,201701180HOU,17:30,46,11.4,Greg Monroe,monrogr01,0.0,mil,50.0,11.4,.250,18.7
18.3,0.0,119,0.0,.417,.667,.000,201701180HOU,16:46,73,0.0,Matthew Dellavedova,dellama01,3.0,mil,25.0,0.0,.417,19.5
0.0,0.0,126,0.0,.000,1.000,.000,201701180HOU,11:20,0,0.0,Jason Terry,terryja01,0.0,mil,0.0,0.0,.000,7.2
15.7,0.0,112,0.0,.000,.800,.000,201701180HOU,8:16,13,0.0,Mirza Teletovic,teletmi01,6.0,mil,0.0,0.0,.000,24.8
0.0,0.0,84,0.0,.333,.333,.000,201701180HOU,2:42,74,0.0,Rashad Vaughn,vaughra01,18.3,mil,0.0,0.0,.333,45.5
0.0,0.0,100,74.1,.500,.500,.500,201701180HOU,2:42,134,0.0,Thon Maker,makerth01,0.0,mil,0.0,37.0,.615,37.0
0.0,0.0,113,37.0,.000,.000,.000,201701180HOU,2:42,0,0.0,Miles Plumlee,plumlmi01,0.0,mil,0.0,18.5,.000,15.2
12.1,0.0,99,12.8,.313,.875,.000,201701180HOU,39:09,88,2.6,Trevor Ariza,arizatr01,1.3,hou,11.1,7.7,.313,9.9
42.4,4.0,98,16.3,.640,.440,.240,201701180HOU,36:42,140,0.0,James Harden,hardeja01,0.0,hou,6.7,8.2,.687,34.7
19.4,4.3,87,20.3,.600,.400,.000,201701180HOU,34:25,110,5.8,Patrick Beverley,beverpa01,4.3,hou,23.1,13.1,.600,16.2
21.1,13.8,93,15.0,.625,.000,.375,201701180HOU,26:45,129,15.0,Montrezl Harrell,harremo01,0.0,hou,17.7,15.0,.644,18.2
6.7,4.1,80,16.8,.167,.500,.000,201701180HOU,17:52,61,5.6,Corey Brewer,breweco01,8.3,hou,0.0,11.2,.167,14.4
0.0,0.0,104,9.2,.625,.850,.000,201701180HOU,32:28,119,3.1,Eric Gordon,gordoer01,0.0,hou,4.8,6.2,.625,27.8
4.9,0.0,104,8.0,.222,.222,.222,201701180HOU,24:51,73,12.1,Sam Dekker,dekkesa01,0.0,hou,9.2,10.1,.253,18.8
0.0,13.5,92,18.3,.667,.000,.667,201701180HOU,10:54,139,9.2,Clint Capela,capelca01,0.0,hou,0.0,13.8,.644,15.3
27.5,0.0,87,0.0,.667,.000,.667,201701180HOU,10:21,147,0.0,Nene Hilario,hilarne01,9.6,hou,0.0,0.0,.644,16.1
0.0,0.0,88,45.8,.000,.000,.000,201701180HOU,2:11,0,0.0,Bobby Brown,brownbo02,0.0,hou,0.0,22.9,.000,19.7
0.0,0.0,107,0.0,1.000,.000,.000,201701180HOU,2:11,200,0.0,K.J. McDaniels,mcdankj01,0.0,hou,0.0,0.0,1.000,19.7
0.0,0.0,108,0.0,.000,.000,.000,201701180HOU,2:11,0,0.0,Tyler Ennis,ennisty01,0.0,hou,0.0,0.0,.000,19.7
,,,,,,,201701180HOU,Did Not Play,,,Ryan Anderson,anderry01,,hou,,,,
