ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,gm,mp,orb,pf,player,player_id,plus_minus,pts,stl,team,tov,trb
0,3,9,10,0,,0,.526,19,1,.250,4,201703030NOP,40:09,5,3,LaMarcus Aldridge,aldrila01,+10,21,0,sas,2,14
6,0,6,11,1,.200,5,.423,26,8,.800,10,201703030NOP,39:46,1,1,Kawhi Leonard,leonaka01,+4,31,3,sas,1,7
3,0,7,3,0,.000,3,.300,10,0,,0,201703030NOP,36:26,0,2,Danny Green,greenda02,+5,6,0,sas,0,7
4,0,1,2,0,,0,.286,7,0,,0,201703030NOP,24:02,0,0,Tony Parker,parketo01,-6,4,0,sas,2,1
0,0,4,2,0,,0,.667,3,0,,0,201703030NOP,15:45,1,6,Dewayne Dedmon,dedmode01,0,4,0,sas,1,5
2,0,6,4,1,.200,5,.400,10,4,.500,8,201703030NOP,35:48,3,4,Pau Gasol,gasolpa01,+1,13,0,sas,2,9
2,0,1,5,4,.444,9,.500,10,1,.500,2,201703030NOP,28:52,1,1,Patty Mills,millspa02,+9,15,2,sas,2,2
2,0,3,2,0,.000,3,.400,5,1,1.000,1,201703030NOP,20:49,0,1,Manu Ginobili,ginobma01,+1,5,0,sas,0,3
1,0,2,1,0,.000,1,.250,4,0,,0,201703030NOP,12:17,0,1,Jonathon Simmons,simmojo02,+3,2,1,sas,1,2
0,1,3,0,0,,0,,0,0,,0,201703030NOP,8:56,0,3,David Lee,leeda02,-12,0,0,sas,0,3
0,0,0,0,0,.000,1,.000,1,0,,0,201703030NOP,2:11,0,0,Davis Bertans,bertada01,0,0,0,sas,0,0
,,,,,,,,,,,,201703030NOP,Did Not Play,,,Kyle Anderson,anderky01,,,,sas,,
,,,,,,,,,,,,201703030NOP,Did Not Play,,,Dejounte Murray,murrade01,,,,sas,,
5,0,6,12,2,.333,6,.444,27,0,,0,201703030NOP,43:29,1,1,Jrue Holiday,holidjr01,-6,26,1,nop,4,7
4,0,20,7,1,.167,6,.389,18,4,.800,5,201703030NOP,42:50,4,5,DeMarcus Cousins,couside01,+2,19,0,nop,6,24
3,1,7,7,1,.333,3,.389,18,14,.875,16,201703030NOP,42:18,1,4,Anthony Davis,davisan02,-4,29,1,nop,3,8
1,0,0,1,1,.333,3,.200,5,0,,0,201703030NOP,39:38,1,5,Solomon Hill,hillso01,-6,3,0,nop,0,1
0,0,2,2,1,.333,3,.286,7,0,,0,201703030NOP,29:16,0,1,Hollis Thompson,thompho01,-1,5,0,nop,0,2
5,1,4,2,1,.500,2,.250,8,1,1.000,1,201703030NOP,37:06,0,2,E'Twaun Moore,mooreet01,+1,6,0,nop,0,4
0,0,1,3,1,.500,2,.500,6,1,.500,2,201703030NOP,20:52,0,2,Dante Cunningham,cunnida01,-4,8,0,nop,1,1
2,0,0,1,0,,0,.500,2,0,,0,201703030NOP,9:31,1,2,Tim Frazier,fraziti01,+3,2,0,nop,2,1
,,,,,,,,,,,,201703030NOP,Did Not Play,,,Alexis Ajinca,ajincal01,,,,nop,,
,,,,,,,,,,,,201703030NOP,Not With Team,,,Jarrett Jack,jackja01,,,,nop,,
,,,,,,,,,,,,201703030NOP,Did Not Play,,,Reggie Williams,willire02,,,,nop,,
,,,,,,,,,,,,201703030NOP,Not With Team,,,Omer Asik,asikom01,,,,nop,,
,,,,,,,,,,,,201703030NOP,Did Not Play,,,Donatas Motiejunas,motiedo01,,,,nop,,
