ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,gm,mp,orb,pf,player,player_id,plus_minus,pts,stl,team,tov,trb
2,0,3,8,3,.333,9,.421,19,6,.857,7,201703170PHO,35:05,0,3,Evan Fournier,fournev01,+11,25,1,orl,1,3
0,4,4,7,1,.333,3,.583,12,2,1.000,2,201703170PHO,34:07,0,2,Aaron Gordon,gordoaa01,+7,17,1,orl,2,4
2,0,11,8,0,.000,2,.400,20,2,1.000,2,201703170PHO,32:20,6,2,Nikola Vucevic,vucevni01,+15,18,3,orl,2,17
11,0,4,4,0,,0,.444,9,2,1.000,2,201703170PHO,30:53,0,4,Elfrid Payton,paytoel01,+11,10,3,orl,1,4
2,0,1,6,2,.667,3,.600,10,0,,0,201703170PHO,30:33,0,6,Terrence Ross,rosste01,0,14,0,orl,3,1
0,0,1,4,1,.500,2,.500,8,3,.750,4,201703170PHO,16:23,0,3,D.J. Augustin,augusdj01,-5,12,0,orl,1,1
1,0,2,1,0,.000,1,.200,5,1,.500,2,201703170PHO,16:09,0,1,Mario Hezonja,hezonma01,+3,3,2,orl,1,2
1,0,3,1,0,,0,1.000,1,2,1.000,2,201703170PHO,15:40,0,3,Bismack Biyombo,biyombi01,-9,4,0,orl,0,3
1,0,0,2,0,.000,1,.667,3,0,,0,201703170PHO,14:58,0,1,C.J. Watson,watsocj01,-2,4,0,orl,0,0
1,0,6,1,0,.000,2,.111,9,0,,0,201703170PHO,13:53,2,2,Jeff Green,greenje02,-1,2,0,orl,1,8
,,,,,,,,,,,,201703170PHO,Did Not Play,,,Stephen Zimmerman,zimmest01,,,,orl,,
,,,,,,,,,,,,201703170PHO,Did Not Play,,,C.J. Wilcox,wilcocj01,,,,orl,,
,,,,,,,,,,,,201703170PHO,Did Not Play,,,Damjan Rudez,rudezda01,,,,orl,,
8,0,3,8,0,.000,2,.471,17,3,.750,4,201703170PHO,40:25,1,1,Tyler Ulis,ulisty01,-7,19,1,pho,3,4
1,2,3,8,0,.000,1,.615,13,10,1.000,10,201703170PHO,36:47,2,4,T.J. Warren,warretj01,-10,26,2,pho,3,5
3,0,4,3,0,.000,2,.231,13,4,1.000,4,201703170PHO,30:20,0,2,Devin Booker,bookede01,+6,10,2,pho,3,4
2,2,5,3,0,,0,.250,12,3,.750,4,201703170PHO,28:02,4,3,Alex Len,lenal01,-4,9,3,pho,2,9
0,4,9,6,1,.500,2,.667,9,0,,0,201703170PHO,25:35,0,4,Marquese Chriss,chrisma01,+9,13,0,pho,2,9
0,0,5,3,1,.167,6,.333,9,0,,0,201703170PHO,26:16,1,3,Jared Dudley,dudleja01,-13,7,0,pho,1,6
2,0,2,0,0,.000,1,.000,2,1,.500,2,201703170PHO,19:47,1,1,Ronnie Price,pricero01,+1,1,1,pho,0,3
0,0,0,3,0,,0,.500,6,0,,0,201703170PHO,16:32,2,0,Derrick Jones,jonesde02,-8,6,0,pho,0,2
2,0,6,4,0,,0,.667,6,4,.667,6,201703170PHO,16:16,1,4,Alan Williams,willial03,-4,12,0,pho,2,7
,,,,,,,,,,,,201703170PHO,Did Not Play,,,Eric Bledsoe,bledser01,,,,pho,,
,,,,,,,,,,,,201703170PHO,Did Not Play,,,Tyson Chandler,chandty01,,,,pho,,
,,,,,,,,,,,,201703170PHO,Did Not Dress,,,Leandro Barbosa,barbole01,,,,pho,,
,,,,,,,,,,,,201703170PHO,Did Not Play,,,Brandon Knight,knighbr03,,,,pho,,
