ast_pct,blk_pct,def_rtg,drb_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,gm,mp,off_rtg,orb_pct,player,player_id,stl_pct,team,tov_pct,trb_pct,ts_pct,usg_pct
4.9,0.0,133,4.4,.417,.333,.417,201703220CHI,31:31,112,6.8,Marcus Morris,morrima03,0.0,det,6.6,5.7,.493,21.0
15.4,0.0,128,13.1,.542,.250,.083,201703220CHI,31:21,104,3.4,Tobias Harris,harrito02,1.7,det,19.4,7.7,.563,21.4
4.4,0.0,125,4.5,.625,.500,.000,201703220CHI,30:23,87,0.0,Kentavious Caldwell-Pope,caldwke01,3.5,det,33.3,2.0,.625,8.6
0.0,3.2,124,47.0,.333,.000,.333,201703220CHI,26:15,83,32.5,Andre Drummond,drumman01,0.0,det,6.8,38.9,.291,24.4
42.6,0.0,118,5.4,.450,.100,.000,201703220CHI,25:10,104,0.0,Ish Smith,smithis01,6.3,det,16.7,2.4,.450,20.7
30.5,0.0,133,6.9,.300,.100,.000,201703220CHI,19:49,67,0.0,Reggie Jackson,jacksre01,0.0,det,23.1,3.0,.300,28.5
11.7,0.0,131,16.5,.688,.125,.375,201703220CHI,16:39,159,25.6,Jon Leuer,leuerjo01,0.0,det,0.0,21.6,.697,24.3
0.0,0.0,130,25.0,.600,.400,.000,201703220CHI,16:29,114,0.0,Stanley Johnson,johnsst04,0.0,det,9.1,10.9,.600,29.0
0.0,0.0,131,18.8,.375,.750,.000,201703220CHI,14:36,68,0.0,Reggie Bullock,bullore01,0.0,det,20.0,8.2,.375,14.9
9.6,0.0,130,19.5,1.000,.000,2.000,201703220CHI,14:03,146,7.6,Aron Baynes,baynear01,0.0,det,34.7,12.8,1.064,8.9
0.0,0.0,129,35.6,1.000,.000,.667,201703220CHI,7:42,175,0.0,Boban Marjanovic,marjabo01,0.0,det,0.0,15.6,.902,21.9
0.0,0.0,128,45.5,,,,201703220CHI,3:01,0,0.0,Beno Udrih,udrihbe01,0.0,det,,19.9,,0.0
0.0,0.0,134,0.0,.000,.500,.000,201703220CHI,3:01,0,0.0,Darrun Hilliard,hillida01,0.0,det,0.0,0.0,.000,28.8
7.7,1.8,102,11.0,.933,.400,.000,201703220CHI,38:50,162,3.5,Nikola Mirotic,mirotni01,4.1,chi,6.3,7.7,.933,19.9
44.3,0.0,105,9.5,1.000,.000,.667,201703220CHI,33:46,219,8.1,Jimmy Butler,butleji01,3.1,chi,0.0,8.9,1.031,11.1
9.0,0.0,107,11.1,.722,.222,.333,201703220CHI,28:49,134,4.8,Paul Zipser,zipsepa01,1.8,chi,8.8,8.3,.727,19.0
14.4,0.0,102,22.5,.577,.231,.308,201703220CHI,28:28,115,4.8,Joffrey Lauvergne,lauvejo01,1.8,chi,6.3,14.8,.576,26.7
35.4,0.0,108,7.6,.500,.400,.000,201703220CHI,27:59,117,0.0,Rajon Rondo,rondora01,1.9,chi,28.6,4.3,.500,12.1
11.7,0.0,105,23.7,.556,.111,.556,201703220CHI,22:33,107,6.1,Bobby Portis,portibo01,0.0,chi,8.2,16.0,.536,26.1
11.1,0.0,104,14.9,.444,.444,.000,201703220CHI,21:32,77,6.4,Denzel Valentine,valende01,2.4,chi,25.0,11.1,.444,26.9
22.0,0.0,91,12.5,.429,.000,.143,201703220CHI,17:00,78,0.0,Michael Carter-Williams,cartemi01,9.3,chi,21.2,7.1,.403,26.8
7.9,4.7,110,7.1,.625,.750,.500,201703220CHI,15:01,150,0.0,Jerian Grant,grantje02,0.0,chi,0.0,4.0,.717,15.7
0.0,0.0,116,0.0,.750,.500,.000,201703220CHI,3:01,129,0.0,Anthony Morrow,morroan01,0.0,chi,0.0,0.0,.750,32.0
0.0,0.0,116,0.0,.000,1.000,.000,201703220CHI,3:01,0,0.0,Isaiah Canaan,canaais01,0.0,chi,0.0,0.0,.000,16.0
,,,,,,,201703220CHI,Did Not Play,,,Cameron Payne,payneca01,,chi,,,,
,,,,,,,201703220CHI,Player Suspended,,,Robin Lopez,lopezro01,,chi,,,,
