ast_pct,blk_pct,def_rtg,drb_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,gm,mp,off_rtg,orb_pct,player,player_id,stl_pct,team,tov_pct,trb_pct,ts_pct,usg_pct
20.6,0.0,119,19.7,.400,.433,.233,201703300POR,36:32,91,6.1,James Harden,hardeja01,1.3,hou,15.4,12.7,.453,43.1
8.5,0.0,106,13.1,.773,.545,.000,201703300POR,36:32,135,3.1,Trevor Ariza,arizatr01,7.9,hou,15.4,7.9,.773,14.3
4.0,0.0,128,0.0,.542,.583,.000,201703300POR,36:12,92,0.0,Eric Gordon,gordoer01,0.0,hou,20.0,0.0,.542,16.7
11.7,0.0,123,18.1,.333,.500,.833,201703300POR,33:13,116,10.1,Patrick Beverley,beverpa01,0.0,hou,19.6,13.9,.549,12.4
0.0,6.9,113,19.6,.500,.000,.333,201703300POR,24:31,141,13.7,Clint Capela,capelca01,2.0,hou,0.0,16.5,.581,11.3
15.6,0.0,121,12.4,.313,.313,.438,201703300POR,29:02,82,0.0,Lou Williams,willilo02,1.7,hou,9.5,6.0,.367,29.3
29.5,0.0,122,20.4,.750,.000,.250,201703300POR,23:29,131,14.3,Nene Hilario,hilarne01,0.0,hou,25.3,17.2,.788,20.4
6.2,4.1,120,17.6,.500,.000,.000,201703300POR,20:29,137,5.4,Sam Dekker,dekkesa01,0.0,hou,0.0,11.3,.500,3.9
,,,,,,,201703300POR,Did Not Play,,,Chinanu Onuaku,onuakch01,,hou,,,,
,,,,,,,201703300POR,Did Not Play,,,Bobby Brown,brownbo02,,hou,,,,
,,,,,,,201703300POR,Did Not Play,,,Kyle Wiltjer,wiltjky01,,hou,,,,
46.1,0.0,110,11.8,.667,.500,.389,201703300POR,37:48,146,0.0,Damian Lillard,lillada01,2.6,por,12.5,6.1,.735,27.4
12.1,0.0,118,3.5,.333,.533,.133,201703300POR,32:09,89,0.0,C.J. McCollum,mccolcj01,0.0,por,5.9,1.8,.378,22.6
0.0,8.0,106,7.1,.654,.154,.000,201703300POR,31:36,144,15.2,Maurice Harkless,harklma01,3.1,por,0.0,11.0,.654,17.7
0.0,8.0,105,21.2,.438,.000,.438,201703300POR,31:33,97,19.0,Jusuf Nurkic,nurkiju01,1.5,por,17.3,20.2,.498,31.4
8.3,0.0,114,15.3,.500,.000,1.000,201703300POR,14:38,100,8.2,Noah Vonleh,vonleno01,0.0,por,25.8,11.9,.521,11.4
9.2,0.0,104,6.9,.773,.455,.000,201703300POR,32:09,159,0.0,Allen Crabbe,crabbal01,6.0,por,0.0,3.6,.773,14.7
4.3,0.0,103,28.6,.600,.500,.400,201703300POR,31:15,127,3.8,Al-Farouq Aminu,aminual01,3.1,por,7.8,16.7,.638,17.5
30.1,0.0,108,18.0,.000,1.000,.000,201703300POR,18:34,81,0.0,Evan Turner,turneev01,2.6,por,33.3,9.3,.000,6.9
12.2,16.4,103,21.7,.500,.667,.000,201703300POR,10:18,87,0.0,Meyers Leonard,leoname01,0.0,por,25.0,11.2,.500,16.7
,,,,,,,201703300POR,Did Not Play,,,Pat Connaughton,connapa01,,por,,,,
,,,,,,,201703300POR,Did Not Play,,,Shabazz Napier,napiesh01,,por,,,,
,,,,,,,201703300POR,Did Not Play,,,Jake Layman,laymaja01,,por,,,,
