ast_pct,blk_pct,def_rtg,drb_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,gm,mp,off_rtg,orb_pct,player,player_id,stl_pct,team,tov_pct,trb_pct,ts_pct,usg_pct
19.8,0.0,114,12.0,.143,.429,.000,201704120MIA,30:02,58,3.6,Tomas Satoransky,satorto01,3.4,was,22.2,7.5,.143,13.9
4.8,0.0,111,8.5,.333,.167,.000,201704120MIA,28:19,78,3.8,Kelly Oubre,oubreke01,5.4,was,0.0,6.0,.333,19.7
21.8,0.0,117,13.1,.111,.556,.000,201704120MIA,27:24,54,0.0,Brandon Jennings,jennibr01,1.9,was,0.0,6.2,.111,15.3
7.1,0.0,121,14.2,.889,.000,.111,201704120MIA,25:21,152,8.4,Marcin Gortat,gortama01,0.0,was,9.6,11.1,.847,19.2
0.0,0.0,113,40.9,.500,.250,.375,201704120MIA,14:41,126,7.3,Otto Porter,porteot01,0.0,was,0.0,23.1,.590,29.5
0.0,0.0,121,13.7,.591,.364,.545,201704120MIA,34:57,115,0.0,Sheldon Mac,mcclesh01,0.0,was,12.8,6.5,.660,20.8
23.7,0.0,122,0.0,.962,.538,.154,201704120MIA,30:41,166,0.0,Trey Burke,burketr01,1.7,was,12.6,0.0,.973,24.1
7.1,0.0,125,0.0,.438,.250,.000,201704120MIA,19:25,101,5.5,Bojan Bogdanovic,bogdabo02,0.0,was,0.0,2.9,.438,19.2
9.5,0.0,116,7.3,.667,.000,.000,201704120MIA,16:33,146,12.9,Daniel Ochefu,ochefda01,3.1,was,0.0,10.2,.667,16.9
0.0,0.0,97,36.6,.000,1.000,.000,201704120MIA,6:33,0,0.0,Chris McCullough,mcculch01,7.8,was,50.0,17.2,.000,14.2
0.0,0.0,107,58.9,.333,.000,.667,201704120MIA,6:07,51,0.0,Jason Smith,smithja02,0.0,was,34.0,27.7,.387,44.7
,,,,,,,201704120MIA,Did Not Play,,,Markieff Morris,morrima02,,was,,,,
,,,,,,,201704120MIA,Did Not Play,,,John Wall,walljo01,,was,,,,
3.4,2.1,111,5.7,.625,.500,.000,201704120MIA,37:10,127,0.0,Josh Richardson,richajo01,0.0,mia,7.7,3.0,.625,15.2
20.5,0.0,110,5.8,.571,.190,.190,201704120MIA,36:59,107,6.5,Goran Dragic,dragigo01,1.4,mia,23.5,6.1,.615,35.0
26.5,2.1,108,20.3,.455,.273,.182,201704120MIA,36:42,120,3.3,James Johnson,johnsja01,0.0,mia,14.4,12.3,.505,16.5
0.0,5.1,100,44.8,.588,.000,.353,201704120MIA,30:58,133,19.4,Hassan Whiteside,whiteha01,0.0,mia,4.8,32.8,.611,29.0
10.8,0.0,114,0.0,.500,.500,.000,201704120MIA,20:25,89,11.8,Rodney McGruder,mcgruro01,0.0,mia,50.0,5.5,.500,8.5
3.8,0.0,109,24.4,.450,.900,.000,201704120MIA,30:33,113,0.0,Wayne Ellington,ellinwa01,0.0,mia,0.0,12.9,.450,14.2
12.4,0.0,112,11.3,.500,.000,.000,201704120MIA,18:53,76,6.4,Tyler Johnson,johnsty01,0.0,mia,42.9,9.0,.500,16.1
0.0,0.0,109,21.6,.889,.000,.000,201704120MIA,14:47,157,24.4,Willie Reed,reedwi02,0.0,mia,10.0,22.9,.889,29.4
0.0,0.0,105,0.0,.000,.000,.000,201704120MIA,12:27,0,0.0,Okaro White,whiteok01,4.1,mia,0.0,0.0,.000,3.5
0.0,0.0,93,97.0,.000,1.000,.000,201704120MIA,1:06,0,0.0,Udonis Haslem,hasleud01,0.0,mia,0.0,51.3,.000,39.6
,,,,,,,201704120MIA,Did Not Dress,,,Dion Waiters,waitedi01,,mia,,,,
,,,,,,,201704120MIA,Did Not Play,,,Luke Babbitt,babbilu01,,mia,,,,
,,,,,,,201704120MIA,Did Not Play,,,Josh McRoberts,mcrobjo01,,mia,,,,
